method,seed,step,t,wallclock_s,nfe,W2,TV,TV_density,MMD,EMC,EJS,e_F,basin_rel_max,basin_L1,V_mean_err,V_var_err,E_overlap_deficit,KSD,W1_cdf,CDF_sup,cdf_L2,pdf_L1,pdf_L2,KDE_chi2,bin_chi2_M40,bin_chi2_M80,bin_chi2_M120,well_TV,nonfinite_frac,m_clip_fraction,max_log_magnitude,mala_accept,pt_swap_accept,jump_count_mean,occ0
ULA,0,0,0.0,0.0,0,1.37240775552134,0.5,0.6748526303236129,0.6410525708424315,0.5,,1.0378429181807514,0.999999999998,1.0,0.0564729925127279,0.008472484183892884,0.4175,0.8793765659338393,1.0121172230898925,0.60775,0.6997731072116095,1.0143249518137731,0.861679662652591,0.9821646895992409,2.8950750000000003,2.9407099999999997,3.0049700000000006,0.5,0.0,,,,,,1.0
ULA,1,0,0.0,0.0,0,1.3720324930866186,0.5,0.6726259504071831,0.6409304285396793,0.5,,1.037657732961696,0.999999999998,1.0,0.05660810132095974,0.008493119503120239,0.4245000000000001,0.9014120430314081,1.0122788996356253,0.6107499999999999,0.6996207477140064,1.01422151791276,0.8617601155622264,0.9827070246564338,2.86519,2.8827999999999996,2.93876,0.5,0.0,,,,,,1.0
ULA,2,0,0.0,0.0,0,1.3713105366466434,0.5,0.6736259504071831,0.6407073499186657,0.5,,1.0378429181807514,0.999999999998,1.0,0.056393013601785384,0.008473780461658,0.4235,0.8426097737999717,1.0110755117099997,0.6092500000000001,0.6991580610755657,1.0138801998940117,0.8612958661091478,0.9822286984445894,2.84307,2.88741,2.9519300000000004,0.5,0.0,,,,,,1.0
ULA,3,0,0.0,0.0,0,1.371174272667684,0.5,0.676125950407183,0.6406720958907354,0.5,,1.0347200977642985,0.999999999998,1.0,0.056547474040132446,0.00850349954294204,0.42000000000000004,0.8492417834280773,1.0109156723977408,0.609,0.6991334222489489,1.0139428535460462,0.8614957708509472,0.982841700215412,2.87422,2.9034500000000003,2.9528000000000003,0.5,0.0,,,,,,1.0
ULA,4,0,0.0,0.0,0,1.370686484756631,0.5,0.6716259504071831,0.6404673892791574,0.5,,1.032872459640319,0.999999999998,1.0,0.056546148376782006,0.00849237456859208,0.42025,0.8359077149511949,1.0106658086452445,0.6065,0.6988982722088966,1.0136729525518793,0.8613578061385324,0.9830702550945536,2.88173,2.92621,2.96306,0.5,0.0,,,,,,1.0
ULA,0,25,0.125,0.003878161311149597,500000,1.3225879806119623,0.5,0.5039295781139503,0.631927453802359,0.5,,0.9429449610940897,0.999999999998,1.0,0.010071678753542083,0.0024492893422054006,0.04525000000000001,0.11663147608691153,0.9853505686037198,0.5015000000000001,0.6770591433931696,0.9994380635401365,0.7949848410638801,0.8596165285403278,1.0526550000000001,1.07138,1.098665,0.5,0.0,,,,,,1.0
ULA,1,25,0.125,0.003878161311149597,500000,1.3252870673905957,0.5,0.5050861597167807,0.6327927371384628,0.5,,0.943471000797313,0.999999999998,1.0,0.010404293983032477,0.002592134269718791,0.04150000000000009,0.7562445448053445,0.9882607464269126,0.5015000000000001,0.6783179576322071,0.999520470116215,0.7957531380596932,0.8564555084921659,1.068895,1.0903299999999998,1.1098849999999998,0.5,0.0,,,,,,1.0
ULA,2,25,0.125,0.003878161311149597,500000,1.32593751373016,0.5,0.5063302205936995,0.6328924013777885,0.5,,0.9429449610940897,0.999999999998,1.0,0.01051856743040197,0.002329990503180733,0.042750000000000066,1.0301796509861394,0.9885528665493165,0.50325,0.6785489203343327,0.999464556973008,0.7962985960298635,0.8570655468838335,1.057625,1.07962,1.096685,0.5,0.0,,,,,,1.0
ULA,3,25,0.125,0.003878161311149597,500000,1.3242877740431684,0.5,0.5069645136979526,0.6323446640347326,0.5,,0.9507360421413176,0.999999999998,1.0,0.011253534274216125,0.00255623155651783,0.058499999999999996,0.7039306104801574,0.9860670896586726,0.504,0.6776891488025816,0.9996083046499569,0.7965639210311151,0.8616689384481635,1.055595,1.07525,1.1082649999999998,0.5,0.0,,,,,,1.0
ULA,4,25,0.125,0.003878161311149597,500000,1.322660596432222,0.5,0.5036909492011415,0.6320180036707971,0.5,,0.939063492927753,0.999999999998,1.0,0.008546104575473182,0.002447126999149513,0.043500000000000094,0.3082621173837336,0.9862122311031375,0.502,0.6770611754994734,0.9995411008355408,0.7934281454147027,0.8559574419539265,1.0631599999999999,1.08616,1.11032,0.5,0.0,,,,,,1.0
ULA,0,50,0.25,0.008150182664394379,1000000,1.314164230578502,0.5,0.5022671881887114,0.6293915208219547,0.5,,0.9332193568397087,0.999999999998,1.0,0.004797114724587714,0.0011767042600590088,0.028249999999999997,0.41645639536521467,0.9786465036562255,0.5,0.6731662291012828,0.9993090459145966,0.7883697376284858,0.8599087785579222,1.0431100000000002,1.0678600000000003,1.0890650000000002,0.5,0.0,,,,,,1.0
