method,seed,step,t,wallclock_s,W2,TV,TV_density,MMD,EMC,EJS,nonfinite_frac,m_clip_fraction,max_log_magnitude,mala_accept,pt_swap_accept,jump_count_mean
ULA,0,200,2.0,0.03546148166060448,26.769944854976607,0.975,,0.4826479740919948,0.025,,0.0,,,,,
ULA,1,200,2.0,0.03546148166060448,26.766630887385634,0.975,,0.4825888538370536,0.025,,0.0,,,,,
ULA,2,200,2.0,0.03546148166060448,26.76483539483249,0.975,,0.48257296007025424,0.025,,0.0,,,,,
ULA,3,200,2.0,0.03546148166060448,26.755838393933768,0.975,,0.48255808593153765,0.025,,0.0,,,,,
ULA,4,200,2.0,0.03546148166060448,26.760084394054704,0.975,,0.4827373718509537,0.025,,0.0,,,,,
ULA,0,400,4.0,0.07101200427860022,26.672715947828372,0.975,,0.4823533799795356,0.025,,0.0,,,,,
ULA,1,400,4.0,0.07101200427860022,26.6670034875915,0.975,,0.48229443156158186,0.025,,0.0,,,,,
ULA,2,400,4.0,0.07101200427860022,26.67023127114787,0.975,,0.4823809124978206,0.025,,0.0,,,,,
ULA,3,400,4.0,0.07101200427860022,26.6826275496682,0.975,,0.4826349532483135,0.025,,0.0,,,,,
ULA,4,400,4.0,0.07101200427860022,26.663279031187223,0.975,,0.4824450918531449,0.025,,0.0,,,,,
ULA,0,600,6.0,0.10677595622837543,26.625168407789488,0.9738,,0.48230535854611034,0.025232822446052572,,0.0,,,,,
ULA,1,600,6.0,0.10677595622837543,26.626658584235518,0.9742,,0.4824525800118204,0.025163139963010218,,0.0,,,,,
ULA,2,600,6.0,0.10677595622837543,26.632150471936434,0.9746,,0.482416858691207,0.0250883943637267,,0.0,,,,,
ULA,3,600,6.0,0.10677595622837543,26.622831243105935,0.975,,0.4825700324974731,0.025,,0.0,,,,,
ULA,4,600,6.0,0.10677595622837543,26.61165854137714,0.9742000000000001,,0.48209381203323126,0.02517709724004698,,0.0,,,,,
ULA,0,800,8.0,0.14233670849353075,26.592221193608975,0.9738,,0.4820978317364113,0.025252103067339937,,0.0,,,,,
ULA,1,800,8.0,0.14233670849353075,26.577950796175315,0.9738,,0.4821161064156021,0.025232822446052572,,0.0,,,,,
ULA,2,800,8.0,0.14233670849353075,26.596934156622336,0.9738,,0.4821812842379885,0.025252103067339937,,0.0,,,,,
ULA,3,800,8.0,0.14233670849353075,26.582463318306647,0.975,,0.48233591019814337,0.025,,0.0,,,,,
ULA,4,800,8.0,0.14233670849353075,26.590456527019974,0.9734,,0.4821601872169251,0.025299254953575063,,0.0,,,,,
ULA,0,1000,10.0,0.1788752507418394,26.567041058906025,0.9725999999999999,,0.48193108291496334,0.025467776426066034,,0.0,,,,,
ULA,1,1000,10.0,0.1788752507418394,26.558924801953093,0.973,,0.4820155080200954,0.02538869115031403,,0.0,,,,,
ULA,2,1000,10.0,0.1788752507418394,26.572464726911914,0.973,,0.48204325954635624,0.025363294735697067,,0.0,,,,,
ULA,3,1000,10.0,0.1788752507418394,26.563338000215776,0.9742,,0.4821338027617275,0.025163139963010218,,0.0,,,,,
ULA,4,1000,10.0,0.1788752507418394,26.567782398773193,0.9722,,0.4822169319737976,0.025534815234796348,,0.0,,,,,
ULA,0,1200,12.0,0.21465799305588007,26.541031169263867,0.9718,,0.4817951031690291,0.025602026401905887,,0.0,,,,,
ULA,1,1200,12.0,0.21465799305588007,26.550509208690503,0.9722000000000001,,0.48189158664387843,0.02552876451096057,,0.0,,,,,
ULA,2,1200,12.0,0.21465799305588007,26.560400823444596,0.9726,,0.48209594561837443,0.025452953240862025,,0.0,,,,,
ULA,3,1200,12.0,0.21465799305588007,26.54236381521272,0.9734,,0.48208731603248056,0.025322027853149114,,0.0,,,,,
ULA,4,1200,12.0,0.21465799305588007,26.55416028109334,0.9702000000000001,,0.48211447536352664,0.025857980114152967,,0.0,,,,,
ULA,0,1400,14.0,0.2504185251891613,26.52921684081863,0.9702000000000001,,0.4820291280457502,0.025857980114152967,,0.0,,,,,
ULA,1,1400,14.0,0.2504185251891613,26.543453818610384,0.9718,,0.4820219553079059,0.025602026401905887,,0.0,,,,,
ULA,2,1400,14.0,0.2504185251891613,26.552485921065273,0.9722000000000001,,0.4822037376730463,0.025515318755597288,,0.0,,,,,
ULA,3,1400,14.0,0.2504185251891613,26.527696176658647,0.9714,,0.4820721037502494,0.02566681611714667,,0.0,,,,,
ULA,4,1400,14.0,0.2504185251891613,26.544131199341297,0.9702,,0.48198322846691144,0.02585624823593513,,0.0,,,,,
ULA,0,1600,16.0,0.28607139736413956,26.528007594620536,0.9686,,0.48202209004659924,0.02609695477954977,,0.0,,,,,
ULA,1,1600,16.0,0.28607139736413956,26.539035384541585,0.9706,,0.482001883770547,0.025794797763857576,,0.0,,,,,
ULA,2,1600,16.0,0.28607139736413956,26.55694472117984,0.9710000000000001,,0.48233538424464,0.02571193465433592,,0.0,,,,,
ULA,3,1600,16.0,0.28607139736413956,26.52924776318945,0.9698000000000001,,0.4822442775163411,0.02591957693724605,,0.0,,,,,
ULA,4,1600,16.0,0.28607139736413956,26.554629154548223,0.9698,,0.48229296126733434,0.02591957693724605,,0.0,,,,,
ULA,0,1800,18.0,0.3216539202257991,26.52574580154258,0.9678000000000001,,0.48216268233964943,0.02621037170585765,,0.0,,,,,
ULA,1,1800,18.0,0.3216539202257991,26.51301225782061,0.9698,,0.4817971360513994,0.025916354877549647,,0.0,,,,,
ULA,2,1800,18.0,0.3216539202257991,26.55280032604476,0.9710000000000001,,0.4823331482175214,0.02571193465433592,,0.0,,,,,
ULA,3,1800,18.0,0.3216539202257991,26.52304614518485,0.9678,,0.4821275760290381,0.026219893601357867,,0.0,,,,,
ULA,4,1800,18.0,0.3216539202257991,26.534305185736386,0.9682,,0.482297207391374,0.02616158056057307,,0.0,,,,,
ULA,0,2000,20.0,0.357373152859509,26.518613628081656,0.9658,,0.4821049699413847,0.026508528747882048,,0.0,,,,,
ULA,1,2000,20.0,0.357373152859509,26.51229759843482,0.9682,,0.481800775286145,0.02616158056057307,,0.0,,,,,
ULA,2,2000,20.0,0.357373152859509,26.551875101264283,0.9714,,0.4821393358217582,0.025635591779223994,,0.0,,,,,
ULA,3,2000,20.0,0.357373152859509,26.529400620051234,0.9666,,0.48224273251632227,0.02639368750128107,,0.0,,,,,
ULA,4,2000,20.0,0.357373152859509,26.508167785985393,0.9674,,0.4818754587384524,0.026265903723751316,,0.0,,,,,
ULA,0,2200,22.0,0.39302121568471193,26.512669034154236,0.9654,,0.4819719151202748,0.026563852870599546,,0.0,,,,,
ULA,1,2200,22.0,0.39302121568471193,26.50736715803925,0.9662000000000001,,0.4817501122534805,0.02645250083578079,,0.0,,,,,
ULA,2,2200,22.0,0.39302121568471193,26.557524622182534,0.9706,,0.4824212858088559,0.025751209392743828,,0.0,,,,,
ULA,3,2200,22.0,0.39302121568471193,26.513094991730316,0.9654,,0.4818911282733859,0.026563852870599546,,0.0,,,,,
ULA,4,2200,22.0,0.39302121568471193,26.502427739264764,0.9662,,0.4818952815070981,0.026449595112877387,,0.0,,,,,
ULA,0,2400,24.0,0.4286948572844267,26.511145310350255,0.9638,,0.48195204938582537,0.02679073575172384,,0.0,,,,,
ULA,1,2400,24.0,0.4286948572844267,26.503051641080745,0.9630000000000001,,0.4815423778549755,0.026901861496978402,,0.0,,,,,
ULA,2,2400,24.0,0.4286948572844267,26.542888755225942,0.969,,0.4822532999736407,0.026024366042516317,,0.0,,,,,
ULA,3,2400,24.0,0.4286948572844267,26.502591935984555,0.9638,,0.481868421611054,0.02677908487402749,,0.0,,,,,
ULA,4,2400,24.0,0.4286948572844267,26.49655205859773,0.9654000000000001,,0.4816117843460995,0.026544592091745534,,0.0,,,,,
ULA,0,2600,26.0,0.46422509010881186,26.49962161132592,0.9642000000000001,,0.4818254103166123,0.02673093967007466,,0.0,,,,,
ULA,1,2600,26.0,0.46422509010881186,26.48774016336208,0.9621999999999999,,0.4814459154798194,0.027050264143176884,,0.0,,,,,
ULA,2,2600,26.0,0.46422509010881186,26.54143020315602,0.9682000000000001,,0.4820969614803704,0.02614635355577331,,0.0,,,,,
ULA,3,2600,26.0,0.46422509010881186,26.487807378066833,0.9618,,0.48149242176633233,0.027064062707129265,,0.0,,,,,
ULA,4,2600,26.0,0.46422509010881186,26.50525759366592,0.9638000000000001,,0.48179048247086426,0.026886626998506673,,0.0,,,,,
ULA,0,2800,28.0,0.49991566222161055,26.484716508280744,0.9622,,0.481617717318046,0.02699405386019012,,0.0,,,,,
ULA,1,2800,28.0,0.49991566222161055,26.473145595470527,0.9606,,0.48133659517158506,0.027269295949287863,,0.0,,,,,
ULA,2,2800,28.0,0.49991566222161055,26.518047973236452,0.9674,,0.48206376595374456,0.02624415372315054,,0.0,,,,,
ULA,3,2800,28.0,0.49991566222161055,26.47089860646108,0.9606,,0.4811253879712742,0.02721744182911993,,0.0,,,,,
ULA,4,2800,28.0,0.49991566222161055,26.480996915444628,0.9626,,0.4816850842982727,0.02704154894985686,,0.0,,,,,
ULA,0,3000,30.0,0.5354540953412652,26.485603159035918,0.9626,,0.4816160804878326,0.0269480653324906,,0.0,,,,,
ULA,1,3000,30.0,0.5354540953412652,26.466255471206733,0.9602,,0.4812683009797889,0.027279348004684817,,0.0,,,,,
ULA,2,3000,30.0,0.5354540953412652,26.525426913222976,0.9646,,0.48223639727866974,0.026649365728270886,,0.0,,,,,
ULA,3,3000,30.0,0.5354540953412652,26.4548272739946,0.9594,,0.48076483525500385,0.02736982545036379,,0.0,,,,,
ULA,4,3000,30.0,0.5354540953412652,26.47923481955432,0.9618,,0.4816808284793654,0.02712392320022176,,0.0,,,,,
ULA,0,3200,32.0,0.5710794972255826,26.475720816645733,0.9605999999999999,,0.4815420351039659,0.027163196920359383,,0.0,,,,,
