method,seed,step,t,wallclock_s,W2,TV,TV_density,MMD,EMC,EJS,nonfinite_frac,m_clip_fraction,max_log_magnitude,mala_accept,pt_swap_accept,jump_count_mean,W2_10d
ULA,0,800,4.0,0.6654780860990286,1.2780910707102087,0.9995283338253086,,1.0418143191375548,0.0029462573685854476,,0.0,,,,,,0.4729746821401093
ULA,1,800,4.0,0.6654780860990286,1.273725494141445,0.9995283338253087,,1.0450054890494644,0.0029462279436860417,,0.0,,,,,,0.4711060428367263
ULA,2,800,4.0,0.6654780860990286,1.273346694803837,0.9995283338253086,,1.0390504582473206,0.0029462573685854476,,0.0,,,,,,0.47072812547252907
ULA,3,800,4.0,0.6654780860990286,1.2749351515967737,0.9995283338253086,,1.0481466271169884,0.0029462573685854476,,0.0,,,,,,0.4717411087649898
ULA,4,800,4.0,0.6654780860990286,1.273509642025184,0.9995283338253087,,1.0418713446670018,0.0029462105068045474,,0.0,,,,,,0.47102029158680364
ULA,0,1600,8.0,1.2863340871408582,1.2703322130450696,0.9995283338253087,,1.0457635339661233,0.002945897677612219,,0.0,,,,,,0.4698788262989848
ULA,1,1600,8.0,1.2863340871408582,1.2724777066756918,0.9995283338253087,,1.0417049462542316,0.002945897677612219,,0.0,,,,,,0.4706052046689725
ULA,2,1600,8.0,1.2863340871408582,1.27283623720347,0.9990283338253086,,1.040611144408838,0.006047929619102499,,0.0,,,,,,0.4706493490747894
ULA,3,1600,8.0,1.2863340871408582,1.2725301184342876,0.9995283338253087,,1.0384879185966864,0.0029459560878025703,,0.0,,,,,,0.4704113403524888
ULA,4,1600,8.0,1.2863340871408582,1.2730116671812424,0.9995283338253087,,1.0420613006168142,0.0029462105068045474,,0.0,,,,,,0.4709042260714435
ULA,0,2400,12.0,1.917991992086172,1.2710326697304632,0.9995283338253087,,1.0389236199987386,0.002945835491059423,,0.0,,,,,,0.4695791502354937
ULA,1,2400,12.0,1.917991992086172,1.277437603848004,0.9995283338253087,,1.0439452652471903,0.0029462572013218002,,0.0,,,,,,0.47256067637939464
ULA,2,2400,12.0,1.917991992086172,1.2730284021908895,0.9990283338253086,,1.0389086100708016,0.006047879479893492,,0.0,,,,,,0.4705580247493283
ULA,3,2400,12.0,1.917991992086172,1.2734101843528807,0.9995283338253086,,1.0473158804851144,0.0029462573685854476,,0.0,,,,,,0.47080688339623716
ULA,4,2400,12.0,1.917991992086172,1.2752896228241464,0.9995283338253086,,1.0427914798220979,0.0029462573685854476,,0.0,,,,,,0.47117384536856544
ULA,0,3200,16.0,2.5324668707326055,1.2737793226394765,0.9995283338253087,,1.0446015213219495,0.0029462572013218002,,0.0,,,,,,0.47073754201831397
ULA,1,3200,16.0,2.5324668707326055,1.2723344903586957,0.9995283338253087,,1.0443893483407505,0.0029462105068045474,,0.0,,,,,,0.4703954461469901
ULA,2,3200,16.0,2.5324668707326055,1.2760575878795668,0.9990283338253088,,1.0423911481566663,0.0060480979085748565,,0.0,,,,,,0.47178189663315806
ULA,3,3200,16.0,2.5324668707326055,1.274966341486823,0.9995283338253087,,1.0444175116208447,0.0029462491438754235,,0.0,,,,,,0.4713111435039095
ULA,4,3200,16.0,2.5324668707326055,1.2730931742857856,0.9995283338253087,,1.0453248940517674,0.002946233300036738,,0.0,,,,,,0.47050489727528516
ULA,0,4000,20.0,3.1608045250177383,1.2735924490649622,0.9995283338253086,,1.0424272385383289,0.0029462573685854476,,0.0,,,,,,0.4703719581633833
ULA,1,4000,20.0,3.1608045250177383,1.2713166808743486,0.9990283338253088,,1.0390477297012324,0.006047825018246522,,0.0,,,,,,0.4699850573280246
ULA,2,4000,20.0,3.1608045250177383,1.27187658270312,0.9985283338253086,,1.0382399874282002,0.008650152616446194,,0.0,,,,,,0.4701129711691164
ULA,3,4000,20.0,3.1608045250177383,1.270796919523751,0.9995283338253086,,1.038557524586027,0.0029457697623429535,,0.0,,,,,,0.47025678953507344
ULA,4,4000,20.0,3.1608045250177383,1.2761320107228429,0.9995283338253087,,1.0430482076125516,0.0029462491438754235,,0.0,,,,,,0.47190761816093973
ULA,0,4800,24.0,3.80541761405766,1.2745884290439187,0.9995283338253086,,1.0515525167869735,0.002946196557021663,,0.0,,,,,,0.4714908396273562
ULA,1,4800,24.0,3.80541761405766,1.2746845996130096,0.9985283338253086,,1.0402841855777538,0.00865017702928439,,0.0,,,,,,0.47147963478533284
ULA,2,4800,24.0,3.80541761405766,1.2719010316742427,0.9985283338253087,,1.0386327072447936,0.008650177033904582,,0.0,,,,,,0.4701980965911144
ULA,3,4800,24.0,3.80541761405766,1.2695367843641054,0.9995283338253087,,1.0413210632780254,0.002946105925992648,,0.0,,,,,,0.4696865818385835
ULA,4,4800,24.0,3.80541761405766,1.2741228852740019,0.9995283338253087,,1.0416671430271816,0.002946247743817354,,0.0,,,,,,0.471336206988161
ULA,0,5600,28.0,4.453871005214751,1.2724439076006349,0.9995283338253086,,1.0437760281589088,0.002946181348366994,,0.0,,,,,,0.4704641883687947
ULA,1,5600,28.0,4.453871005214751,1.27195463501739,0.9980283338253086,,1.0364664841721394,0.011063532266755605,,0.0,,,,,,0.4699550179846818
ULA,2,5600,28.0,4.453871005214751,1.2711181093415413,0.9985283338253086,,1.0394988415933781,0.008649874193696006,,0.0,,,,,,0.46975191239356057
ULA,3,5600,28.0,4.453871005214751,1.273919650081371,0.9995283338253087,,1.042151664186463,0.0029461463373380292,,0.0,,,,,,0.4713871885211527
ULA,4,5600,28.0,4.453871005214751,1.276246922070966,0.9995283338253087,,1.0445681326081335,0.002946233300036738,,0.0,,,,,,0.47215796480024086
ULA,0,6400,32.0,5.1019249353557825,1.272473800674955,0.9995283338253086,,1.0367615861367958,0.0029462573685854476,,0.0,,,,,,0.47069024356463907
ULA,1,6400,32.0,5.1019249353557825,1.2689113557708656,0.9980283338253086,,1.0417203723297976,0.011063381648403592,,0.0,,,,,,0.4687684680892842
ULA,2,6400,32.0,5.1019249353557825,1.272813532306901,0.9985283338253086,,1.0437913965621908,0.008650024551730251,,0.0,,,,,,0.470081146935316
ULA,3,6400,32.0,5.1019249353557825,1.273899332537142,0.9995283338253087,,1.0447399838340035,0.002946247743817354,,0.0,,,,,,0.47105270044769293
