experiment,method,time,L1_density_error_mean,L1_density_error_std,L1_density_error_count,L2_density_error_mean,L2_density_error_std,L2_density_error_count,truncated_KDE_chi2_mean,truncated_KDE_chi2_std,truncated_KDE_chi2_count,KDE_CDF_sup_error_mean,KDE_CDF_sup_error_std,KDE_CDF_sup_error_count,empirical_CDF_sup_error_mean,empirical_CDF_sup_error_std,empirical_CDF_sup_error_count,KDE_vs_empirical_CDF_sup_mean,KDE_vs_empirical_CDF_sup_std,KDE_vs_empirical_CDF_sup_count,KDE_integral_mean,KDE_integral_std,KDE_integral_count,L1_density_error_se,L2_density_error_se,truncated_KDE_chi2_se,KDE_CDF_sup_error_se,empirical_CDF_sup_error_se,KDE_vs_empirical_CDF_sup_se,KDE_integral_se,KDE_bandwidth,chi_interval_left,chi_interval_right,chi_omitted_target_mass,chi_target_density_min
double-well,CP,0.0,1.4485109354295422,0.0043351776187351854,4,2.342756397416354,0.017330371800809083,4,3.64612698234607,0.025580019443509773,4,0.6701323285665801,0.0017447047861281302,4,0.6812368553184459,0.003126176759422711,4,0.05995498901925464,0.002530359300781705,4,1.0,0.0,4,0.0021675888093675927,0.008665185900404541,0.012790009721754887,0.0008723523930640651,0.0015630883797113555,0.0012651796503908525,0.0,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.06,1.2049475707507897,0.00826714574742835,4,1.066321373491561,0.024201714658583298,4,1.795633704839284,0.03245462248026372,4,0.5884331856704017,0.003978165089048775,4,0.5924074321277145,0.004342201170410194,4,0.02984768065360098,0.002268732955702161,4,1.0,1.2819751242557092e-16,4,0.004133572873714175,0.012100857329291649,0.01622731124013186,0.0019890825445243875,0.002171100585205097,0.0011343664778510805,6.409875621278546e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.12,1.0788311343905632,0.005656082213820036,4,0.6861156602570597,0.011596485206118052,4,1.225194682111405,0.014570548745549122,4,0.534703928677361,0.003372574404946032,4,0.5379225170955857,0.0025437509088474452,4,0.02259357421633742,0.002098550589924796,4,1.0,1.9229626863835638e-16,4,0.002828041106910018,0.005798242603059026,0.007285274372774561,0.001686287202473016,0.0012718754544237226,0.001049275294962398,9.614813431917819e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.18,0.9946356109762143,0.008802586839136631,4,0.5004287928115392,0.012277029818412789,4,0.9254531923084917,0.0167893940657307,4,0.4938168510027842,0.004598146792651328,4,0.4966579280322524,0.004047223750505057,4,0.01900653546677196,0.0023911988020150557,4,0.9999999999999999,6.409875621278546e-17,4,0.0044012934195683156,0.0061385149092063945,0.00839469703286535,0.002299073396325664,0.0020236118752525287,0.0011955994010075278,3.204937810639273e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.24,0.9270623523423424,0.013476433870470492,4,0.38171399939582873,0.016090117320212694,4,0.7312421553968284,0.022769121619786087,4,0.45841392485779364,0.006534699293005486,4,0.4595832597460988,0.00622786618477983,4,0.01642492813444414,0.0010628850053226609,4,1.0,6.409875621278546e-17,4,0.006738216935235246,0.008045058660106347,0.011384560809893043,0.003267349646502743,0.003113933092389915,0.0005314425026613304,3.204937810639273e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.3,0.868088298164971,0.005258813449659103,4,0.3040783618509996,0.00579329580679443,4,0.6004456488653538,0.00915412766861027,4,0.42738261587313026,0.0017913506001792567,4,0.42881178492912386,0.0023703674504468525,4,0.014698512856466478,0.0010990102107541492,4,1.0,1.8129866073473578e-16,4,0.0026294067248295513,0.002896647903397215,0.004577063834305135,0.0008956753000896284,0.0011851837252234263,0.0005495051053770746,9.064933036736789e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.36,0.8257558490212531,0.008834466491621873,4,0.26263758245878377,0.0060585662649632515,4,0.5285738049609155,0.011345583341136781,4,0.4035371643511121,0.004993789540319463,4,0.4054217608766296,0.005355884959904327,4,0.01303797712127261,0.0012919561940218111,4,1.0,0.0,4,0.004417233245810936,0.0030292831324816257,0.005672791670568391,0.0024968947701597315,0.0026779424799521635,0.0006459780970109056,0.0,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.42,0.7835524618382962,0.01299396234623206,4,0.22993705341742157,0.008056650646480612,4,0.4735688380153842,0.01783204897892752,4,0.3790470820095933,0.0065573331698901074,4,0.38045868083467826,0.006650338251097762,4,0.012474749602965837,0.0010421748348510504,4,1.0,6.409875621278546e-17,4,0.00649698117311603,0.004028325323240306,0.00891602448946376,0.0032786665849450537,0.003325169125548881,0.0005210874174255252,3.204937810639273e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.48,0.7401013916202066,0.013859919818022544,4,0.20679565271292022,0.006491984425836412,4,0.425318517741726,0.018207758195455306,4,0.3535786452324854,0.008257723014874915,4,0.35461687491123217,0.008231011552085882,4,0.01239187754352035,0.002289283067004921,4,1.0,1.1102230246251565e-16,4,0.006929959909011272,0.003245992212918206,0.009103879097727653,0.004128861507437458,0.004115505776042941,0.0011446415335024606,5.551115123125783e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.54,0.7123721223869945,0.017776537092513284,4,0.19163938532637717,0.00838280923259641,4,0.40663587595173123,0.02341524608437703,4,0.3376571009808432,0.00845220312911068,4,0.33867820181667196,0.008728664675915262,4,0.011107643803161114,0.0003649323632974304,4,1.0,6.409875621278546e-17,4,0.008888268546256642,0.004191404616298205,0.011707623042188515,0.00422610156455534,0.004364332337957631,0.0001824661816487152,3.204937810639273e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.6,0.678391561797448,0.024463851008712758,4,0.17308613900537057,0.007863747850596013,4,0.36997041637458195,0.02224777549121618,4,0.3192244238953569,0.011415070397896373,4,0.32030948269037457,0.01129735221320684,4,0.011692732084588618,0.00038520986414385247,4,1.0,1.1102230246251565e-16,4,0.012231925504356379,0.003931873925298006,0.01112388774560809,0.005707535198948187,0.00564867610660342,0.00019260493207192623,5.551115123125783e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.66,0.6526048130011276,0.023230468973710082,4,0.15669985975350004,0.010228609974257508,4,0.3332379366760035,0.02429615296577187,4,0.30196690879142646,0.010087068294985199,4,0.3027539896134126,0.009599694911064025,4,0.011167746241688453,0.0011100385214318042,4,1.0,9.064933036736789e-17,4,0.011615234486855041,0.005114304987128754,0.012148076482885935,0.005043534147492599,0.004799847455532013,0.0005550192607159021,4.5324665183683945e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.72,0.6267184953340024,0.018418408331081135,4,0.14156789194516056,0.008323635338263365,4,0.30903125445267166,0.02436569638243485,4,0.2862220733718275,0.00935695442858987,4,0.28776064286131753,0.009725210601777362,4,0.011210376559664288,0.0007648675937420287,4,1.0,6.409875621278546e-17,4,0.009209204165540568,0.004161817669131682,0.012182848191217425,0.004678477214294935,0.004862605300888681,0.0003824337968710143,3.204937810639273e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.78,0.6055002128919278,0.025413456767222637,4,0.13181143235433804,0.011025688645360316,4,0.27854627381984504,0.026792191298290514,4,0.2720289234193235,0.011672473686863142,4,0.27404332537458953,0.012181913132617437,4,0.010556885155321966,0.0005164789771867276,4,0.9999999999999999,1.1102230246251565e-16,4,0.012706728383611319,0.005512844322680158,0.013396095649145257,0.005836236843431571,0.0060909565663087185,0.0002582394885933638,5.551115123125783e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.84,0.5878034096860456,0.02784392213070303,4,0.12659877704190167,0.009552478678962046,4,0.26862076549552993,0.024597263814832234,4,0.260709952533556,0.0114071973007221,4,0.26175969563134344,0.012015015901676921,4,0.010703705143243397,0.0007595742753082084,4,1.0,1.9229626863835638e-16,4,0.013921961065351514,0.004776239339481023,0.012298631907416117,0.00570359865036105,0.0060075079508384605,0.0003797871376541042,9.614813431917819e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.9,0.5759331216492081,0.013845158470230913,4,0.11915430105408381,0.008735831291274388,4,0.24881954680031948,0.02368433675649359,4,0.2528948512337623,0.006440756400328481,4,0.2535882541326079,0.00699930342066469,4,0.009544659666362781,0.00041832770781053167,4,1.0,1.2819751242557092e-16,4,0.0069225792351154565,0.004367915645637194,0.011842168378246795,0.0032203782001642405,0.003499651710332345,0.00020916385390526584,6.409875621278546e-17,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,0.96,0.5551727446665269,0.019372254968988305,4,0.1126457050068643,0.010983077006320216,4,0.23415119436421494,0.019556552768039602,4,0.23868294829828493,0.010182374036642123,4,0.2385476086601301,0.009739325782029084,4,0.011099918767309827,0.001241914294825702,4,1.0,0.0,4,0.009686127484494152,0.005491538503160108,0.009778276384019801,0.005091187018321061,0.004869662891014542,0.000620957147412851,0.0,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
double-well,CP,1.02,0.5393384944855311,0.017659890409982303,4,0.1024002805587085,0.010487440837233415,4,0.21908271603899804,0.01550727105673342,4,0.2288931181119268,0.011898492302427744,4,0.22864282549864315,0.011405490709077884,4,0.010381058514077807,0.001253870833572088,4,1.0,0.0,4,0.008829945204991151,0.005243720418616708,0.00775363552836671,0.005949246151213872,0.005702745354538942,0.000626935416786044,0.0,0.044680194829788474,-1.3928523387877063,1.3795041741603404,0.020000000000000018,0.09593733604311634
