method,eps,form_gap,gap_N_active,gap_retained_mass_before_renorm,gap_boundary_jump_mass_proxy,gap_residual
Langevin,0.3,0.23808601225495427,136,0.9999999999999961,0.0,2.927980390308412e-13
LSC-CP,0.3,1.2923287589905732,136,0.9999999999999961,0.3468974786980161,0.0018714732159605806
Langevin,0.24,0.17687214905370455,130,0.999999999999997,0.0,2.517504713704446e-13
LSC-CP,0.24,1.207409216295596,130,0.999999999999997,0.3921385260057137,0.002004395035082887
Langevin,0.2,0.13486423849648987,126,0.999999999999999,0.0,2.0324796539474887e-13
LSC-CP,0.2,1.1423883777305301,126,0.999999999999999,0.4210886517221889,0.002308988149697301
Langevin,0.16,0.09264323709665215,120,0.999999999999998,0.0,1.700277700274095e-13
LSC-CP,0.16,1.069810552358775,120,0.999999999999998,0.4555286099244028,0.00036927639084958824
Langevin,0.125,0.056903729308876896,114,0.9999999999999978,0.0,1.456847668197855e-13
LSC-CP,0.125,1.0014427578743919,114,0.9999999999999978,0.4808562159521552,0.0015884577769587963
Langevin,0.1,0.033618260187715084,110,0.9999999999999993,0.0,1.212918560363869e-13
LSC-CP,0.1,0.9536848809947018,110,0.9999999999999993,0.4926347616355872,0.001332384972606581
Langevin,0.08,0.017829018070814783,104,0.9999999999999943,0.0,8.961319432612983e-14
LSC-CP,0.08,0.9231337820255893,104,0.9999999999999943,0.500706820113408,0.0010004768377042139
Langevin,0.065,0.008705083416600362,100,0.9999999999999937,0.0,6.224586944522842e-14
LSC-CP,0.065,0.9101177496743977,100,0.9999999999999937,0.5024264865725593,0.00030878583494520933
