experiment,method,seed,time,KDE_bandwidth,KDE_integral,KDE_integral_before_grid_renormalization,KDE_tail_mass_outside_plot,L1_density_error,L2_density_error,truncated_KDE_chi2,KDE_CDF_sup_error,empirical_CDF_sup_error,KDE_vs_empirical_CDF_sup,chi_interval_left,chi_interval_right,chi_omitted_target_mass,chi_target_density_min,quadrature
triple-well,Langevin,0,0.0,0.09199214785700836,1.0,1.00000000000003,0.0,1.6792770888270936,1.381118799239265,7.545464870256502,0.8004714502819211,0.8091975005692015,0.05333610160703128,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,Langevin,0,0.0147,0.09199214785700836,1.0,1.0000000000000298,0.0,1.6702162499937692,1.3353475263710137,7.303839806385219,0.7981477968175451,0.8062808339025348,0.05654852924016587,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,Langevin,0,0.0294,0.09199214785700836,1.0,1.00000000000003,0.0,1.6615837002649507,1.281229382829284,7.023059941987117,0.7961650035192313,0.8020832281235719,0.049972126099255165,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,Langevin,0,0.0441,0.09199214785700836,1.0000000000000002,1.0000000000000298,0.0,1.656832244726956,1.2439094186801196,6.83157738020822,0.7957214415964542,0.8027093640794173,0.042888084909977,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,Langevin,0,0.0588,0.09199214785700836,1.0,1.00000000000003,0.0,1.6484166315376028,1.2062616918537301,6.63393937951192,0.7935105142247441,0.8013098173927901,0.04539904978381287,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,Langevin,0,0.0735,0.09199214785700836,0.9999999999999999,1.00000000000003,0.0,1.6431646529708368,1.1776298255854503,6.4858851134361615,0.7923932424390601,0.7988098173927901,0.040886931746356714,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,Langevin,0,0.0882,0.09199214785700836,1.0,1.0000000000000298,0.0,1.6373463903203889,1.143217841053601,6.307987403601819,0.790996416758749,0.7958636314447713,0.042326961272440816,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,Langevin,0,0.1029,0.09199214785700836,1.0,1.00000000000003,0.0,1.6343503869529035,1.1169219119680562,6.172919969937192,0.7904342644384456,0.7954165614569052,0.03796567866944486,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,Langevin,0,0.1176,0.09199214785700836,1.0000000000000002,1.0000000000000298,0.0,1.628381747475529,1.0926800980927787,6.047185617596669,0.7887943928335491,0.7946136314447714,0.03975438445382665,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
triple-well,Langevin,0,0.1323,0.09199214785700836,1.0,1.00000000000003,0.0,1.6210936077974378,1.0625910977541095,5.889319552503571,0.7866640878253711,0.7906656573830321,0.03952644207944242,-3.873942604832883,3.9304197895342594,0.020000000000000018,0.023294177633243915,composite trapezoid on reference grid
