experiment,method,x,local_Langevin_drift,Levy_score_correction,total_LSC_drift,jump_shell_center_positive,jump_shell_center_negative
triple-well,LSC-adjacent,-12.0,1.7066666666666706,6.091981051480773e+23,6.091981051480773e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.982844889206577,1.704226828687163,6.0251768495186314e+23,6.0251768495186314e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.965689778413152,1.701786990707655,5.980611108540923e+23,5.980611108540923e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.948534667619729,1.699347152728148,5.956524340289371e+23,5.956524340289371e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.931379556826304,1.6969073147486409,5.951299170646337e+23,5.951299170646337e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.91422444603288,1.694467476769135,5.963446741035482e+23,5.963446741035482e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.897069335239458,1.69202763878963,5.9915943356267965e+23,5.9915943356267965e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.879914224446033,1.689587800810102,6.034474128261869e+23,6.034474128261869e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.86275911365261,1.6871479628305992,6.09091295255804e+23,6.09091295255804e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.845604002859185,1.684708124851098,6.159823007310145e+23,6.159823007310145e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.828448892065762,1.6822682868715995,6.240193417191723e+23,6.240193417191723e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.811293781272337,1.6798284488920796,6.331082575908095e+23,6.331082575908095e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.794138670478914,1.6773886109125875,6.431611205457892e+23,6.431611205457892e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.77698355968549,1.6749487729331,6.54095607106182e+23,6.54095607106182e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.759828448892065,1.6725089349535938,6.658344296668896e+23,6.658344296668896e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.742673338098642,1.670069096974096,6.783048230820496e+23,6.783048230820496e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.725518227305217,1.6676292589946067,6.914380817050635e+23,6.914380817050635e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.708363116511794,1.665189421015106,7.051691427002284e+23,7.051691427002284e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.69120800571837,1.6627495830356436,7.194362118063879e+23,7.194362118063879e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.674052894924946,1.6603097450561526,7.341804280601473e+23,7.341804280601473e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.656897784131523,1.6578699070766854,7.493455642842089e+23,7.493455642842089e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.639742673338098,1.6554300690972479,7.648777604142717e+23,7.648777604142717e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.622587562544675,1.6529902311178013,7.80725286981308e+23,7.80725286981308e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.60543245175125,1.6505503931383774,7.96838336286182e+23,7.96838336286182e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.588277340957827,1.6481105551589903,8.13168839001176e+23,8.13168839001176e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.571122230164404,1.6456707171796308,8.296703041135909e+23,8.296703041135909e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.553967119370979,1.6432308792002943,8.462976802877958e+23,8.462976802877958e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.536812008577556,1.6407910412210058,8.630072368686336e+23,8.630072368686336e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.519656897784131,1.6383512032417944,8.797564628813659e+23,8.797564628813659e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.502501786990708,1.6359113652626283,8.96503982502469e+23,8.96503982502469e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.485346676197285,1.6334715272835778,9.132094855833406e+23,9.132094855833406e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.46819156540386,1.6310316893046308,9.298336719065517e+23,9.298336719065517e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.451036454610437,1.6285918513258153,9.463382079419036e+23,9.463382079419036e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.433881343817012,1.6261520133471983,9.626856949500034e+23,9.626856949500034e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.416726233023589,1.6237121753688004,9.788396473523639e+23,9.788396473523639e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.399571122230164,1.6212723373906477,9.947644803539278e+23,9.947644803539278e+23,3.0,-3.0
triple-well,LSC-adjacent,-11.38241601143674,1.61883249941287,1.0104255058629121e+24,1.0104255058629121e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.365260900643317,1.6163926614355242,1.0257889358076945e+24,1.0257889358076945e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.348105789849892,1.6139528234586977,1.0408218920008422e+24,1.0408218920008422e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.33095067905647,1.6115129854825438,1.055492421746557e+24,1.055492421746557e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.313795568263044,1.609073147507205,1.0697695184301026e+24,1.0697695184301026e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.296640457469621,1.606633309532903,1.0836231463681426e+24,1.0836231463681426e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.279485346676196,1.6041934715598678,1.0970242692356016e+24,1.0970242692356016e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.262330235882773,1.6017536335884157,1.1099448814197322e+24,1.1099448814197322e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.24517512508935,1.5993137956189154,1.1223580416856056e+24,1.1223580416856056e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.228020014295925,1.596873957651832,1.1342379085684678e+24,1.1342379085684678e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.210864903502502,1.5944341196877605,1.145559776939116e+24,1.145559776939116e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.193709792709077,1.5919942817274007,1.1563001152175501e+24,1.1563001152175501e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.176554681915654,1.5895544437716151,1.1664366027389579e+24,1.1664366027389579e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.159399571122231,1.587114605821533,1.1759481668042239e+24,1.1759481668042239e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.142244460328806,1.5846747678784212,1.1848150189737277e+24,1.1848150189737277e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.125089349535383,1.5822349299439507,1.1930186901921464e+24,1.1930186901921464e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.107934238741958,1.57979509202013,1.2005420643567112e+24,1.2005420643567112e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.090779127948535,1.577355254109422,1.207369409969528e+24,1.207369409969528e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.073624017155112,1.574915416214881,1.2134864095414082e+24,1.2134864095414082e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.056468906361687,1.5724755783401758,1.218880186439604e+24,1.218880186439604e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.039313795568264,1.5700357404899112,1.2235393289010276e+24,1.2235393289010276e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.022158684774839,1.5675959026696555,1.227453910956148e+24,1.227453910956148e+24,3.0,-3.0
triple-well,LSC-adjacent,-11.005003573981416,1.5651560648862617,1.230615510037863e+24,1.230615510037863e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.98784846318799,1.5627162271480464,1.233017221074442e+24,1.233017221074442e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.970693352394568,1.5602763894652945,1.2346536668931158e+24,1.2346536668931158e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.953538241601144,1.5578365518504398,1.2355210047861181e+24,1.2355210047861181e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.93638313080772,1.5553967143187724,1.2356169291186958e+24,1.2356169291186958e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.919228020014296,1.5529568768888349,1.2349406698825068e+24,1.2349406698825068e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.902072909220871,1.5505170395833605,1.2334929871254885e+24,1.2334929871254885e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.884917798427448,1.5480772024298994,1.2312761612127016e+24,1.2312761612127016e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.867762687634023,1.5456373654621016,1.228293978899019e+24,1.228293978899019e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.8506075768406,1.543197528720858,1.224551715217731e+24,1.224551715217731e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.833452466047177,1.540757692255863,1.2200561112132547e+24,1.2200561112132547e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.816297355253752,1.53831785612751,1.2148153475690564e+24,1.2148153475690564e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.799142244460329,1.5358780204090983,1.208839014204216e+24,1.208839014204216e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.781987133666906,1.5334381851895489,1.2021380759330833e+24,1.2021380759330833e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.764832022873481,1.5309983505766211,1.1947248343036058e+24,1.1947248343036058e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.747676912080058,1.5285585167009004,1.1866128857482679e+24,1.1866128857482679e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.730521801286633,1.5261186837204384,1.1778170762007833e+24,1.1778170762007833e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.71336669049321,1.5236788518264535,1.1683534523486905e+24,1.1683534523486905e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.696211579699785,1.5212390212500222,1.1582392097071158e+24,1.1582392097071158e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.679056468906362,1.5187991922703492,1.1474926377154236e+24,1.1474926377154236e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.661901358112939,1.5163593652244125,1.1361330620692895e+24,1.1361330620692895e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.644746247319514,1.5139195405187635,1.1241807845153059e+24,1.1241807845153059e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.62759113652609,1.5114797186434228,1.11165702034329e+24,1.11165702034329e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.610436025732666,1.5090399001886734,1.098583833822832e+24,1.098583833822832e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.593280914939243,1.5066000858650126,1.0849840718362776e+24,1.0849840718362776e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.576125804145818,1.5041602765271413,1.07088129596778e+24,1.07088129596778e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.558970693352395,1.5017204732024043,1.0562997133118279e+24,1.0562997133118279e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.541815582558971,1.4992806771248628,1.0412641062685063e+24,1.0412641062685063e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.524660471765547,1.496840889775757,1.0257997615935407e+24,1.0257997615935407e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.507505360972123,1.4944011129318315,1.0099323989726274e+24,1.0099323989726274e+24,3.0,-3.0
triple-well,LSC-adjacent,-10.490350250178698,1.4919613487228092,9.936880993866783e+23,9.936880993866783e+23,3.0,-3.0
triple-well,LSC-adjacent,-10.473195139385275,1.4895215996995992,9.770932335334292e+23,9.770932335334292e+23,3.0,-3.0
