method,dt,dt_scale,time,middle_error,mode_TV
Langevin,0.000175,0.5,0.0,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.0147,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.0294,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.0441,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.0588,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.0735,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.0882,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.1029,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.1176,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.1323,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.147,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.1617,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.1764,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.1911,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.2058,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.2205,0.40992834118157717,0.7525184498734276
Langevin,0.000175,0.5,0.2352,0.40992834118157717,0.7525184498734276
LSC-adjacent,0.000175,0.5,0.0,0.40992834118157717,0.7525184498734276
LSC-adjacent,0.000175,0.5,0.0147,0.3970711983244343,0.7396613070162847
LSC-adjacent,0.000175,0.5,0.0294,0.38992834118157715,0.7325184498734276
LSC-adjacent,0.000175,0.5,0.0441,0.3770711983244343,0.7196613070162847
LSC-adjacent,0.000175,0.5,0.0588,0.36849976975300575,0.711089878444856
LSC-adjacent,0.000175,0.5,0.0735,0.3570711983244343,0.6996613070162847
LSC-adjacent,0.000175,0.5,0.0882,0.34849976975300573,0.691089878444856
LSC-adjacent,0.000175,0.5,0.1029,0.34421405546729145,0.6868041641591418
LSC-adjacent,0.000175,0.5,0.1176,0.3384997697530058,0.6796613070162846
LSC-adjacent,0.000175,0.5,0.1323,0.3270711983244343,0.6668041641591418
LSC-adjacent,0.000175,0.5,0.147,0.3142140554672915,0.653947021301999
LSC-adjacent,0.000175,0.5,0.1617,0.3070711983244343,0.6453755927305703
LSC-adjacent,0.000175,0.5,0.1764,0.30135691261014863,0.6353755927305704
LSC-adjacent,0.000175,0.5,0.1911,0.2970711983244343,0.6310898784448561
LSC-adjacent,0.000175,0.5,0.2058,0.2956426268958629,0.6296613070162846
LSC-adjacent,0.000175,0.5,0.2205,0.29278548403872,0.6253755927305704
LSC-adjacent,0.000175,0.5,0.2352,0.2899283411815772,0.6225184498734275
LSC-overlong,0.000175,0.5,0.0,0.40992834118157717,0.7525184498734276
LSC-overlong,0.000175,0.5,0.0147,0.40992834118157717,0.7482327355877132
LSC-overlong,0.000175,0.5,0.0294,0.40992834118157717,0.7368041641591417
LSC-overlong,0.000175,0.5,0.0441,0.40992834118157717,0.7168041641591417
LSC-overlong,0.000175,0.5,0.0588,0.40992834118157717,0.7139470213019989
LSC-overlong,0.000175,0.5,0.0735,0.40992834118157717,0.7068041641591418
LSC-overlong,0.000175,0.5,0.0882,0.40992834118157717,0.6996613070162847
LSC-overlong,0.000175,0.5,0.1029,0.40992834118157717,0.6953755927305703
LSC-overlong,0.000175,0.5,0.1176,0.40992834118157717,0.6868041641591418
LSC-overlong,0.000175,0.5,0.1323,0.40707119832443434,0.6782327355877134
LSC-overlong,0.000175,0.5,0.147,0.40707119832443434,0.6725184498734276
LSC-overlong,0.000175,0.5,0.1617,0.39992834118157716,0.6553755927305704
LSC-overlong,0.000175,0.5,0.1764,0.39278548403872005,0.6396613070162845
LSC-overlong,0.000175,0.5,0.1911,0.38849976975300576,0.6296613070162846
LSC-overlong,0.000175,0.5,0.2058,0.3770711983244343,0.6110898784448561
LSC-overlong,0.000175,0.5,0.2205,0.3670711983244343,0.5982327355877133
LSC-overlong,0.000175,0.5,0.2352,0.3456426268958629,0.5668041641591418
Langevin,0.00035,1.0,0.0,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.0147,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.0294,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.0441,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.0588,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.0735,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.0882,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.1029,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.1176,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.1323,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.147,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.1617,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.1764,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.1911,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.2058,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.2205,0.40992834118157717,0.7525184498734276
Langevin,0.00035,1.0,0.2352,0.40992834118157717,0.7525184498734276
LSC-adjacent,0.00035,1.0,0.0,0.40992834118157717,0.7525184498734276
LSC-adjacent,0.00035,1.0,0.0147,0.40278548403872005,0.7453755927305705
LSC-adjacent,0.00035,1.0,0.0294,0.3970711983244343,0.7396613070162847
LSC-adjacent,0.00035,1.0,0.0441,0.38849976975300576,0.7310898784448561
LSC-adjacent,0.00035,1.0,0.0588,0.37849976975300575,0.7210898784448561
LSC-adjacent,0.00035,1.0,0.0735,0.3742140554672915,0.7153755927305704
LSC-adjacent,0.00035,1.0,0.0882,0.36849976975300575,0.7082327355877133
LSC-adjacent,0.00035,1.0,0.1029,0.35278548403872,0.6925184498734275
LSC-adjacent,0.00035,1.0,0.1176,0.3456426268958629,0.6853755927305704
LSC-adjacent,0.00035,1.0,0.1323,0.32992834118157716,0.6682327355877132
LSC-adjacent,0.00035,1.0,0.147,0.32278548403872004,0.6610898784448561
LSC-adjacent,0.00035,1.0,0.1617,0.3170711983244343,0.6553755927305703
LSC-adjacent,0.00035,1.0,0.1764,0.30564262689586286,0.643947021301999
LSC-adjacent,0.00035,1.0,0.1911,0.2970711983244343,0.6353755927305703
LSC-adjacent,0.00035,1.0,0.2058,0.29278548403872,0.6310898784448561
LSC-adjacent,0.00035,1.0,0.2205,0.2899283411815772,0.6268041641591419
LSC-adjacent,0.00035,1.0,0.2352,0.28421405546729145,0.6182327355877132
LSC-overlong,0.00035,1.0,0.0,0.40992834118157717,0.7525184498734276
LSC-overlong,0.00035,1.0,0.0147,0.40992834118157717,0.7496613070162846
LSC-overlong,0.00035,1.0,0.0294,0.40992834118157717,0.7439470213019989
LSC-overlong,0.00035,1.0,0.0441,0.40992834118157717,0.7296613070162846
LSC-overlong,0.00035,1.0,0.0588,0.40992834118157717,0.7225184498734274
LSC-overlong,0.00035,1.0,0.0735,0.40992834118157717,0.7096613070162846
LSC-overlong,0.00035,1.0,0.0882,0.40992834118157717,0.7025184498734275
LSC-overlong,0.00035,1.0,0.1029,0.40992834118157717,0.6925184498734276
LSC-overlong,0.00035,1.0,0.1176,0.40992834118157717,0.6839470213019988
LSC-overlong,0.00035,1.0,0.1323,0.4084997697530057,0.6782327355877132
LSC-overlong,0.00035,1.0,0.147,0.4056426268958629,0.6710898784448561
LSC-overlong,0.00035,1.0,0.1617,0.4056426268958629,0.6696613070162846
LSC-overlong,0.00035,1.0,0.1764,0.3984997697530057,0.653947021301999
LSC-overlong,0.00035,1.0,0.1911,0.3956426268958629,0.6410898784448561
LSC-overlong,0.00035,1.0,0.2058,0.3856426268958629,0.6253755927305703
LSC-overlong,0.00035,1.0,0.2205,0.36849976975300575,0.5982327355877132
LSC-overlong,0.00035,1.0,0.2352,0.3556426268958629,0.5825184498734275
Langevin,0.0007,2.0,0.0,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.0147,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.0294,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.0441,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.0588,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.0735,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.0882,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.1029,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.1176,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.1323,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.147,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.1617,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.1764,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.1911,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.2058,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.2205,0.40992834118157717,0.7525184498734276
Langevin,0.0007,2.0,0.2352,0.40992834118157717,0.7525184498734276
LSC-adjacent,0.0007,2.0,0.0,0.40992834118157717,0.7525184498734276
LSC-adjacent,0.0007,2.0,0.0147,0.4056426268958629,0.7482327355877132
LSC-adjacent,0.0007,2.0,0.0294,0.3984997697530057,0.7410898784448561
LSC-adjacent,0.0007,2.0,0.0441,0.39278548403872005,0.7353755927305705
LSC-adjacent,0.0007,2.0,0.0588,0.3813569126101486,0.723947021301999
LSC-adjacent,0.0007,2.0,0.0735,0.3742140554672915,0.7168041641591418
LSC-adjacent,0.0007,2.0,0.0882,0.3699283411815772,0.711089878444856
LSC-adjacent,0.0007,2.0,0.1029,0.3656426268958629,0.7053755927305704
LSC-adjacent,0.0007,2.0,0.1176,0.3599283411815772,0.6996613070162847
LSC-adjacent,0.0007,2.0,0.1323,0.3556426268958629,0.6925184498734276
LSC-adjacent,0.0007,2.0,0.147,0.3499283411815772,0.6839470213019989
LSC-adjacent,0.0007,2.0,0.1617,0.33707119832443433,0.6710898784448561
LSC-adjacent,0.0007,2.0,0.1764,0.32992834118157716,0.663947021301999
LSC-adjacent,0.0007,2.0,0.1911,0.3256426268958629,0.6582327355877132
LSC-adjacent,0.0007,2.0,0.2058,0.3199283411815772,0.6510898784448561
LSC-adjacent,0.0007,2.0,0.2205,0.3199283411815772,0.6482327355877132
LSC-adjacent,0.0007,2.0,0.2352,0.30564262689586286,0.633947021301999
LSC-overlong,0.0007,2.0,0.0,0.40992834118157717,0.7525184498734276
LSC-overlong,0.0007,2.0,0.0147,0.40992834118157717,0.7482327355877132
LSC-overlong,0.0007,2.0,0.0294,0.40992834118157717,0.7396613070162847
LSC-overlong,0.0007,2.0,0.0441,0.40992834118157717,0.7325184498734276
LSC-overlong,0.0007,2.0,0.0588,0.40992834118157717,0.7239470213019988
LSC-overlong,0.0007,2.0,0.0735,0.40992834118157717,0.7139470213019989
LSC-overlong,0.0007,2.0,0.0882,0.40992834118157717,0.7039470213019988
LSC-overlong,0.0007,2.0,0.1029,0.40992834118157717,0.7039470213019988
LSC-overlong,0.0007,2.0,0.1176,0.40992834118157717,0.6968041641591417
LSC-overlong,0.0007,2.0,0.1323,0.40707119832443434,0.6925184498734276
LSC-overlong,0.0007,2.0,0.147,0.4056426268958629,0.6882327355877133
LSC-overlong,0.0007,2.0,0.1617,0.4056426268958629,0.6853755927305704
LSC-overlong,0.0007,2.0,0.1764,0.40278548403872005,0.6768041641591417
LSC-overlong,0.0007,2.0,0.1911,0.38849976975300576,0.6596613070162847
LSC-overlong,0.0007,2.0,0.2058,0.37849976975300575,0.6410898784448561
LSC-overlong,0.0007,2.0,0.2205,0.36278548403872,0.6196613070162846
LSC-overlong,0.0007,2.0,0.2352,0.3384997697530058,0.5882327355877133
