jump,source,target,prob
adjacent a=3,0,0,0.4980428571428571
adjacent a=3,0,1,0.5019571428571429
adjacent a=3,0,2,0.0
adjacent a=3,1,0,0.4980428571428571
adjacent a=3,1,1,0.0
adjacent a=3,1,2,0.5019571428571429
adjacent a=3,2,0,0.0
adjacent a=3,2,1,0.4980428571428571
adjacent a=3,2,2,0.5019571428571429
overlong a=6,0,0,0.5027285714285714
overlong a=6,0,1,0.0
overlong a=6,0,2,0.4972714285714286
overlong a=6,1,0,0.5027285714285714
overlong a=6,1,1,0.0
overlong a=6,1,2,0.4972714285714286
overlong a=6,2,0,0.5027285714285714
overlong a=6,2,1,0.0
overlong a=6,2,2,0.4972714285714286
