method,metric,r_obs,r_obs_se,r_obs_seed_std,n_seed_fit,t_min,t_max
Langevin,mode_TV,0.006868201274613807,0.0004505990452892248,0.0009011980905784496,4,1.047375,3.5610749999999998
Langevin,middle_error,0.012684300622832961,0.0008354651294359652,0.0016709302588719303,4,1.047375,3.5610749999999998
Langevin,W1,0.002316408240069843,0.00037751553730343604,0.0007550310746068721,4,1.047375,3.5610749999999998
Langevin,CDF_sup,0.011056856743721205,0.0007896746555209316,0.0015793493110418631,4,1.047375,3.5610749999999998
Kinetic-Langevin,mode_TV,0.08960953978600858,0.0050248254201688955,0.010049650840337791,4,1.047375,3.5610749999999998
Kinetic-Langevin,middle_error,0.14293608223960882,0.009181880273503635,0.01836376054700727,4,1.047375,3.5610749999999998
Kinetic-Langevin,W1,0.07151492606538151,0.005051464805230146,0.010102929610460292,4,1.047375,3.5610749999999998
Kinetic-Langevin,CDF_sup,0.08933223949592044,0.00520344286325532,0.01040688572651064,4,1.047375,3.5610749999999998
LSC-adjacent,mode_TV,0.6661445639626166,0.05640673408456008,0.11281346816912016,4,1.047375,3.5610749999999998
LSC-adjacent,middle_error,-0.03931896927264683,0.12105324250826653,0.24210648501653306,4,1.047375,3.5610749999999998
LSC-adjacent,W1,0.7154150034134144,0.07485431131712408,0.14970862263424817,4,1.047375,3.5610749999999998
LSC-adjacent,CDF_sup,0.7049102983158326,0.058199605232887044,0.11639921046577409,4,1.047375,3.5610749999999998
LSC-overlong,mode_TV,0.289038693858006,0.15144682187953057,0.30289364375906114,4,1.047375,3.5610749999999998
LSC-overlong,middle_error,0.5968817224704068,0.2563002324350329,0.5126004648700658,4,1.047375,3.5610749999999998
LSC-overlong,W1,0.40889093554840655,0.09456438028848481,0.18912876057696962,4,1.047375,3.5610749999999998
LSC-overlong,CDF_sup,0.8334329643846339,0.07995040337772333,0.15990080675544666,4,1.047375,3.5610749999999998
CP-overlong,mode_TV,0.13391471654227918,0.006803585905041763,0.013607171810083526,4,1.047375,3.5610749999999998
CP-overlong,middle_error,0.10456327942035816,0.002314071217544332,0.004628142435088664,4,1.047375,3.5610749999999998
CP-overlong,W1,-0.04738395879570652,0.000933686758132824,0.001867373516265648,4,1.047375,3.5610749999999998
CP-overlong,CDF_sup,0.0453810232733119,0.002103415385019386,0.004206830770038772,4,1.047375,3.5610749999999998
