method,seed,basin,majority_dwell_time
Langevin,0,basin_0,4.2
Langevin,0,basin_1,0.0
Langevin,0,basin_2,0.0
Langevin,0,round_trip_0_to_last_to_0,0.0
LSC-shell,0,basin_0,4.2
LSC-shell,0,basin_1,0.0
LSC-shell,0,basin_2,0.0
LSC-shell,0,round_trip_0_to_last_to_0,0.0
CP-shell,0,basin_0,4.2
CP-shell,0,basin_1,0.0
CP-shell,0,basin_2,0.0
CP-shell,0,round_trip_0_to_last_to_0,0.0
Langevin,1,basin_0,4.2
Langevin,1,basin_1,0.0
Langevin,1,basin_2,0.0
Langevin,1,round_trip_0_to_last_to_0,0.0
LSC-shell,1,basin_0,4.2
LSC-shell,1,basin_1,0.0
LSC-shell,1,basin_2,0.0
LSC-shell,1,round_trip_0_to_last_to_0,0.0
CP-shell,1,basin_0,4.2
CP-shell,1,basin_1,0.0
CP-shell,1,basin_2,0.0
CP-shell,1,round_trip_0_to_last_to_0,0.0
Langevin,2,basin_0,4.2
Langevin,2,basin_1,0.0
Langevin,2,basin_2,0.0
Langevin,2,round_trip_0_to_last_to_0,0.0
LSC-shell,2,basin_0,4.2
LSC-shell,2,basin_1,0.0
LSC-shell,2,basin_2,0.0
LSC-shell,2,round_trip_0_to_last_to_0,0.0
CP-shell,2,basin_0,4.2
CP-shell,2,basin_1,0.0
CP-shell,2,basin_2,0.0
CP-shell,2,round_trip_0_to_last_to_0,0.0
Langevin,3,basin_0,4.2
Langevin,3,basin_1,0.0
Langevin,3,basin_2,0.0
Langevin,3,round_trip_0_to_last_to_0,0.0
LSC-shell,3,basin_0,4.2
LSC-shell,3,basin_1,0.0
LSC-shell,3,basin_2,0.0
LSC-shell,3,round_trip_0_to_last_to_0,0.0
CP-shell,3,basin_0,4.2
CP-shell,3,basin_1,0.0
CP-shell,3,basin_2,0.0
CP-shell,3,round_trip_0_to_last_to_0,0.0
