method,matrix_kind,from_state,to_state,count,probability
Langevin,jump_step_basin,basin_0,basin_0,0.0,0.0
Langevin,jump_step_basin,basin_0,basin_1,0.0,0.0
Langevin,jump_step_basin,basin_0,basin_2,0.0,0.0
Langevin,jump_step_basin,basin_1,basin_0,0.0,0.0
Langevin,jump_step_basin,basin_1,basin_1,0.0,0.0
Langevin,jump_step_basin,basin_1,basin_2,0.0,0.0
Langevin,jump_step_basin,basin_2,basin_0,0.0,0.0
Langevin,jump_step_basin,basin_2,basin_1,0.0,0.0
Langevin,jump_step_basin,basin_2,basin_2,0.0,0.0
LSC-shell,jump_step_basin,basin_0,basin_0,3160.0,0.5235255135851558
LSC-shell,jump_step_basin,basin_0,basin_1,6.0,0.0009940357852882703
LSC-shell,jump_step_basin,basin_0,basin_2,2870.0,0.475480450629556
LSC-shell,jump_step_basin,basin_1,basin_0,68.0,0.08076009501187649
LSC-shell,jump_step_basin,basin_1,basin_1,412.0,0.48931116389548696
LSC-shell,jump_step_basin,basin_1,basin_2,362.0,0.42992874109263657
LSC-shell,jump_step_basin,basin_2,basin_0,380.0,0.48717948717948717
LSC-shell,jump_step_basin,basin_2,basin_1,298.0,0.382051282051282
LSC-shell,jump_step_basin,basin_2,basin_2,102.0,0.13076923076923078
CP-shell,jump_step_basin,basin_0,basin_0,2987.0,0.5962075848303393
CP-shell,jump_step_basin,basin_0,basin_1,15.0,0.0029940119760479044
CP-shell,jump_step_basin,basin_0,basin_2,2008.0,0.40079840319361276
CP-shell,jump_step_basin,basin_1,basin_0,99.0,0.06865464632454923
CP-shell,jump_step_basin,basin_1,basin_1,744.0,0.5159500693481276
CP-shell,jump_step_basin,basin_1,basin_2,599.0,0.41539528432732314
CP-shell,jump_step_basin,basin_2,basin_0,552.0,0.44914564686737185
CP-shell,jump_step_basin,basin_2,basin_1,543.0,0.44182262001627337
CP-shell,jump_step_basin,basin_2,basin_2,134.0,0.10903173311635476
Langevin,jump_step_basin,basin_0,basin_0,0.0,0.0
Langevin,jump_step_basin,basin_0,basin_1,0.0,0.0
Langevin,jump_step_basin,basin_0,basin_2,0.0,0.0
Langevin,jump_step_basin,basin_1,basin_0,0.0,0.0
Langevin,jump_step_basin,basin_1,basin_1,0.0,0.0
Langevin,jump_step_basin,basin_1,basin_2,0.0,0.0
