method,seed,time,phase_TV,phase_balance_l2,coverage,entropy,effective_phase_count,mean_q1,mean_q2,mean_order_norm,radial_order_error,second_moment_error,mean_energy,energy_harmonic_reference_error,energy_std,mass_0,mass_1,mass_2,mass_3,nearest_minimum_diagnostic_mass_0,nearest_minimum_diagnostic_mass_1,nearest_minimum_diagnostic_mass_2,nearest_minimum_diagnostic_mass_3,nearest_minimum_diagnostic_TV,magnetization_norm_mean,binder_cumulant,susceptibility,mean_total_energy_density,mean_gradient_energy_density,mean_local_energy_density,vector_correlation_0,vector_correlation_1,structure_factor_0,structure_factor_1,domain_wall_density_mean,coherent_field_fraction,noncoherent_field_probability,coherent_phase_TV,coherence_magnetization_threshold,coherence_domain_wall_threshold,coherent_phase_mass_0,coherent_phase_mass_1,coherent_phase_mass_2,coherent_phase_mass_3,clip_fraction_mean,clip_fraction_max,safety_clip_fraction,jump_count,mean_jump_count,undirected_edges,directed_atoms,graph_family,jump_type,n_atoms,n_theta,n_rho,rho_n,jump_cost_proxy,score_cost_proxy,total_cost_proxy,cost_proxy,h_shell,max_jump_count,mean_energy_after_jump,mean_energy_before_jump,total_jump_count,effective_log_clip,score_effective_log_clip,score_h_shell,logratio_clip_fraction,score_logratio_clip_fraction,max_log_ratio,score_max_log_ratio,max_score_norm,score_max_score_norm,moment_score,score_moment_score,score_n_rho,score_n_theta,overflow_guard_logratio_clip_fraction,score_overflow_guard_logratio_clip_fraction,score_rho_n,score_changing_logratio_clip_fraction,score_score_changing_logratio_clip_fraction,score_clip_fraction,score_score_clip_fraction
LSC-cycle-shell,20261157,2.6,0.09682118502137499,0.11292437041321873,4,1.211881763761944,3.359801059573463,0.4247980822289833,0.3196831568511608,0.5316490679383776,0.22535999833539253,0.1277083222639859,4.036262373125186,0.8362623731251855,0.805216602260035,0.09777777777777778,0.16555555555555557,0.23555555555555555,0.5011111111111111,0.09777777777777778,0.19333333333333333,0.23555555555555555,0.47333333333333333,0.12459896279915275,1.356073491153999,0.42638052112745717,23.59909998098118,0.12613319916016205,0.12556634626401217,0.0005668528961498814,1.9196611534494052,1.9180915741211049,61.20584002723712,0.06363488917015306,0.0038888888888888888,0.8788888888888889,0.12111111111111106,0.1200561899377958,1.0028725735507709,0.08,0.10998735777496839,0.1504424778761062,0.26169405815423513,0.4778761061946903,0.0013146901709401699,0.006666666666666667,0.0013146901709401699,2.8484615384615384,0.0031649572649572653,4,8,cycle,shell,8,5,3,3,1170000,140400000,141570000,141570000,0.08,0.9407692307692308,4.091754051776305,4.050493094155607,2.8484615384615384,707.782712893384,707.782712893384,0.07999999999999999,0.0,0.0,762.6316359804968,762.6316359804968,14263689587455.982,14263689587455.982,1.0,1.0,3.0,5.0,2.8960113960113963e-05,2.8960113960113963e-05,3.0,0.0,0.0,0.00041837606837606835,0.00041837606837606835
LSC-cycle-shell,20262157,2.6,0.10348785168804163,0.12039446223108224,4,1.2251718704305625,3.4047512085626432,0.4334802365548724,0.2949013486640855,0.5242822912587881,0.23181560852867764,0.12371026760160027,4.027720994082174,0.8277209940821741,0.7525157073130869,0.11222222222222222,0.15666666666666668,0.23666666666666666,0.49444444444444446,0.11222222222222222,0.18555555555555556,0.23666666666666666,0.46555555555555556,0.13237674057693052,1.3679540824596184,0.42066363589953804,26.61880611502255,0.12586628106506795,0.12523221757090186,0.0006340634941661144,1.961309437796513,1.9597440350768767,62.54342850647621,0.06195752287565826,0.003958333333333334,0.8788888888888889,0.12111111111111106,0.13016996996308025,1.0028725735507709,0.08,0.12389380530973451,0.14412136536030343,0.26422250316055623,0.46776232616940583,0.0013055956196581175,0.005555555555555556,0.0013055956196581175,2.9,0.0032222222222222222,4,8,cycle,shell,8,5,3,3,1170000,140400000,141570000,141570000,0.08,0.953076923076923,4.090234469923347,4.048952913712067,2.9,707.782712893384,707.782712893384,0.07999999999999999,0.0,0.0,760.3193473673163,760.3193473673163,10497397482718.625,10497397482718.625,1.0,1.0,3.0,5.0,2.849002849002849e-05,2.849002849002849e-05,3.0,0.0,0.0,0.0003700854700854701,0.0003700854700854701
LSC-MST-shell,20261140,2.6,0.17312579910851,0.20507778051023873,4,1.1510148770738842,3.1613997142496855,0.14821065050436413,0.2591134318991437,0.29850656192700165,0.23562336813303597,0.1565502310060468,3.9914175664181064,0.7914175664181062,0.7466956903815536,0.2411111111111111,0.09333333333333334,0.12111111111111111,0.5444444444444444,0.2411111111111111,0.14666666666666667,0.12111111111111111,0.4911111111111111,0.19878657557977578,1.334428523087843,0.41868223633028456,25.159042122403008,0.12473179895056583,0.12386490764780154,0.0008668913027642916,1.8661686918653946,1.864620380519797,59.49828767561309,0.0625621750636148,0.002673611111111111,0.8788888888888889,0.12111111111111106,0.19876563616427623,1.0028725735507709,0.08,0.2667509481668774,0.08723135271807839,0.1302149178255373,0.515802781289507,0.0009272569444444414,0.004427083333333333,0.0009272569444444414,2.8953846153846152,0.003217094017094017,3,6,MST,shell,6,5,3,3,1170000,105300000,106470000,106470000,0.08,0.9569230769230769,4.077322127815275,4.053286136869835,2.8953846153846152,707.782712893384,707.782712893384,0.07999999999999999,0.0,0.0,409.28483281915857,409.28483281915857,3462787283.8250895,3462787283.8250895,1.0,1.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,4.444444444444444e-05,4.444444444444444e-05
LSC-MST-shell,20262140,2.6,0.16979246577517668,0.20446803239795763,4,1.1605742595813644,3.191765651943239,0.14008699132921856,0.28775621658558154,0.3200437553262378,0.23735529182733434,0.16083538419481713,4.063340532473988,0.8633405324739876,0.8417435963093471,0.23777777777777778,0.10555555555555556,0.11555555555555555,0.5411111111111111,0.23777777777777778,0.15555555555555556,0.11555555555555555,0.4911111111111111,0.20434213113533137,1.332168583549851,0.4173492247656977,25.392375735208574,0.12697939163981212,0.12594260693907702,0.0010367847007351073,1.8610369029999598,1.8594626204132214,59.32877789343173,0.06409148495755979,0.005694444444444445,0.8744444444444445,0.12555555555555553,0.19503883030997826,1.0028725735507709,0.08,0.2630241423125794,0.09529860228716645,0.1181702668360864,0.5235069885641678,0.0009172275641025617,0.0050347222222222225,0.0009172275641025617,2.853076923076923,0.00317008547008547,3,6,MST,shell,6,5,3,3,1170000,105300000,106470000,106470000,0.08,0.9376923076923077,4.071557651542786,4.0484798949053316,2.853076923076923,707.782712893384,707.782712893384,0.07999999999999999,0.0,0.0,408.2931179265215,408.2931179265215,5029585546.202793,5029585546.202793,1.0,1.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,5.726495726495726e-05,5.726495726495726e-05
LSC-complete-shell,20261191,2.6,0.04878366797317864,0.0596924436948866,4,1.0602631205775213,2.8871305527936095,0.5287148563531257,0.366398156783778,0.6432627834898081,0.2255598818936506,0.1410779615958898,3.943756589271038,0.7437565892710376,0.7506438309129337,0.1,0.07222222222222222,0.22444444444444445,0.6033333333333334,0.1,0.14,0.22555555555555556,0.5344444444444445,0.06348785168804162,1.345101057579147,0.42470998189478393,23.212001024930373,0.12324239341471993,0.12348572651183301,-0.000243333097113088,1.888835134498803,1.8872915629174056,60.21869946571033,0.06455316716876609,0.005138888888888889,0.88,0.12,0.0674230348127354,1.0028725735507709,0.08,0.10984848484848485,0.06060606060606061,0.23863636363636365,0.5909090909090909,0.0011477029914529907,0.004895833333333334,0.0011477029914529907,2.883076923076923,0.0032034188034188033,6,12,complete,shell,12,5,3,3,1170000,210600000,211770000,211770000,0.08,0.9423076923076923,4.0597696099191225,4.02236340895919,2.883076923076923,707.782712893384,707.782712893384,0.07999999999999999,0.0,0.0,744.9822712457333,744.9822712457333,2660925625120.6934,2660925625120.6934,1.0,1.0,3.0,5.0,1.5997150997151e-05,1.5997150997151e-05,3.0,0.0,0.0,0.00027179487179487176,0.00027179487179487176
LSC-MST-shell,20260140,2.6,0.17979246577517669,0.21714101778753778,4,1.1434961431284931,3.1377191264806408,0.11144137420206728,0.2836539256126524,0.30476011779679024,0.24108361314478405,0.1963654554298165,4.065681094035061,0.865681094035061,0.7961250166859655,0.2477777777777778,0.10111111111111111,0.10444444444444445,0.5466666666666666,0.2477777777777778,0.15444444444444444,0.10666666666666667,0.4911111111111111,0.21323102002422026,1.3139688927766735,0.4180847856074301,24.4175762562746,0.12705253418859566,0.1261749681757818,0.000877566012813864,1.8097938615656737,1.8082166744634764,57.69021366353975,0.06352315680487515,0.004166666666666667,0.8577777777777778,0.14222222222222225,0.2131027708989533,1.0028725735507709,0.08,0.2810880829015544,0.09844559585492228,0.10103626943005181,0.5194300518134715,0.0009158119658119642,0.004392361111111111,0.0009158119658119642,2.846923076923077,0.003163247863247863,3,6,MST,shell,6,5,3,3,1170000,105300000,106470000,106470000,0.08,0.9476923076923077,4.0762153392753735,4.052417385668942,2.846923076923077,707.782712893384,707.782712893384,0.07999999999999999,0.0,0.0,406.30157909297924,406.30157909297924,3463594938.606645,3463594938.606645,1.0,1.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,3.461538461538461e-05,3.461538461538461e-05
LSC-5-shell,20261174,2.6,0.03893818632788695,0.04151712211085797,4,1.080301995867101,2.9455689664130023,0.5395612368880232,0.36762455095197233,0.6528967290581054,0.2376689875150994,0.13876236254064067,3.9949184065956587,0.7949184065956585,0.7606870997017681,0.08333333333333333,0.09222222222222222,0.23666666666666666,0.5877777777777777,0.08333333333333333,0.15888888888888889,0.23777777777777778,0.52,0.07793229613248606,1.3438280018853286,0.41926767910310203,25.1816002805122,0.12484120020611433,0.1247387660704563,0.0001024341356580346,1.8913542292965217,1.8897949947206412,60.30611838488696,0.06070624205775046,0.004027777777777778,0.8788888888888889,0.12111111111111106,0.06533515219387934,1.0028725735507709,0.08,0.0897597977243995,0.08343868520859671,0.25663716814159293,0.5701643489254109,0.0012751335470085467,0.005555555555555556,0.0012751335470085467,2.9,0.0032222222222222222,5,10,5,shell,10,5,3,3,1170000,175500000,176670000,176670000,0.08,0.9476923076923077,4.071516722328688,4.027606427350147,2.9,707.782712893384,707.782712893384,0.07999999999999999,0.0,0.0,758.8702292108786,758.8702292108786,5462302115873.586,5462302115873.586,1.0,1.0,3.0,5.0,2.1851851851851852e-05,2.1851851851851852e-05,3.0,0.0,0.0,0.000344017094017094,0.000344017094017094
LSC-cycle-shell,20260157,2.6,0.0912656294658194,0.10836584469589593,4,1.1972677603708726,3.311057948985987,0.4609158550832807,0.2740036402205283,0.5362102389187031,0.24552414854399496,0.1232040799516016,3.9932270926835236,0.7932270926835234,0.739218630629958,0.10555555555555556,0.13111111111111112,0.25666666666666665,0.5066666666666667,0.10555555555555556,0.17666666666666667,0.25666666666666665,0.46111111111111114,0.13682118502137494,1.3572333186017163,0.4169622819128871,27.77767944076338,0.12478834664636011,0.12394094516825183,0.0008474014781082791,1.935673015203391,1.9341237533887883,61.72440094000055,0.061327858453745845,0.0030555555555555557,0.8455555555555555,0.1544444444444445,0.12366880393629692,1.0028725735507709,0.08,0.12089356110381078,0.11957950065703023,0.28383705650459923,0.4756898817345598,0.0013399038461538468,0.005,0.0013399038461538468,2.8915384615384614,0.0032128205128205134,4,8,cycle,shell,8,5,3,3,1170000,140400000,141570000,141570000,0.08,0.9492307692307692,4.095510207573538,4.053360081223338,2.8915384615384614,707.782712893384,707.782712893384,0.07999999999999999,0.0,0.0,765.0578241146445,765.0578241146445,12109824210292.787,12109824210292.787,1.0,1.0,3.0,5.0,2.8575498575498574e-05,2.8575498575498574e-05,3.0,0.0,0.0,0.00037264957264957263,0.00037264957264957263
Langevin,20262123,2.6,0.932014687997399,1.1341157041619936,1,2.072326583694641e-297,1.0,-1.1837199764621187,-1.0712928316073145,1.5965153659544584,0.17569666011124493,0.4436774685716134,3.8222633413729774,0.6222633413729772,0.6918050719229648,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.932014687997399,1.6005112463572957,0.48934889257807357,4.409300661526174,0.11944572941790554,0.11789113488639412,0.001554594531511412,2.5822841424338088,2.5808105032477284,82.4132900570706,0.06523605452689561,0.0,1.0,0.0,0.932014687997399,1.0028725735507709,0.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,none,none,0,0,0,0,1170000,0,1170000,1170000,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LSC-5-shell,20262174,2.6,0.025604852994553604,0.03237733895296261,4,1.115449674353945,3.0509398001517423,0.47264675206990964,0.40650391696288585,0.6234102876504393,0.2281365692765332,0.16116670739095204,3.9705144386358193,0.7705144386358191,0.7535581037872628,0.09333333333333334,0.11444444444444445,0.21333333333333335,0.5788888888888889,0.09333333333333334,0.19444444444444445,0.21333333333333335,0.4988888888888889,0.0990434072435972,1.3357564511535687,0.4263144589071224,22.749810426937458,0.12407857620736935,0.1239965468357371,8.202937163224483e-05,1.8621347748208914,1.8605848179854445,59.37083054024182,0.061110773308010256,0.006666666666666667,0.8866666666666667,0.11333333333333329,0.049765253997059875,1.0028725735507709,0.08,0.10025062656641603,0.09774436090225563,0.23057644110275688,0.5714285714285714,0.0012036324786324822,0.005104166666666667,0.0012036324786324822,2.7684615384615383,0.003076068376068376,5,10,5,shell,10,5,3,3,1170000,175500000,176670000,176670000,0.08,0.9484615384615385,4.061576861827295,4.020329371327658,2.7684615384615383,707.782712893384,707.782712893384,0.07999999999999999,0.0,0.0,749.4875868641376,749.4875868641376,4707015432879.968,4707015432879.968,1.0,1.0,3.0,5.0,2.1111111111111107e-05,2.1111111111111107e-05,3.0,0.0,0.0,0.00033376068376068376,0.00033376068376068376
