epsilon,replicate,metric,bias_floor_value,N_particles,KDE_bandwidth
0.35,0,truncated_KDE_chi2,0.00390950748466975,2400,0.0673939291753364
0.35,0,well_TV,0.0050000000000001155,2400,0.0673939291753364
0.35,0,W1,0.020834310408660885,2400,0.0673939291753364
0.35,0,CDF_sup,0.016097881032224537,2400,0.0673939291753364
0.35,1,truncated_KDE_chi2,0.0064478675479067386,2400,0.0673939291753364
0.35,1,well_TV,0.019583333333333452,2400,0.0673939291753364
0.35,1,W1,0.02852981893861315,2400,0.0673939291753364
0.35,1,CDF_sup,0.024264663059064218,2400,0.0673939291753364
0.35,2,truncated_KDE_chi2,0.0037595423462135685,2400,0.0673939291753364
0.35,2,well_TV,0.0016666666666665941,2400,0.0673939291753364
0.35,2,W1,0.008290455572306912,2400,0.0673939291753364
0.35,2,CDF_sup,0.010630841137069996,2400,0.0673939291753364
0.35,3,truncated_KDE_chi2,0.0051033113292626095,2400,0.0673939291753364
0.35,3,well_TV,0.0029166666666665675,2400,0.0673939291753364
0.35,3,W1,0.012727253896742605,2400,0.0673939291753364
0.35,3,CDF_sup,0.009661154478649597,2400,0.0673939291753364
0.35,4,truncated_KDE_chi2,0.0036473704126320427,2400,0.0673939291753364
0.35,4,well_TV,0.009166666666666545,2400,0.0673939291753364
0.35,4,W1,0.014013813426851426,2400,0.0673939291753364
0.35,4,CDF_sup,0.011472012817044464,2400,0.0673939291753364
0.35,5,truncated_KDE_chi2,0.007601910021307483,2400,0.0673939291753364
0.35,5,well_TV,0.011250000000000093,2400,0.0673939291753364
0.35,5,W1,0.019894652866220594,2400,0.0673939291753364
0.35,5,CDF_sup,0.015322271573734336,2400,0.0673939291753364
0.35,6,truncated_KDE_chi2,0.0034391044151519004,2400,0.0673939291753364
0.35,6,well_TV,0.016666666666666607,2400,0.0673939291753364
0.35,6,W1,0.029825966372921717,2400,0.0673939291753364
0.35,6,CDF_sup,0.017547113003328674,2400,0.0673939291753364
0.35,7,truncated_KDE_chi2,0.0051992269957930205,2400,0.0673939291753364
0.35,7,well_TV,0.007083333333333441,2400,0.0673939291753364
0.35,7,W1,0.011374926392796188,2400,0.0673939291753364
0.35,7,CDF_sup,0.012162052457554334,2400,0.0673939291753364
0.35,8,truncated_KDE_chi2,0.005754286187747673,2400,0.0673939291753364
0.35,8,well_TV,0.011666666666666603,2400,0.0673939291753364
0.35,8,W1,0.01809928089867115,2400,0.0673939291753364
0.35,8,CDF_sup,0.01667594599885197,2400,0.0673939291753364
0.35,9,truncated_KDE_chi2,0.004279253262676492,2400,0.0673939291753364
0.35,9,well_TV,0.0183333333333332,2400,0.0673939291753364
0.35,9,W1,0.05155262744479744,2400,0.0673939291753364
0.35,9,CDF_sup,0.02954592929953659,2400,0.0673939291753364
0.35,10,truncated_KDE_chi2,0.009057869994123592,2400,0.0673939291753364
0.35,10,well_TV,0.017500000000000127,2400,0.0673939291753364
0.35,10,W1,0.051634850777433954,2400,0.0673939291753364
0.35,10,CDF_sup,0.028847996392397546,2400,0.0673939291753364
0.35,11,truncated_KDE_chi2,0.004230495471500194,2400,0.0673939291753364
0.35,11,well_TV,0.007083333333333441,2400,0.0673939291753364
0.35,11,W1,0.02152779199493241,2400,0.0673939291753364
0.35,11,CDF_sup,0.013376337283114353,2400,0.0673939291753364
0.35,12,truncated_KDE_chi2,0.006035977725861733,2400,0.0673939291753364
0.35,12,well_TV,0.0050000000000001155,2400,0.0673939291753364
0.35,12,W1,0.014476660651604549,2400,0.0673939291753364
0.35,12,CDF_sup,0.013795938191405899,2400,0.0673939291753364
0.35,13,truncated_KDE_chi2,0.008146886883413917,2400,0.0673939291753364
