method,metric,epsilon_subset,model_family,n_points,n_epsilon,n_censored,C_hat,parameter_name,parameter_hat,Delta_hat,alpha_hat,standard_error,bootstrap_CI,bootstrap_ci_low,bootstrap_ci_high,bootstrap_C_CI,bootstrap_C_ci_low,bootstrap_C_ci_high,bootstrap_successes,log_likelihood,log_R2,AIC,BIC,leave_one_out_error,residual_RMSE_log,sigma_log_time,converged,selected_fit
Langevin,truncated_KDE_chi2,all,arrhenius,96,16,0,3.2080897963035366,Delta_hat,0.2669379498265854,0.2669379498265854,,0.0018545446634684404,"[0.26450174, 0.26946174]",0.2645017421788298,0.26946174243500515,"[3.1387207, 3.2819228]",3.1387206748466334,3.281922831201027,295,96.41854146022726,0.9953877033547252,-186.83708292045452,-179.14403834605102,-0.795856604053113,0.08862880688424332,0.08862882426485896,True,True
Langevin,truncated_KDE_chi2,all,polynomial,96,16,0,0.359737260264404,alpha_hat,2.2473205673890595,,2.2473205673890595,0.052164812927494586,"[2.2271675, 2.2694645]",2.227167488841461,2.2694645110782687,"[0.3444696, 0.37402121]",0.3444696006040905,0.3740212055448816,300,-17.186650668104377,0.9508193252522429,40.373301336208755,48.06634591061226,0.6858037813490613,0.2894099968318229,0.2894099966204391,True,False
Langevin,well_TV,all,arrhenius,96,16,0,3.916208402723631,Delta_hat,0.2654582785051879,0.2654582785051879,,0.00199829064345985,"[0.2630251, 0.2685374]",0.263025100448603,0.2685374049632259,"[3.8175698, 3.9963521]",3.8175698259553794,3.9963521077045963,297,89.25183959164374,0.9945894701040383,-172.5036791832875,-164.810634608884,-0.7911630018993071,0.0954984563388082,0.09549845510007911,True,True
Langevin,well_TV,all,polynomial,96,16,0,0.4446983413672728,alpha_hat,2.2346423182645854,,2.2346423182645854,0.05239553837794395,"[2.2120396, 2.2557005]",2.2120396078524176,2.255700481403043,"[0.42805378, 0.46559335]",0.4280537759845722,0.4655933517239891,300,-17.61032362501841,0.9498688735011854,41.22064725003682,48.91369182444033,0.7085361916750506,0.29069006093533434,0.29069005973341516,True,False
Langevin,W1,all,arrhenius,96,16,1,4.21292039792084,Delta_hat,0.270785046236943,0.270785046236943,,0.002728884588169057,"[0.26819644, 0.27373196]",0.2681964423764212,0.2737319638119817,"[4.1055251, 4.3020555]",4.105525060025926,4.302055484322578,296,59.42220578605571,0.9900909196048465,-112.84441157211143,-105.15136699770792,-0.46164598714702726,0.12887849055545744,0.12872635892808332,True,True
Langevin,W1,all,polynomial,96,16,1,0.46166896390985906,alpha_hat,2.2753767365266317,,2.2753767365266317,0.05702338419324371,"[2.2504141, 2.3021934]",2.250414054385791,2.3021934006394815,"[0.43744116, 0.48531992]",0.4374411603453744,0.4853199165857261,300,-26.852568642725906,0.9445829655562683,59.70513728545181,67.39818185985533,0.690865511544129,0.30477925677656975,0.315894620328437,True,False
Langevin,CDF_sup,all,arrhenius,96,16,0,4.155705223080549,Delta_hat,0.26207545148414085,0.26207545148414085,,0.0027512324607347613,"[0.25917156, 0.26458539]",0.2591715573559397,0.26458539218102606,"[4.0610473, 4.2708755]",4.061047320938599,4.27087551949008,292,58.5551836075857,0.9895310641368366,-111.1103672151714,-103.41732264076788,-0.43291373868734856,0.131481599823631,0.1314815992604722,True,True
Langevin,CDF_sup,all,polynomial,96,16,0,0.47971974233669273,alpha_hat,2.211763024620683,,2.211763024620683,0.05187500440391187,"[2.1881011, 2.2367009]",2.1881011249290943,2.2367009294667075,"[0.45718268, 0.50292758]",0.4571826803808564,0.5029275759265328,300,-16.651827974497017,0.9498396374457367,39.303655948994034,46.99670052339754,0.5645121391677608,0.28780215641439266,0.28780214114026786,True,False
LSC-CP,truncated_KDE_chi2,all,arrhenius,96,16,11,0.407991127075509,Delta_hat,0.23057341258851755,0.23057341258851755,,0.011635500212770804,"[0.21796787, 0.24343969]",0.21796786575677482,0.2434396938999589,"[0.37955763, 0.4404666]",0.3795576285108508,0.4404665959771081,300,-77.20854587984107,0.4050511463191544,160.41709175968214,168.11013633408564,1.1678985765484435,0.4419308929212703,0.5202114553451769,True,True
LSC-CP,truncated_KDE_chi2,all,polynomial,96,16,11,0.090946268647402,alpha_hat,1.7509842647845129,,1.7509842647845129,0.14233386093171096,"[1.6626197, 1.8457536]",1.66261973645907,1.8457536041886033,"[0.077523067, 0.10605419]",0.0775230668350655,0.106054186495342,300,-112.46012570234704,-0.03402296007964045,230.92025140469408,238.6132959790976,1.5716208226799742,0.5826122834407274,0.769138062535347,True,False
LSC-CP,well_TV,all,arrhenius,96,16,0,1.5296487511243133,Delta_hat,0.017692520399164954,0.017692520399164954,,0.001523317509702788,"[0.015023667, 0.020115093]",0.015023667003075065,0.020115092934789254,"[1.4918939, 1.5706885]",1.4918938599891352,1.5706885479993853,291,115.30639250361236,0.5842286114091819,-224.61278500722472,-216.91974043282121,-1.0678517305373427,0.07279945657396936,0.07279945451285018,True,False
