epsilon,replicate,metric,bias_floor_value,N_particles
0.4,0,KDE_chi2,0.004565750215866707,6000
0.4,0,well_TV,0.0024999999999999467,6000
0.4,0,CDF_sup,0.011499999999999962,6000
0.4,0,W1,0.011246040252421664,6000
0.4,0,bin_chi2_M40,0.004302222222222223,6000
0.4,0,bin_chi2_M80,0.01672888888888889,6000
0.4,0,bin_chi2_M120,0.019213333333333332,6000
0.4,1,KDE_chi2,0.0018149477982079124,6000
0.4,1,well_TV,0.0006666666666665932,6000
0.4,1,CDF_sup,0.00862500000000003,6000
0.4,1,W1,0.0075824003039716235,6000
0.4,1,bin_chi2_M40,0.004966666666666666,6000
0.4,1,bin_chi2_M80,0.011075555555555556,6000
0.4,1,bin_chi2_M120,0.0184,6000
0.4,2,KDE_chi2,0.0018919819626766524,6000
0.4,2,well_TV,0.009333333333333416,6000
0.4,2,CDF_sup,0.012041666666666642,6000
0.4,2,W1,0.01608634349851819,6000
0.4,2,bin_chi2_M40,0.008277777777777778,6000
0.4,2,bin_chi2_M80,0.01180888888888889,6000
0.4,2,bin_chi2_M120,0.022693333333333333,6000
0.4,3,KDE_chi2,0.004134305659736499,6000
0.4,3,well_TV,0.0001666666666666483,6000
0.4,3,CDF_sup,0.009291666666666705,6000
0.4,3,W1,0.009311294152801061,6000
0.4,3,bin_chi2_M40,0.006971111111111114,6000
0.4,3,bin_chi2_M80,0.011622222222222221,6000
0.4,3,bin_chi2_M120,0.026166666666666664,6000
0.4,4,KDE_chi2,0.004475424136974868,6000
0.4,4,well_TV,0.02200000000000002,6000
0.4,4,CDF_sup,0.02224999999999998,6000
0.4,4,W1,0.04134520400976763,6000
0.4,4,bin_chi2_M40,0.008251111111111112,6000
0.4,4,bin_chi2_M80,0.013111111111111108,6000
0.4,4,bin_chi2_M120,0.02102666666666667,6000
0.4,5,KDE_chi2,0.0028638260755675304,6000
0.4,5,well_TV,0.003166666666666651,6000
0.4,5,CDF_sup,0.006291666666666623,6000
0.4,5,W1,0.0064585110945980535,6000
0.4,5,bin_chi2_M40,0.007484444444444445,6000
0.4,5,bin_chi2_M80,0.014231111111111111,6000
0.4,5,bin_chi2_M120,0.01758,6000
0.4,6,KDE_chi2,0.0048450184558612285,6000
0.4,6,well_TV,0.0044999999999999485,6000
0.4,6,CDF_sup,0.014041666666666633,6000
0.4,6,W1,0.011353766309015759,6000
0.4,6,bin_chi2_M40,0.007237777777777779,6000
0.4,6,bin_chi2_M80,0.015297777777777776,6000
0.4,6,bin_chi2_M120,0.020346666666666662,6000
0.4,7,KDE_chi2,0.004629242563235838,6000
0.4,7,well_TV,0.009499999999999953,6000
0.4,7,CDF_sup,0.01245833333333331,6000
0.4,7,W1,0.015147183052041832,6000
0.4,7,bin_chi2_M40,0.005962222222222223,6000
0.4,7,bin_chi2_M80,0.011248888888888888,6000
0.4,7,bin_chi2_M120,0.01902666666666667,6000
0.4,8,KDE_chi2,0.0032338211056914187,6000
0.4,8,well_TV,0.005666666666666709,6000
0.4,8,CDF_sup,0.01054166666666663,6000
0.4,8,W1,0.015133978644351837,6000
0.4,8,bin_chi2_M40,0.008293333333333333,6000
0.4,8,bin_chi2_M80,0.01200888888888889,6000
0.4,8,bin_chi2_M120,0.02570666666666667,6000
0.4,9,KDE_chi2,0.0025542557050295235,6000
0.4,9,well_TV,0.01050000000000001,6000
0.4,9,CDF_sup,0.010666666666666689,6000
0.4,9,W1,0.013288800386659444,6000
0.4,9,bin_chi2_M40,0.005319999999999998,6000
0.4,9,bin_chi2_M80,0.012724444444444444,6000
0.4,9,bin_chi2_M120,0.023526666666666668,6000
0.4,10,KDE_chi2,0.004178761441944333,6000
0.4,10,well_TV,0.006833333333333247,6000
0.4,10,CDF_sup,0.011333333333333306,6000
0.4,10,W1,0.015213046872009061,6000
