method,quantity,metric,estimator,epsilon_subset,preferred_AIC,preferred_BIC,preferred_LOO,selected_family,arrhenius_votes,polynomial_votes,delta_AIC_poly_minus_arr,delta_BIC_poly_minus_arr,delta_LOO_poly_minus_arr
Langevin,spectral_gap,spectral_gap,deterministic,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,68.36293936243683,68.36293936243683,0.2961088869173723
Langevin,spectral_gap,spectral_gap,deterministic,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,66.85554400184775,66.85554400184775,0.24628207641114236
Langevin,spectral_gap,spectral_gap,deterministic,lowest_12,arrhenius,arrhenius,arrhenius,arrhenius,3,0,36.55085017022365,36.55085017022365,0.12944126433014264
Langevin,spectral_gap,spectral_gap,deterministic,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,25.475553758691802,25.475553758691806,0.09831417591297544
Langevin,spectral_gap,spectral_gap,deterministic,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,17.0818975943183,17.0818975943183,0.08346524981625639
Langevin,spectral_gap,spectral_gap,deterministic,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,68.36293936243683,68.36293936243683,0.2961088869173723
Langevin,spectral_gap,spectral_gap,deterministic,reliable_rate_window_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,68.36293936243683,68.36293936243683,0.2961088869173723
LSC-CP,spectral_gap,spectral_gap,deterministic,all,polynomial,polynomial,polynomial,polynomial,0,3,-26.674056216066056,-26.67405621606605,-0.004371831128994766
LSC-CP,spectral_gap,spectral_gap,deterministic,exclude_largest_2,polynomial,polynomial,polynomial,polynomial,0,3,-20.535607561878948,-20.53560756187894,-0.0024708366092707325
LSC-CP,spectral_gap,spectral_gap,deterministic,lowest_12,polynomial,polynomial,polynomial,polynomial,0,3,-8.322929137647492,-8.322929137647492,-0.00027244646546769594
LSC-CP,spectral_gap,spectral_gap,deterministic,lowest_10,polynomial,polynomial,polynomial,polynomial,0,3,-5.854612334902669,-5.854612334902669,-9.531662178210682e-05
LSC-CP,spectral_gap,spectral_gap,deterministic,lowest_8,polynomial,polynomial,polynomial,polynomial,0,3,-3.856220709065596,-3.856220709065596,-3.2722351852240834e-05
LSC-CP,spectral_gap,spectral_gap,deterministic,uncensored_only,polynomial,polynomial,polynomial,polynomial,0,3,-26.674056216066056,-26.67405621606605,-0.004371831128994766
LSC-CP,spectral_gap,spectral_gap,deterministic,reliable_rate_window_only,polynomial,polynomial,polynomial,polynomial,0,3,-26.674056216066056,-26.67405621606605,-0.004371831128994766
Langevin,abscissa_rate,abscissa_rate,deterministic,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,68.36293927684846,68.36293927684846,0.29610888828139154
Langevin,abscissa_rate,abscissa_rate,deterministic,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,66.85554367706948,66.85554367706948,0.24628207770820304
Langevin,abscissa_rate,abscissa_rate,deterministic,lowest_12,arrhenius,arrhenius,arrhenius,arrhenius,3,0,36.550849651590774,36.550849651590774,0.12944126546071064
Langevin,abscissa_rate,abscissa_rate,deterministic,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,25.47555337042205,25.47555337042205,0.09831417698686032
Langevin,abscissa_rate,abscissa_rate,deterministic,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,17.08189731577758,17.08189731577758,0.08346525092179503
Langevin,abscissa_rate,abscissa_rate,deterministic,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,68.36293927684846,68.36293927684846,0.29610888828139154
Langevin,abscissa_rate,abscissa_rate,deterministic,reliable_rate_window_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,68.36293927684846,68.36293927684846,0.29610888828139154
LSC-CP,abscissa_rate,abscissa_rate,deterministic,all,polynomial,polynomial,polynomial,polynomial,0,3,-41.430332823915535,-41.43033282391553,-0.004065927612274892
LSC-CP,abscissa_rate,abscissa_rate,deterministic,exclude_largest_2,polynomial,polynomial,polynomial,polynomial,0,3,-32.37342607781433,-32.37342607781434,-0.0025986125873234123
LSC-CP,abscissa_rate,abscissa_rate,deterministic,lowest_12,polynomial,polynomial,polynomial,polynomial,0,3,-13.960120244501653,-13.960120244501653,-0.0005029810841667033
LSC-CP,abscissa_rate,abscissa_rate,deterministic,lowest_10,polynomial,polynomial,polynomial,polynomial,0,3,-10.07031794597745,-10.07031794597745,-0.00023495462432109856
LSC-CP,abscissa_rate,abscissa_rate,deterministic,lowest_8,polynomial,polynomial,polynomial,polynomial,0,3,-6.988454144302388,-6.988454144302381,-0.00011334563331650242
LSC-CP,abscissa_rate,abscissa_rate,deterministic,uncensored_only,polynomial,polynomial,polynomial,polynomial,0,3,-41.430332823915535,-41.43033282391553,-0.004065927612274892
LSC-CP,abscissa_rate,abscissa_rate,deterministic,reliable_rate_window_only,polynomial,polynomial,polynomial,polynomial,0,3,-41.430332823915535,-41.43033282391553,-0.004065927612274892
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,51.91797745467738,51.91797745467738,0.1520512839166052
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,53.382983700068664,53.382983700068664,0.11844333155929265
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,lowest_12,arrhenius,arrhenius,arrhenius,arrhenius,3,0,51.25227925175783,51.25227925175783,0.06625040816295077
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,46.65595470586001,46.65595470586001,0.04332952472968574
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,33.02373347509913,33.02373347509912,0.025245725022437247
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,51.91797745467738,51.91797745467738,0.1520512839166052
Langevin,chi2_effective_rate,KDE_chi2,seed_mean_window,reliable_rate_window_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,51.91797745467738,51.91797745467738,0.1520512839166052
Langevin,mixing_time,KDE_chi2,particle_threshold,all,arrhenius,arrhenius,arrhenius,arrhenius,3,0,170.68422588662764,170.68422588662764,0.7770212967196873
Langevin,mixing_time,KDE_chi2,particle_threshold,exclude_largest_2,arrhenius,arrhenius,arrhenius,arrhenius,3,0,206.83163987601594,206.8316398760159,1.0042474143218718
Langevin,mixing_time,KDE_chi2,particle_threshold,lowest_12,arrhenius,arrhenius,arrhenius,arrhenius,3,0,270.3267743303203,270.32677433032023,1.429923410103636
Langevin,mixing_time,KDE_chi2,particle_threshold,lowest_10,arrhenius,arrhenius,arrhenius,arrhenius,3,0,189.16364434084568,189.16364434084568,1.0263162141336322
Langevin,mixing_time,KDE_chi2,particle_threshold,lowest_8,arrhenius,arrhenius,arrhenius,arrhenius,3,0,125.5395579177488,125.53955791774878,0.9512658538991907
Langevin,mixing_time,KDE_chi2,particle_threshold,uncensored_only,arrhenius,arrhenius,arrhenius,arrhenius,3,0,170.68422588662764,170.68422588662764,0.7770212967196873
