epsilon,method,selected_chi2_metric,lambda_form,lambda_abs,lambda_eff,lambda_mix,T_mix,chi2_window_start_time,chi2_window_end_time,chi2_window_initial_value,chi2_window_final_value,threshold,bias_floor,noise_cutoff,lambda_eff_over_lambda_abs,lambda_mix_over_lambda_abs,lambda_form_over_lambda_abs,lambda_mix_over_lambda_eff,log_factor,predicted_threshold_time_from_lambda_eff,observed_mixing_time,predicted_to_observed_ratio,rate_window_accepted,rate_window_R2,rate_window_n_points,plateau_excluded,floor_region_excluded,initial_transient_excluded,consistency_pass,failure_reason,n_censored,N_particles,slope_log_chi2,slope_standard_error,residual_RMSE_log,upper_window_cutoff
0.04,LSC-CP,bin_chi2_M80,0.9805045066712058,1.0016650461051646,0.9881704453999667,0.7907914651802589,1.26,0.24,1.24,0.7336005555555555,0.10057666666666665,0.1,0.01894822222222222,0.03789644444444444,0.9865278310771951,0.7894769496601101,0.9788746352723012,0.8002581628113582,1.9927944922542524,1.2483252851423114,1.26,0.9907343532875488,True,0.9967302760722926,26,True,True,True,True,none,0,6000,-1.9763408907999334,0.023105903385965895,0.03395860400499754,0.8
0.04,Langevin,bin_chi2_M80,0.0005751877670220775,0.0005751877623206457,0.0005443513435397871,0.00047657678933485663,2175.0,210.0,2115.0,0.7949499999999999,0.10456166666666666,0.1,0.01894822222222222,0.03789644444444444,0.9463889519198976,0.8285586386818551,1.000000008173734,0.8754948343395119,2.0731090336066265,2114.2012646884386,2175.0,0.972046558477443,True,0.9988975282266704,128,True,True,True,True,none,0,6000,-0.0010887026870795742,3.22216141362075e-06,0.020046101119225234,0.8
0.045,LSC-CP,bin_chi2_M80,0.9792737172213665,1.0054632199532867,0.9916222871134169,0.7661228570099744,1.3,0.24,1.2,0.7329588888888888,0.10915722222222221,0.1,0.017831066666666662,0.035662133333333325,0.9862342723580553,0.7619601013805041,0.973952798857091,0.772595439781951,1.9919194282259336,1.2443740717165364,1.3,0.9572108243973356,True,0.9967389516340983,25,True,True,True,True,none,0,6000,-1.9832445742268339,0.023653764119654367,0.03272094537034736,0.8
0.045,Langevin,bin_chi2_M80,0.001423580743145214,0.0014235807423572896,0.0013408487854132713,0.0011564928559765469,885.0920516904309,94.83129125254617,853.4816212729155,0.7746222222222221,0.10213944444444444,0.1,0.017831066666666662,0.035662133333333325,0.9418846051492495,0.8123830433822283,1.0000000005534806,0.8625080386078712,2.0472052693232157,858.2303007434762,885.0920516904309,0.9696508957507282,True,0.9990893567166451,73,True,True,True,True,none,0,6000,-0.0026816975708265425,9.608433801495697e-06,0.017975559478818338,0.8
0.05,LSC-CP,bin_chi2_M80,0.980639246627292,1.012222809568766,0.9981366645866335,0.7896270613050116,1.28,0.24,1.24,0.7549227777777777,0.10199,0.1,0.019627333333333326,0.03925466666666665,0.9860839482681353,0.7800921435878468,0.9687978154187916,0.7911011480898021,2.0214452769408298,1.2526094695549468,1.28,0.9786011480898021,True,0.9969678231629293,26,True,True,True,True,none,0,6000,-1.996273329173267,0.022472483780582617,0.03302767110923907,0.8
0.05,Langevin,bin_chi2_M80,0.00273490435247778,0.00273490435248968,0.0025779053942127424,0.0022276297649080927,460.71081018188437,49.36187251948761,444.25685267538853,0.7788016666666666,0.1027961111111111,0.1,0.019627333333333326,0.03925466666666665,0.9425943513768531,0.8145183442631925,0.9999999999956488,0.8641239395010385,2.052586227552176,447.4731127845727,460.71081018188437,0.9712667966438957,True,0.9989719137658187,73,True,True,True,True,none,0,6000,-0.005155810788425485,1.9629350487799605e-05,0.019115061763066897,0.8
0.055,LSC-CP,bin_chi2_M80,0.9829786767038147,1.0202602484759855,0.9974064716893664,0.7929189987775805,1.28,0.24,1.24,0.7613116666666666,0.10142055555555554,0.1,0.018161866666666658,0.036323733333333316,0.9776000517311568,0.7771732751148581,0.9634587627736548,0.7949808039991627,2.029872636870606,1.2575754291189283,1.28,0.9824808039991627,True,0.997327715431953,26,True,True,True,True,none,0,6000,-1.9948129433787327,0.02107749351842893,0.03097746250618235,0.8
0.055,Langevin,bin_chi2_M80,0.004366641111677864,0.004366641109662941,0.004127040175557014,0.0036638290060626516,283.39860522577317,30.916211479175253,278.2459033125773,0.7977683333333332,0.10396,0.1,0.018161866666666658,0.036323733333333316,0.945129235930172,0.8390497212960698,1.0000000004614353,0.8877618947744206,2.0766480602077726,282.50669423083565,283.39860522577317,0.9968528038653297,True,0.9990093985930711,73,True,True,True,True,none,0,6000,-0.008254080351114027,3.084637976825504e-05,0.01881345766623894,0.8
0.06,LSC-CP,bin_chi2_M80,0.9856470233994867,1.0287473622923553,1.0134970777889112,0.785645992728205,1.3,0.24,1.2,0.7711244444444444,0.10889333333333333,0.1,0.0174588,0.0349176,0.9851758701286368,0.7636918659772326,0.9581040589043862,0.7751832836481425,2.042679581093333,1.2477382687425853,1.3,0.9597986682635271,True,0.9973842224142958,25,True,True,True,True,none,0,6000,-2.0269941555778224,0.021645007397806486,0.02994217330576557,0.8
0.06,Langevin,bin_chi2_M80,0.006339076532204915,0.006339076533274298,0.005958684901887887,0.005191443198894943,199.95025987785743,21.296477383440436,196.40084698061736,0.7973,0.1010011111111111,0.1,0.0174588,0.0349176,0.9399925794570066,0.818958908548376,0.9999999998313029,0.8712397591707091,2.0760608335203585,195.50109364554564,199.95025987785743,0.977748634910354,True,0.9989662798861598,75,True,True,True,True,none,0,6000,-0.011917369803775774,4.486886201300572e-05,0.019638295105154604,0.8
