epsilon,metric,bias_floor_replicates,N_particles,bias_floor_mean,bias_floor_q99,bias_floor_max,threshold,threshold_above_bias_floor,threshold_rule
0.4,KDE_chi2,64,6000,0.0033709374331219307,0.006489530444972148,0.007996931585519684,0.05,True,"max(0.05, 3 * target-only q99 floor)"
0.4,bin_chi2_M40,64,6000,0.006503125,0.01172204444444444,0.012724444444444443,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.4,bin_chi2_M80,64,6000,0.013326041666666667,0.01881497777777777,0.020217777777777775,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.4,bin_chi2_M120,64,6000,0.019866458333333333,0.026531733333333328,0.02715333333333333,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.4,well_TV,64,6000,0.005046874999999985,0.020319999999999987,0.02200000000000002,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.4,CDF_sup,64,6000,0.011289062499999995,0.024362083333333312,0.02795833333333335,0.07308624999999994,True,"max(0.06, 3 * target-only q99 floor)"
0.4,W1,64,6000,0.013941438307065533,0.04296688325170407,0.04572812087986616,0.12890064975511223,True,"max(0.08, 3 * target-only q99 floor)"
0.35,KDE_chi2,64,6000,0.003704717452820537,0.005841667679990973,0.006053050267716423,0.05,True,"max(0.05, 3 * target-only q99 floor)"
0.35,bin_chi2_M40,64,6000,0.006241874999999999,0.010963199999999998,0.01112,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.35,bin_chi2_M80,64,6000,0.012591805555555554,0.017686222222222218,0.01830222222222222,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.35,bin_chi2_M120,64,6000,0.019883958333333333,0.02538553333333332,0.028153333333333336,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.35,well_TV,64,6000,0.005723958333333338,0.015578333333333343,0.018833333333333313,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.35,CDF_sup,64,6000,0.011366536458333331,0.019187916666666662,0.01979166666666663,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.35,W1,64,6000,0.014360905893727278,0.028549238252159374,0.029804928633936228,0.08564771475647812,True,"max(0.08, 3 * target-only q99 floor)"
0.3,KDE_chi2,64,6000,0.004153594927607329,0.006637764596762706,0.006700389295207625,0.05,True,"max(0.05, 3 * target-only q99 floor)"
0.3,bin_chi2_M40,64,6000,0.0063729861111111105,0.010053733333333332,0.010353333333333332,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.3,bin_chi2_M80,64,6000,0.012925555555555555,0.01898391111111111,0.01919111111111111,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.3,bin_chi2_M120,64,6000,0.0196021875,0.025467933333333328,0.026673333333333334,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.3,well_TV,64,6000,0.0047265625000000025,0.013474999999999997,0.014000000000000012,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.3,CDF_sup,64,6000,0.01022526041666666,0.016899583333333336,0.017083333333333364,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.3,W1,64,6000,0.012107939476911179,0.022940471063061154,0.023501373713964553,0.08,True,"max(0.08, 3 * target-only q99 floor)"
0.26,KDE_chi2,64,6000,0.005234592000200087,0.007952289769311631,0.008269318003298701,0.05,True,"max(0.05, 3 * target-only q99 floor)"
0.26,bin_chi2_M40,64,6000,0.006482604166666667,0.009323555555555555,0.009575555555555556,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.26,bin_chi2_M80,64,6000,0.013908819444444442,0.019649911111111105,0.02127111111111111,0.1,True,"max(0.1, 3 * target-only q99 floor)"
0.26,bin_chi2_M120,64,6000,0.019693333333333334,0.025084533333333325,0.027453333333333337,0.14,True,"max(0.14, 3 * target-only q99 floor)"
0.26,well_TV,64,6000,0.005786458333333335,0.014826666666666625,0.015666666666666607,0.075,True,"max(0.075, 3 * target-only q99 floor)"
0.26,CDF_sup,64,6000,0.011128255208333326,0.017164583333333303,0.018083333333333312,0.06,True,"max(0.06, 3 * target-only q99 floor)"
0.26,W1,64,6000,0.013435906804832866,0.02791400764680586,0.02961006350045433,0.08374202294041758,True,"max(0.08, 3 * target-only q99 floor)"
