design,truncation_mass,scale,arm,bank_size,chord_energies_per_particle_per_step,W2_mean,MMD_mean,TV_mean,W2_sd,MMD_sd,TV_sd
phase_edge_frozen,,,BAOAB,,,1.2188131300121052,0.5322823332308644,0.6729930184557031,0.005452521920884914,0.0024093511798739422,0.002028957039137749
phase_edge_frozen,,,CP,,,0.41035825708027335,0.12789222082373042,0.0773330257267807,0.02112928378846755,0.00615439639532757,0.01612151723652438
phase_edge_frozen,,,FLA,,,0.19372106056160884,0.054898636218785775,0.059946813094061226,0.032472673502624325,0.01256576605787638,0.013315770712622575
phase_edge_frozen,,,LSC-CP,,,0.12414484298391665,0.021550441284737265,0.028160609083307142,0.03102549322973584,0.010334243523689394,0.013374764232883937
phase_edge_frozen,,,LSC-CP-MA,,,0.10024704944352596,0.01623847921151202,0.02194328603869371,0.02831421627661882,0.006556226321036223,0.0112754743112932
phase_edge_frozen,,,MALA,,,1.2199264126635594,0.5325973296277982,0.6729930184557033,0.0036277956662679658,0.0018322669589334161,0.0014548768561863533
phase_edge_frozen,,,PT,,,0.3637694342968208,0.11517797322950958,0.11867407504864394,0.028296063183577254,0.012157333166497988,0.015462559266785003
phase_edge_frozen,,,ULA,,,1.2157665581987662,0.5309366526573757,0.6714305184557032,0.003862516104112576,0.0019325212794133136,0.0030103986446980537
nu24,0.95,1.0,CP,,,0.24861776188721726,0.07335173190603447,0.06517106513278978,0.01046562290179281,0.007997981967244753,0.011998926907959206
nu24,0.95,1.0,LSC-CP-RA-8,8,256,0.36186774904248753,0.06839191859096516,0.07652109976232668,0.014454113489945828,0.013047000635562262,0.01998957813523458
nu24,0.99,0.5,CP,,,0.29546284613312057,0.10141972934677644,0.10169435028623772,0.020152620600668473,0.00918961812720059,0.01415590208104459
nu24,0.99,0.5,LSC-CP-RA-8,8,256,0.22552517488782622,0.0682174492001907,0.06696502777806662,0.015435171379716122,0.00867367970089429,0.01344539193992056
nu24,0.99,1.0,CP,,,0.2480472399168637,0.07219757920386258,0.06626725466118254,0.013472802095561322,0.008563299935170656,0.014891731215437432
nu24,0.99,1.0,LSC-CP-RA-1,1,32,0.265117120154076,0.0766694114232054,0.07713467857434789,0.014118692218362447,0.009404501881869708,0.012556275522147562
nu24,0.99,1.0,LSC-CP-RA-16,16,512,0.33331117505602464,0.061186070502497615,0.07384444691476012,0.008811421031428493,0.009427450045419663,0.011084813266791897
nu24,0.99,1.0,LSC-CP-RA-2,2,64,0.27461844807536995,0.06376606095059456,0.07153252095030717,0.00944964971923672,0.009643252323335695,0.009897208012958009
nu24,0.99,1.0,LSC-CP-RA-32,32,1024,0.3172386675684407,0.06373724413267058,0.07413467857434788,0.010041295891828195,0.010826640575779653,0.014149473373196981
nu24,0.99,1.0,LSC-CP-RA-4,4,128,0.36441169836677334,0.06806760021649354,0.07135146435736622,0.008863953332341148,0.00876932827589466,0.012159480242996339
nu24,0.99,1.0,LSC-CP-RA-64,64,2048,0.3016885326342439,0.06340702276636075,0.07172002095030716,0.005896022061262755,0.007925458692640878,0.010636653569259531
nu24,0.99,1.0,LSC-CP-RA-8,8,256,0.3572046383385395,0.06374869739835545,0.0666824863207703,0.008771806944023899,0.009235510383725621,0.012626262761356106
nu24,0.99,1.0,CP,,,0.2480459871004418,0.07219662251663975,0.06626725466118212,0.013467796550903353,0.008561973420917593,0.01489173121543748
nu24,0.99,1.0,LSC-CP-RA-8,8,256,0.35830554556783617,0.06424920952280642,0.06868248632076994,0.009186295560939785,0.010236208728172137,0.013175862417504985
nu24,0.99,2.0,CP,,,0.27542865306744846,0.06197665837249854,0.07336998632076981,0.010542104480607049,0.009378725600374985,0.011568745814385098
nu24,0.99,2.0,LSC-CP-RA-8,8,256,0.5756391915815308,0.15614986956844082,0.0696346785743474,0.012355438403638513,0.006856170465923097,0.008327943261101232
nu24,0.9,1.0,CP,,,0.24999120093518903,0.07303700508588533,0.07009444691475795,0.010683742263389417,0.008337200910863027,0.014786499702896642
nu24,0.9,1.0,LSC-CP-RA-8,8,256,0.3600160699807917,0.06776618612575881,0.07446944691475796,0.011520202485449757,0.008574822448239166,0.01308070604649459
nu2,0.95,1.0,CP,,,0.4459192045107026,0.11933355477461083,0.07301725466118118,0.016467503255661094,0.006056421780222387,0.015350493481217834
nu2,0.95,1.0,LSC-CP-RA-8,8,256,0.18065600092022158,0.035412817992793624,0.04805250853984832,0.020398932477657995,0.006710331026463455,0.009240385443290061
nu2,0.99,0.5,CP,,,0.28973689337013325,0.062445175744029614,0.0750944469147593,0.014316302356224987,0.010204841071601845,0.012505033751366669
nu2,0.99,0.5,LSC-CP-RA-8,8,256,0.16831428775994212,0.03594298498289987,0.04665139509829194,0.04185346861656414,0.014448245308774997,0.017241131833286193
nu2,0.99,1.0,CP,,,0.4429508087985511,0.11782774278076247,0.07410586810273913,0.0177697552447847,0.007161231700315878,0.010557115927297139
nu2,0.99,1.0,LSC-CP,,8192,0.11186994844963805,0.016123484794964647,0.018621744325720564,0.02929855096229934,0.007058972002565338,0.00985967488017566
nu2,0.99,1.0,LSC-CP-RA-1,1,32,0.2521639039588461,0.05149021818102656,0.06948029406719217,0.03508007423571883,0.015008948343692773,0.013058426708113044
nu2,0.99,1.0,LSC-CP-RA-16,16,512,0.1563069248467618,0.028016356234822227,0.0377399098157124,0.04240342547625497,0.011151253973866687,0.013506684007408114
nu2,0.99,1.0,LSC-CP-RA-2,2,64,0.23419175139802856,0.04638060198324742,0.06252052572677999,0.035546714117305436,0.012671836831352298,0.013855340581347768
nu2,0.99,1.0,LSC-CP-RA-32,32,1024,0.14126100955648185,0.022173792243248978,0.029905835617618,0.030097703788099936,0.007856449567275402,0.009496988760627543
nu2,0.99,1.0,LSC-CP-RA-4,4,128,0.20233868891803325,0.041333987245474234,0.05857590956003694,0.049759084225338215,0.016649549687853697,0.019563762777194342
nu2,0.99,1.0,LSC-CP-RA-8,8,256,0.19171222542499852,0.036486546400352024,0.0503585651327902,0.023288821143159145,0.009978808878645008,0.01196852899050798
nu2,0.99,1.0,CP,,,0.4429508587727215,0.11782780358643484,0.07410586810273848,0.017769755437967168,0.007161239018868115,0.010557115927297123
nu2,0.99,1.0,LSC-CP-RA-8,8,256,0.191712225427544,0.03648654655041417,0.050358565132789405,0.023288821139646358,0.009978808645624912,0.011968528990507946
nu2,0.99,2.0,CP,,,0.7421504756076912,0.2109310936796391,0.07411671525517231,0.028780559377677248,0.007714863469760268,0.017922422912259425
nu2,0.99,2.0,LSC-CP-RA-8,8,256,0.27519273177005377,0.03846942288661773,0.04897646435736613,0.058697004339987036,0.010546126512267173,0.012718069112830157
nu2,0.9,1.0,CP,,,0.44509429923080956,0.12420253217954219,0.0742227179803567,0.027651952215705322,0.010761871723172714,0.01526670291831664
nu2,0.9,1.0,LSC-CP-RA-8,8,256,0.1671584709666936,0.03225126837482434,0.04401227688026073,0.034287209757485754,0.010284468310728823,0.012131834113668059
