method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,alpha,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
FLA,"FLA alpha=1.6, canonical",9100993240b20b93814fae72f96f5a4d,8da7d73e85753d4e79f54062070fbc7b,False,0,0,0.0,0.0,0.0,0.0,0.0,1.358449367931723,0.4664378017164641,0.4663543490960611,0.6144747917900266,0.7014182608027336,1.013997311136983,1.0,0.5,1.0008481969652896,0.03968561675859794,1.009887051918218,0.02240069502184039,False,nan,reject,1.6,,
FLA,"FLA alpha=1.6, canonical",9100993240b20b93814fae72f96f5a4d,8da7d73e85753d4e79f54062070fbc7b,False,1,0,0.0,0.0,0.0,0.0,0.0,1.3577875505153985,0.46629001124391234,0.46620653105793086,0.6139830120575404,0.7010279270961339,1.0129758177049963,1.0,0.5,1.00052397450562,0.03912904107660231,1.0091963547445768,0.021681954209937015,False,nan,reject,1.6,,
FLA,"FLA alpha=1.6, canonical",9100993240b20b93814fae72f96f5a4d,8da7d73e85753d4e79f54062070fbc7b,False,2,0,0.0,0.0,0.0,0.0,0.0,1.3574381792784365,0.46627640282263716,0.46619294849240556,0.616899485800877,0.7009236918182113,1.013375604444382,1.0,0.5,0.9998188383638656,0.03763149240050678,1.0068043988372182,0.01827648290988304,False,nan,reject,1.6,,
FLA,"FLA alpha=1.6, canonical",9100993240b20b93814fae72f96f5a4d,8da7d73e85753d4e79f54062070fbc7b,False,3,0,0.0,0.0,0.0,0.0,0.0,1.3575960928083703,0.4662630451425771,0.4661795822721848,0.6176417710981458,0.7009562845078017,1.0127782599901014,1.0,0.5,0.999929422958235,0.03788173153762342,1.0072351519800877,0.01894196790999969,False,nan,reject,1.6,,
FLA,"FLA alpha=1.6, canonical",9100993240b20b93814fae72f96f5a4d,8da7d73e85753d4e79f54062070fbc7b,False,4,0,0.0,0.0,0.0,0.0,0.0,1.3579226647447658,0.4663299081209278,0.466246439739222,0.6135258039327767,0.7011309773426226,1.013651403617691,1.0,0.5,1.0005135728874026,0.039068752863114176,1.0090337601523294,0.02135117785119045,False,nan,reject,1.6,,
FLA,"FLA alpha=1.6, canonical",9100993240b20b93814fae72f96f5a4d,8da7d73e85753d4e79f54062070fbc7b,False,5,0,0.0,0.0,0.0,0.0,0.0,1.3581572435561702,0.4663641505799818,0.4662807061517654,0.6164171077025256,0.701251556952962,1.0134886977365156,1.0,0.5,1.000164675412786,0.03829063788119025,1.0077485707078737,0.01948252973347986,False,nan,reject,1.6,,
FLA,"FLA alpha=1.6, canonical",9100993240b20b93814fae72f96f5a4d,8da7d73e85753d4e79f54062070fbc7b,False,6,0,0.0,0.0,0.0,0.0,0.0,1.357445387482421,0.46624742186692925,0.4661639446512239,0.6130027592553653,0.7008783199052072,1.013016899617691,1.0,0.5,1.0001743976935122,0.038419478069989355,1.0081066722522443,0.02018163369886483,False,nan,reject,1.6,,
FLA,"FLA alpha=1.6, canonical",9100993240b20b93814fae72f96f5a4d,8da7d73e85753d4e79f54062070fbc7b,False,7,0,0.0,0.0,0.0,0.0,0.0,1.3574061403140907,0.4662361074902318,0.4661526272793537,0.6132023853856354,0.7008647661282137,1.0133025738391988,1.0,0.5,1.0001757063162189,0.038432265848807656,1.0081334451920516,0.02021769804905238,False,nan,reject,1.6,,
FLA,"FLA alpha=1.6, canonical",9100993240b20b93814fae72f96f5a4d,8da7d73e85753d4e79f54062070fbc7b,False,0,33,0.0825,1584000.0,33.0,33.0,0.0,1.2958939043272621,0.4296139851145152,0.42952346091315796,0.4965087591441813,0.6643890173084015,0.9605737909250855,0.9868333333333333,0.48683333333333334,0.9589532947662037,0.013736969938645482,0.9863152825475096,0.12017654260798871,False,nan,reject,1.6,0.00020075757575757576,0.0
FLA,"FLA alpha=1.6, canonical",9100993240b20b93814fae72f96f5a4d,8da7d73e85753d4e79f54062070fbc7b,False,1,33,0.0825,1584000.0,33.0,33.0,0.0,1.2920973268964104,0.4259528615654945,0.4258617879098553,0.49565471602327293,0.6618570172750484,0.9562605857526445,0.9841666666666666,0.48416666666666663,0.9543706325077437,0.009566849564532243,0.9594554366355669,0.003021698402222661,False,nan,reject,1.6,0.00020075757575757576,0.0
