step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
0,0.0,0,0,0,0,0,0,0,0,0.0,0.8345679289892053,0.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,0.0,0.0,0.0
4,0.02,1024000,0,32000,0,0,0,32000,1024000,1024000.0,0.8345679289892053,886597.5592849462,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,4.0,128.0,110.82469491061828
8,0.04,2048000,0,64000,0,0,0,64000,2048000,2048000.0,0.8345679289892053,1773195.1185698924,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,8.0,256.0,221.64938982123655
12,0.06,3072000,0,96000,0,0,0,96000,3072000,3072000.0,0.8345679289892053,2659792.677854839,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,12.0,384.0,332.4740847318549
17,0.085,4352000,0,136000,0,0,0,136000,4352000,4352000.0,0.8345679289892053,3768039.626961021,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,17.0,544.0,471.0049533701277
21,0.105,5376000,0,168000,0,0,0,168000,5376000,5376000.0,0.8345679289892053,4654637.186245968,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,21.0,672.0,581.8296482807459
25,0.125,6400000,0,200000,0,0,0,200000,6400000,6400000.0,0.8345679289892053,5541234.745530914,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,25.0,800.0,692.6543431913642
29,0.145,7424000,0,232000,0,0,0,232000,7424000,7424000.0,0.8345679289892053,6427832.30481586,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,29.0,928.0,803.4790381019826
33,0.165,8448000,0,264000,0,0,0,264000,8448000,8448000.0,0.8345679289892053,7314429.864100806,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,33.0,1056.0,914.3037330126008
38,0.19,9728000,0,304000,0,0,0,304000,9728000,9728000.0,0.8345679289892053,8422676.81320699,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,38.0,1216.0,1052.8346016508738
42,0.21,10752000,0,336000,0,0,0,336000,10752000,10752000.0,0.8345679289892053,9309274.372491935,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,42.0,1344.0,1163.6592965614918
46,0.23,11776000,0,368000,0,0,0,368000,11776000,11776000.0,0.8345679289892053,10195871.931776881,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,46.0,1472.0,1274.4839914721101
50,0.25,12800000,0,400000,0,0,0,400000,12800000,12800000.0,0.8345679289892053,11082469.491061827,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,50.0,1600.0,1385.3086863827284
54,0.27,13824000,0,432000,0,0,0,432000,13824000,13824000.0,0.8345679289892053,11969067.050346773,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,54.0,1728.0,1496.1333812933467
58,0.29,14848000,0,464000,0,0,0,464000,14848000,14848000.0,0.8345679289892053,12855664.60963172,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,58.0,1856.0,1606.9580762039652
62,0.31,15872000,0,496000,0,0,0,496000,15872000,15872000.0,0.8345679289892053,13742262.168916667,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,62.0,1984.0,1717.7827711145833
