step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
0,0.0,0,0,0,0,0,0,0,0,0.0,0.8345679289892053,0.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,0.0,0.0,0.0
1,0.16,0,0,0,48000,0,0,48000,0,0.0,0.8345679289892053,48000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,1.0,0.0,1.0
2,0.32,0,0,0,96000,0,0,96000,0,0.0,0.8345679289892053,96000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,2.0,0.0,2.0
3,0.48,0,0,0,144000,0,0,144000,0,0.0,0.8345679289892053,144000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,3.0,0.0,3.0
4,0.64,0,0,0,192000,0,0,192000,0,0.0,0.8345679289892053,192000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,4.0,0.0,4.0
5,0.8,0,0,0,240000,0,0,240000,0,0.0,0.8345679289892053,240000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,5.0,0.0,5.0
6,0.96,0,0,0,288000,0,0,288000,0,0.0,0.8345679289892053,288000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,6.0,0.0,6.0
7,1.12,0,0,0,336000,0,0,336000,0,0.0,0.8345679289892053,336000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,7.0,0.0,7.0
8,1.28,0,0,0,384000,0,0,384000,0,0.0,0.8345679289892053,384000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,8.0,0.0,8.0
9,1.44,0,0,0,432000,0,0,432000,0,0.0,0.8345679289892053,432000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,9.0,0.0,9.0
10,1.6,0,0,0,480000,0,0,480000,0,0.0,0.8345679289892053,480000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,10.0,0.0,10.0
11,1.76,0,0,0,528000,0,0,528000,0,0.0,0.8345679289892053,528000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,11.0,0.0,11.0
12,1.92,0,0,0,576000,0,0,576000,0,0.0,0.8345679289892053,576000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,12.0,0.0,12.0
13,2.08,0,0,0,624000,0,0,624000,0,0.0,0.8345679289892053,624000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,13.0,0.0,13.0
14,2.24,0,0,0,672000,0,0,672000,0,0.0,0.8345679289892053,672000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,14.0,0.0,14.0
15,2.4,0,0,0,720000,0,0,720000,0,0.0,0.8345679289892053,720000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,15.0,0.0,15.0
16,2.56,0,0,0,768000,0,0,768000,0,0.0,0.8345679289892053,768000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,16.0,0.0,16.0
17,2.72,0,0,0,816000,0,0,816000,0,0.0,0.8345679289892053,816000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,17.0,0.0,17.0
18,2.88,0,0,0,864000,0,0,864000,0,0.0,0.8345679289892053,864000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,18.0,0.0,18.0
19,3.04,0,0,0,912000,0,0,912000,0,0.0,0.8345679289892053,912000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,19.0,0.0,19.0
20,3.2,0,0,0,960000,0,0,960000,0,0.0,0.8345679289892053,960000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,20.0,0.0,20.0
21,3.36,0,0,0,1008000,0,0,1008000,0,0.0,0.8345679289892053,1008000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,21.0,0.0,21.0
22,3.52,0,0,0,1056000,0,0,1056000,0,0.0,0.8345679289892053,1056000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,22.0,0.0,22.0
23,3.68,0,0,0,1104000,0,0,1104000,0,0.0,0.8345679289892053,1104000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,23.0,0.0,23.0
24,3.84,0,0,0,1152000,0,0,1152000,0,0.0,0.8345679289892053,1152000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,24.0,0.0,24.0
25,4.0,0,0,0,1200000,0,0,1200000,0,0.0,0.8345679289892053,1200000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,25.0,0.0,25.0
26,4.16,0,0,0,1248000,0,0,1248000,0,0.0,0.8345679289892053,1248000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,26.0,0.0,26.0
27,4.32,0,0,0,1296000,0,0,1296000,0,0.0,0.8345679289892053,1296000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,27.0,0.0,27.0
28,4.48,0,0,0,1344000,0,0,1344000,0,0.0,0.8345679289892053,1344000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,28.0,0.0,28.0
29,4.64,0,0,0,1392000,0,0,1392000,0,0.0,0.8345679289892053,1392000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,29.0,0.0,29.0
30,4.8,0,0,0,1440000,0,0,1440000,0,0.0,0.8345679289892053,1440000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,30.0,0.0,30.0
31,4.96,0,0,0,1488000,0,0,1488000,0,0.0,0.8345679289892053,1488000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,31.0,0.0,31.0
35,5.6000000000000005,0,0,0,1680000,0,0,1680000,0,0.0,0.8345679289892053,1680000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,35.0,0.0,35.0
39,6.24,0,0,0,1872000,0,0,1872000,0,0.0,0.8345679289892053,1872000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,39.0,0.0,39.0
42,6.72,0,0,0,2016000,0,0,2016000,0,0.0,0.8345679289892053,2016000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,42.0,0.0,42.0
46,7.36,0,0,0,2208000,0,0,2208000,0,0.0,0.8345679289892053,2208000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,46.0,0.0,46.0
50,8.0,0,0,0,2400000,0,0,2400000,0,0.0,0.8345679289892053,2400000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,50.0,0.0,50.0
54,8.64,0,0,0,2592000,0,0,2592000,0,0.0,0.8345679289892053,2592000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,54.0,0.0,54.0
57,9.120000000000001,0,0,0,2736000,0,0,2736000,0,0.0,0.8345679289892053,2736000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,57.0,0.0,57.0
61,9.76,0,0,0,2928000,0,0,2928000,0,0.0,0.8345679289892053,2928000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,61.0,0.0,61.0
65,10.4,0,0,0,3120000,0,0,3120000,0,0.0,0.8345679289892053,3120000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,65.0,0.0,65.0
68,10.88,0,0,0,3264000,0,0,3264000,0,0.0,0.8345679289892053,3264000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,68.0,0.0,68.0
72,11.52,0,0,0,3456000,0,0,3456000,0,0.0,0.8345679289892053,3456000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,72.0,0.0,72.0
76,12.16,0,0,0,3648000,0,0,3648000,0,0.0,0.8345679289892053,3648000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,76.0,0.0,76.0
79,12.64,0,0,0,3792000,0,0,3792000,0,0.0,0.8345679289892053,3792000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,79.0,0.0,79.0
83,13.280000000000001,0,0,0,3984000,0,0,3984000,0,0.0,0.8345679289892053,3984000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,83.0,0.0,83.0
87,13.92,0,0,0,4176000,0,0,4176000,0,0.0,0.8345679289892053,4176000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,87.0,0.0,87.0
91,14.56,0,0,0,4368000,0,0,4368000,0,0.0,0.8345679289892053,4368000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,91.0,0.0,91.0
94,15.040000000000001,0,0,0,4512000,0,0,4512000,0,0.0,0.8345679289892053,4512000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,94.0,0.0,94.0
98,15.68,0,0,0,4704000,0,0,4704000,0,0.0,0.8345679289892053,4704000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,98.0,0.0,98.0
102,16.32,0,0,0,4896000,0,0,4896000,0,0.0,0.8345679289892053,4896000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,102.0,0.0,102.0
105,16.8,0,0,0,5040000,0,0,5040000,0,0.0,0.8345679289892053,5040000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,105.0,0.0,105.0
109,17.44,0,0,0,5232000,0,0,5232000,0,0.0,0.8345679289892053,5232000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,109.0,0.0,109.0
113,18.080000000000002,0,0,0,5424000,0,0,5424000,0,0.0,0.8345679289892053,5424000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,113.0,0.0,113.0
