method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,mh_accept,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative,mh_accept_fraction_cumulative
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,0,0.0,0.0,0.0,0.0,0.0,1.3557649128891203,0.42952085073770596,0.42929383997236525,0.6125009974711073,0.7008757265416623,1.0132948462470135,1.0,0.5,0.9997640802759993,0.03755893569251767,1.0067429040094156,0.01824819844740999,False,nan,reject,,,,
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,0,0.0,0.0,0.0,0.0,0.0,1.356199730903927,0.42968929407514656,0.4294622595551635,0.6188941827546464,0.7010862703840189,1.0129200613962464,1.0,0.5,1.0005168487355727,0.039106256014137974,1.0091499689608632,0.02160522953744015,False,nan,reject,,,,
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,0,0.0,0.0,0.0,0.0,0.0,1.3565952561988697,0.429807255880041,0.42958023020798064,0.6108411415897769,0.7013234534314059,1.0135504001861981,1.0,0.5,1.0009164019481107,0.039890593692574416,1.0102985746595075,0.023091728295177583,False,nan,reject,,,,
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,0,0.0,0.0,0.0,0.0,0.0,1.3558031906500607,0.42976035864239137,0.4295332545146572,0.6123520329860661,0.7009440489528048,1.013429666718399,1.0,0.5,1.0011425940810272,0.040479582261244706,1.011383549041034,0.02480363651073858,False,nan,reject,,,,
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,1,0.16,8000.0,1.0,1.0,0.0,1.3157007846741922,0.41869572182771386,0.41846395808182224,0.5039342743482179,0.681212818760616,0.9838566169650046,1.0,0.5,0.9832026196754333,0.01314041300339841,0.9818917227897964,0.00033761634472095903,False,nan,reject,0.642375,0.0,0.0,0.642375
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,1,0.16,8000.0,1.0,1.0,0.0,1.3139638661529673,0.41815721005644446,0.4179252829816972,0.5035293005267738,0.6804548593764155,0.9828657024933745,1.0,0.5,0.9819914480452114,0.011064077733986877,0.9791154455735198,0.0037514738051126484,False,nan,reject,0.642375,0.0,0.0,0.642375
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,1,0.16,8000.0,1.0,1.0,0.0,1.3113809286858122,0.4170140555537817,0.4167813737403355,0.5006000831361652,0.6791985238026382,0.98175191285122,1.0,0.5,0.981608791317781,0.011696670082471439,0.9817777452792289,0.0018029184951345867,False,nan,reject,0.642375,0.0,0.0,0.642375
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,1,0.16,8000.0,1.0,1.0,0.0,1.3170618974926815,0.41912010781814735,0.4188887201716326,0.5041452894080521,0.6817980351456541,0.9845744458298732,1.0,0.5,0.9828496179824306,0.011769096657366251,0.978893947244684,0.005576640553734746,False,nan,reject,0.642375,0.0,0.0,0.642375
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,2,0.32,16000.0,2.0,2.0,0.0,1.2980608097561808,0.41385864762675817,0.41362474855196374,0.5024077830093783,0.673856196791389,0.9758711842807517,1.0,0.5,0.9755727614127259,0.0020207889602825713,0.9708003646051409,0.008212071910380758,False,nan,reject,0.679,0.0,0.0,0.6606875
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,2,0.32,16000.0,2.0,2.0,0.0,1.3000085949877,0.4140363722426924,0.4138023331777131,0.500568565840213,0.6745430626960223,0.9773681993429988,1.0,0.5,0.9771514822721665,0.005409815077131341,0.975860900080258,0.0017446732849689672,False,nan,reject,0.679,0.0,0.0,0.6606875
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,2,0.32,16000.0,2.0,2.0,0.0,1.3010827836364383,0.41442746240721307,0.41419346817572744,0.5005320610708569,0.6751047176330905,0.9784984948724551,1.0,0.5,0.978457851055535,0.007885230161289836,0.9794446112570276,0.002951783200366598,False,nan,reject,0.679,0.0,0.0,0.6606875
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,3,2,0.32,16000.0,2.0,2.0,0.0,1.3053259990287667,0.416073870582055,0.41584047160355586,0.5031398969362464,0.6770100053313748,0.9816316107323609,1.0,0.5,0.9816010555849576,0.012914963918312927,0.985963670676127,0.011051977810771274,False,nan,reject,0.679,0.0,0.0,0.6606875
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,0,3,0.48,24000.0,3.0,3.0,0.0,1.2914271187562585,0.41166004484201235,0.4114246596284612,0.5008534123352983,0.6713018449367367,0.9749344590040602,1.0,0.5,0.9749260454369318,0.0034906659356102043,0.9766687022369824,0.00425407897108987,False,nan,reject,0.699875,0.0,0.0,0.67375
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,1,3,0.48,24000.0,3.0,3.0,0.0,1.2898997464046384,0.4108540488836908,0.41061858242405636,0.500522907330921,0.6702815386657793,0.9722058535528181,1.0,0.5,0.9722036143938986,0.0016252196631899585,0.9690746222465006,0.00609913828900277,False,nan,reject,0.699875,0.0,0.0,0.67375
MALA,"MALA, canonical",30b2f4f94a3631decfa9212f4ad34940,8da7d73e85753d4e79f54062070fbc7b,False,2,3,0.48,24000.0,3.0,3.0,0.0,1.2921168034132369,0.41189349895825345,0.41165823987282935,0.5001941558153251,0.6716079793090766,0.9752373353242575,1.0,0.5,0.9752125232001465,0.003836055894021917,0.9767093847972883,0.003550214559151721,False,nan,reject,0.699875,0.0,0.0,0.67375
