step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
0,0.0,0,0,0,0,0,0,0,0,0.0,0.8345679289892053,0.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,0.0,0.0,0.0
4,0.02,0,0,32000,0,0,0,32000,0,0.0,0.8345679289892053,32000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,4.0,0.0,4.0
8,0.04,0,0,64000,0,0,0,64000,0,0.0,0.8345679289892053,64000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,8.0,0.0,8.0
12,0.06,0,0,96000,0,0,0,96000,0,0.0,0.8345679289892053,96000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,12.0,0.0,12.0
17,0.085,0,0,136000,0,0,0,136000,0,0.0,0.8345679289892053,136000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,17.0,0.0,17.0
21,0.105,0,0,168000,0,0,0,168000,0,0.0,0.8345679289892053,168000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,21.0,0.0,21.0
25,0.125,0,0,200000,0,0,0,200000,0,0.0,0.8345679289892053,200000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,25.0,0.0,25.0
29,0.145,0,0,232000,0,0,0,232000,0,0.0,0.8345679289892053,232000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,29.0,0.0,29.0
33,0.165,0,0,264000,0,0,0,264000,0,0.0,0.8345679289892053,264000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,33.0,0.0,33.0
38,0.19,0,0,304000,0,0,0,304000,0,0.0,0.8345679289892053,304000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,38.0,0.0,38.0
42,0.21,0,0,336000,0,0,0,336000,0,0.0,0.8345679289892053,336000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,42.0,0.0,42.0
46,0.23,0,0,368000,0,0,0,368000,0,0.0,0.8345679289892053,368000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,46.0,0.0,46.0
50,0.25,0,0,400000,0,0,0,400000,0,0.0,0.8345679289892053,400000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,50.0,0.0,50.0
54,0.27,0,0,432000,0,0,0,432000,0,0.0,0.8345679289892053,432000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,54.0,0.0,54.0
58,0.29,0,0,464000,0,0,0,464000,0,0.0,0.8345679289892053,464000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,58.0,0.0,58.0
62,0.31,0,0,496000,0,0,0,496000,0,0.0,0.8345679289892053,496000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,62.0,0.0,62.0
67,0.335,0,0,536000,0,0,0,536000,0,0.0,0.8345679289892053,536000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,67.0,0.0,67.0
71,0.355,0,0,568000,0,0,0,568000,0,0.0,0.8345679289892053,568000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,71.0,0.0,71.0
75,0.375,0,0,600000,0,0,0,600000,0,0.0,0.8345679289892053,600000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,75.0,0.0,75.0
79,0.395,0,0,632000,0,0,0,632000,0,0.0,0.8345679289892053,632000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,79.0,0.0,79.0
83,0.41500000000000004,0,0,664000,0,0,0,664000,0,0.0,0.8345679289892053,664000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,83.0,0.0,83.0
88,0.44,0,0,704000,0,0,0,704000,0,0.0,0.8345679289892053,704000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,88.0,0.0,88.0
92,0.46,0,0,736000,0,0,0,736000,0,0.0,0.8345679289892053,736000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,92.0,0.0,92.0
