step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
0,0.0,0,0,0,0,0,0,0,0,0.0,0.8345679289892053,0.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,0.0,0.0,0.0
17,0.085,0,0,816000,0,0,0,816000,0,0.0,0.8345679289892053,816000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,17.0,0.0,17.0
33,0.165,0,0,1584000,0,0,0,1584000,0,0.0,0.8345679289892053,1584000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,33.0,0.0,33.0
50,0.25,0,0,2400000,0,0,0,2400000,0,0.0,0.8345679289892053,2400000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,50.0,0.0,50.0
67,0.335,0,0,3216000,0,0,0,3216000,0,0.0,0.8345679289892053,3216000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,67.0,0.0,67.0
83,0.41500000000000004,0,0,3984000,0,0,0,3984000,0,0.0,0.8345679289892053,3984000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,83.0,0.0,83.0
100,0.5,0,0,4800000,0,0,0,4800000,0,0.0,0.8345679289892053,4800000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,100.0,0.0,100.0
117,0.585,0,0,5616000,0,0,0,5616000,0,0.0,0.8345679289892053,5616000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,117.0,0.0,117.0
133,0.665,0,0,6384000,0,0,0,6384000,0,0.0,0.8345679289892053,6384000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,133.0,0.0,133.0
150,0.75,0,0,7200000,0,0,0,7200000,0,0.0,0.8345679289892053,7200000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,150.0,0.0,150.0
167,0.835,0,0,8016000,0,0,0,8016000,0,0.0,0.8345679289892053,8016000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,167.0,0.0,167.0
183,0.915,0,0,8784000,0,0,0,8784000,0,0.0,0.8345679289892053,8784000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,183.0,0.0,183.0
200,1.0,0,0,9600000,0,0,0,9600000,0,0.0,0.8345679289892053,9600000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,200.0,0.0,200.0
217,1.085,0,0,10416000,0,0,0,10416000,0,0.0,0.8345679289892053,10416000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,217.0,0.0,217.0
233,1.165,0,0,11184000,0,0,0,11184000,0,0.0,0.8345679289892053,11184000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,233.0,0.0,233.0
250,1.25,0,0,12000000,0,0,0,12000000,0,0.0,0.8345679289892053,12000000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,250.0,0.0,250.0
267,1.335,0,0,12816000,0,0,0,12816000,0,0.0,0.8345679289892053,12816000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,267.0,0.0,267.0
283,1.415,0,0,13584000,0,0,0,13584000,0,0.0,0.8345679289892053,13584000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,283.0,0.0,283.0
300,1.5,0,0,14400000,0,0,0,14400000,0,0.0,0.8345679289892053,14400000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,300.0,0.0,300.0
317,1.585,0,0,15216000,0,0,0,15216000,0,0.0,0.8345679289892053,15216000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,317.0,0.0,317.0
333,1.665,0,0,15984000,0,0,0,15984000,0,0.0,0.8345679289892053,15984000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,333.0,0.0,333.0
350,1.75,0,0,16800000,0,0,0,16800000,0,0.0,0.8345679289892053,16800000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,350.0,0.0,350.0
367,1.835,0,0,17616000,0,0,0,17616000,0,0.0,0.8345679289892053,17616000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,367.0,0.0,367.0
383,1.915,0,0,18384000,0,0,0,18384000,0,0.0,0.8345679289892053,18384000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,383.0,0.0,383.0
400,2.0,0,0,19200000,0,0,0,19200000,0,0.0,0.8345679289892053,19200000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,400.0,0.0,400.0
417,2.085,0,0,20016000,0,0,0,20016000,0,0.0,0.8345679289892053,20016000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,417.0,0.0,417.0
433,2.165,0,0,20784000,0,0,0,20784000,0,0.0,0.8345679289892053,20784000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,433.0,0.0,433.0
450,2.25,0,0,21600000,0,0,0,21600000,0,0.0,0.8345679289892053,21600000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,450.0,0.0,450.0
467,2.335,0,0,22416000,0,0,0,22416000,0,0.0,0.8345679289892053,22416000.0,3590adff094714fc599081a4fb309ee3,amortized_time_per_configuration,467.0,0.0,467.0
