method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,0,0,0.0,0.0,0.0,0.0,0.0,1.3567714613695907,0.46612190999998493,0.46603841763243103,0.6132571512022494,0.7005497032932771,1.0123257944467285,1.0,0.5,0.9997005292475608,0.037522569770342074,1.0068382886629987,0.018594920508717805,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,1,0,0.0,0.0,0.0,0.0,0.0,1.3574019561656951,0.46619828230901805,0.4661148000681913,0.6141787897057783,0.7008314422397915,1.0127763186576066,1.0,0.5,0.9999682871661032,0.038024754677096206,1.0075410666695706,0.01946493553535611,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,2,0,0.0,0.0,0.0,0.0,0.0,1.3579928033283803,0.466338077283303,0.4662546077605233,0.614998010713349,0.7011494741393387,1.0134165815736003,1.0,0.5,1.0005933452819051,0.03923215056055107,1.0092877232495032,0.021705672423257716,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,3,0,0.0,0.0,0.0,0.0,0.0,1.3567717442242744,0.4660932835236625,0.46600980889333576,0.6144210661833991,0.7005184401052015,1.0122787913242735,1.0,0.5,0.9990847912719322,0.036232804965610876,1.004805862501626,0.015740758423174683,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,4,0,0.0,0.0,0.0,0.0,0.0,1.3575928049536583,0.46628355815068245,0.466200066278748,0.6120702877193283,0.7009814176793326,1.0131822655505631,1.0,0.5,1.000761852356795,0.039644078177726305,1.0100261498491092,0.022862678226568955,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,5,0,0.0,0.0,0.0,0.0,0.0,1.3577914940408202,0.46630939373355096,0.4662259524717054,0.6161976500842103,0.7010796034211009,1.0134594238482166,1.0,0.5,0.9997280040848245,0.03740655225710432,1.0063962417655035,0.017630460173687523,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,6,0,0.0,0.0,0.0,0.0,0.0,1.3576061836709237,0.4662903149956643,0.46620682771678235,0.617564005836763,0.7009834086047554,1.0130627500032199,1.0,0.5,1.000696682376017,0.03949818944985761,1.0097838906492773,0.02250789435370082,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,7,0,0.0,0.0,0.0,0.0,0.0,1.3579174928615731,0.4663304818240207,0.4662470236675005,0.6156413442641302,0.7011294920183698,1.0134477435195315,1.0,0.5,1.000269454162494,0.038546035525194755,1.0082018842908402,0.02018286013579884,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,0,17,0.085,816000.0,17.0,17.0,0.0,1.3163397859532033,0.45445477540078616,0.4543683024101164,0.5099758773033172,0.6821141887565636,0.9933219350573863,1.0,0.5,0.9933152641430278,0.035062012922881025,1.0180562188810107,0.05319339583963478,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,1,17,0.085,816000.0,17.0,17.0,0.0,1.3174207050989093,0.45489122677523675,0.4548048640036453,0.512287079092852,0.6825961269953479,0.9936657697602713,1.0,0.5,0.9936109607822086,0.03525710455094666,1.0177677234554974,0.05201421750463975,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,2,17,0.085,816000.0,17.0,17.0,0.0,1.3165537055305865,0.45446137600409886,0.4543748860820612,0.5093638656514765,0.6822370888055611,0.9937946852197583,1.0,0.5,0.9937828979592666,0.03604688033436387,1.0196094247195464,0.05536091253192643,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,3,17,0.085,816000.0,17.0,17.0,0.0,1.3176719685409897,0.45479829546940276,0.4547118558852494,0.5099096442972615,0.6828692863561756,0.9949564504263948,1.0,0.5,0.9949078579120156,0.03810864242182044,1.022400617432221,0.058646470021161856,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,8da7d73e85753d4e79f54062070fbc7b,False,4,17,0.085,816000.0,17.0,17.0,0.0,1.3168161373488425,0.4544634476764733,0.4543769218072329,0.5083075438817541,0.6825208698380701,0.9947657867214612,1.0,0.5,0.9947548153306748,0.03811069612443374,1.0228108798941695,0.05969138303927657,False,nan,reject,0.0,0.0
