method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,W2_exact_1d,MMD2_biased,MMD2_unbiased,KS,CDF_L2,W1_cdf,basin_mass_left,basin_mass_error,moment_1_error,moment_2_error,moment_3_error,moment_4_error,tamed,tame_cap,boundary_rule,gamma,integrator,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,0,0.0,0.0,0.0,0.0,0.0,1.3567880904971854,0.4298551319627948,0.42962813211690787,0.6164676620847869,0.7013900736590379,1.01366841183658,1.0,0.5,1.0009640725923408,0.039940720626338244,1.0103048918327235,0.023004794020823893,False,nan,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,0,0.0,0.0,0.0,0.0,0.0,1.3563468135338461,0.42987708248948775,0.4296500511796477,0.6191115912283406,0.7012948596819518,1.013804824527089,1.0,0.5,1.0012068979433497,0.04048160192530004,1.01120409437351,0.02432851698634242,False,nan,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,0,0.0,0.0,0.0,0.0,0.0,1.3545309084625725,0.42915527906876894,0.4289282207827918,0.6133025405861354,0.7002221919300057,1.0118274335043442,1.0,0.5,0.9986263900723255,0.03536829345235237,1.0035903465294018,0.014233355167823869,False,nan,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,0,0.0,0.0,0.0,0.0,0.0,1.3562355834999278,0.4296660398006463,0.4294390071564048,0.6084836595676237,0.7010469117979055,1.013304806060916,1.0,0.5,1.000422659755431,0.03891430449222155,1.0088394273214587,0.021137149201610694,False,nan,reject,1.0,BAOAB,,
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,4,0.02,32000.0,4.0,4.0,0.0,1.3567124701816893,0.4298859259119099,0.42965889905635013,0.6153914417344629,0.7013494709999851,1.0136514432766006,1.0,0.5,1.0012179009563915,0.040495850693052615,1.0112104717687398,0.024312265689672263,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,4,0.02,32000.0,4.0,4.0,0.0,1.3563258240456912,0.4299045080120555,0.42967746158150666,0.6181632012321252,0.7012814609980407,1.013890471628717,1.0,0.5,1.0013872586539452,0.04086905455472922,1.0118258785600132,0.025212709205069905,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,4,0.02,32000.0,4.0,4.0,0.0,1.3543800218275657,0.42916582410672843,0.4289387416084067,0.6122043689750388,0.7001586563970187,1.0116842457685205,1.0,0.5,0.9987906705414639,0.03573853669996274,1.0042108999705928,0.015151909753604476,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,4,0.02,32000.0,4.0,4.0,0.0,1.3558150856378977,0.42957842503114063,0.4293513510893341,0.6074676921745057,0.7008155962097236,1.0130336541176737,1.0,0.5,1.000305294167433,0.03875136970594317,1.0086994083567566,0.02108662310814846,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,8,0.04,64000.0,8.0,8.0,0.0,1.3561027170044455,0.42983556111247767,0.4296084584110855,0.6117041658321969,0.7010413401762616,1.0132765439455342,1.0,0.5,1.001416771982783,0.04102594665981951,1.012205507136195,0.02590923488768737,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,8,0.04,64000.0,8.0,8.0,0.0,1.3558431369922646,0.42986579441501027,0.4296386856968679,0.6158705832701132,0.7010266691824178,1.013522099641135,1.0,0.5,1.0015604105201616,0.04132413989372696,1.0126730172998297,0.026564951351868538,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,8,0.04,64000.0,8.0,8.0,0.0,1.3537668484291934,0.4291081085987357,0.4288809562412159,0.6118399844572809,0.6998579965269356,1.011171193662509,1.0,0.5,0.9989321211848972,0.036142628304489444,1.00500078227528,0.016454693263866615,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,8,0.04,64000.0,8.0,8.0,0.0,1.3548358686666675,0.4294200774854279,0.42919291321472675,0.6038083076456497,0.7003295201518731,1.0123094755736,1.0,0.5,1.0001730516014529,0.038644016498461164,1.0087713012849528,0.021492208698377646,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,12,0.06,96000.0,12.0,12.0,0.0,1.355002422387096,0.42971510784359024,0.42948788431734697,0.605259540368352,0.7005147792903901,1.0125637486118555,1.0,0.5,1.0015824936303617,0.04156803326109726,1.0133359555140655,0.02784471132958599,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,12,0.06,96000.0,12.0,12.0,0.0,1.3549043553111524,0.4297542293909008,0.42952701201414556,0.6120457100717911,0.7005472489757831,1.0128095692787653,1.0,0.5,1.0016971288944174,0.04178701990194389,1.0136533266168197,0.028258813382697867,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,12,0.06,96000.0,12.0,12.0,0.0,1.3527039832057657,0.4289816873676132,0.428754420559159,0.6088162092486815,0.6993402909902462,1.0102454240575758,1.0,0.5,0.999043539310959,0.03656440038230557,1.005933396642194,0.018103585074590645,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,3,12,0.06,96000.0,12.0,12.0,0.0,1.3534261944682953,0.4291978372155618,0.42897053616702696,0.5999155259959772,0.6996283826959484,1.011269927641135,1.0,0.5,1.0000383915993118,0.038612806894374074,1.0090792692441248,0.022377143184762693,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,0,17,0.085,136000.0,17.0,17.0,0.0,1.3531277074639703,0.4294693347949202,0.42924190096940873,0.5974248113510567,0.6996021821432128,1.0112600683208917,1.0,0.5,1.001735152929322,0.04223997753243003,1.0148956958302584,0.030669013230755326,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,1,17,0.085,136000.0,17.0,17.0,0.0,1.3532498953220151,0.4295230095727338,0.4292955990141628,0.606344981024593,0.6997095813474442,1.011598852327615,1.0,0.5,1.0018167350440157,0.04236302012349147,1.0150252998677378,0.030775214769325987,False,nan,reject,1.0,BAOAB,0.0,0.0
ULD,"ULD gamma=1, canonical",b914b1c481c4dcc20022dd4a196ddcc1,8da7d73e85753d4e79f54062070fbc7b,False,2,17,0.085,136000.0,17.0,17.0,0.0,1.3508516165254334,0.42872768951861673,0.428500220555065,0.6047313168105698,0.6984395981243728,1.00887360185323,1.0,0.5,0.9991243456460687,0.03707796916073636,1.0072329803760527,0.020550282575088175,False,nan,reject,1.0,BAOAB,0.0,0.0
