step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
0,0.0,0,0,0,0,0,0,0,0,0.0,0.8523901073971654,0.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,0.0,0.0,0.0
8,0.08,0,0,160000,0,0,0,160000,0,0.0,0.8523901073971654,160000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,8.0,0.0,8.0
17,0.17,0,0,340000,0,0,0,340000,0,0.0,0.8523901073971654,340000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,17.0,0.0,17.0
25,0.25,0,0,500000,0,0,0,500000,0,0.0,0.8523901073971654,500000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,25.0,0.0,25.0
33,0.33,0,0,660000,0,0,0,660000,0,0.0,0.8523901073971654,660000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,33.0,0.0,33.0
42,0.42,0,0,840000,0,0,0,840000,0,0.0,0.8523901073971654,840000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,42.0,0.0,42.0
50,0.5,0,0,1000000,0,0,0,1000000,0,0.0,0.8523901073971654,1000000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,50.0,0.0,50.0
58,0.58,0,0,1160000,0,0,0,1160000,0,0.0,0.8523901073971654,1160000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,58.0,0.0,58.0
67,0.67,0,0,1340000,0,0,0,1340000,0,0.0,0.8523901073971654,1340000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,67.0,0.0,67.0
75,0.75,0,0,1500000,0,0,0,1500000,0,0.0,0.8523901073971654,1500000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,75.0,0.0,75.0
83,0.8300000000000001,0,0,1660000,0,0,0,1660000,0,0.0,0.8523901073971654,1660000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,83.0,0.0,83.0
92,0.92,0,0,1840000,0,0,0,1840000,0,0.0,0.8523901073971654,1840000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,92.0,0.0,92.0
100,1.0,0,0,2000000,0,0,0,2000000,0,0.0,0.8523901073971654,2000000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,100.0,0.0,100.0
108,1.08,0,0,2160000,0,0,0,2160000,0,0.0,0.8523901073971654,2160000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,108.0,0.0,108.0
117,1.17,0,0,2340000,0,0,0,2340000,0,0.0,0.8523901073971654,2340000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,117.0,0.0,117.0
125,1.25,0,0,2500000,0,0,0,2500000,0,0.0,0.8523901073971654,2500000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,125.0,0.0,125.0
133,1.33,0,0,2660000,0,0,0,2660000,0,0.0,0.8523901073971654,2660000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,133.0,0.0,133.0
142,1.42,0,0,2840000,0,0,0,2840000,0,0.0,0.8523901073971654,2840000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,142.0,0.0,142.0
150,1.5,0,0,3000000,0,0,0,3000000,0,0.0,0.8523901073971654,3000000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,150.0,0.0,150.0
158,1.58,0,0,3160000,0,0,0,3160000,0,0.0,0.8523901073971654,3160000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,158.0,0.0,158.0
167,1.67,0,0,3340000,0,0,0,3340000,0,0.0,0.8523901073971654,3340000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,167.0,0.0,167.0
175,1.75,0,0,3500000,0,0,0,3500000,0,0.0,0.8523901073971654,3500000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,175.0,0.0,175.0
183,1.83,0,0,3660000,0,0,0,3660000,0,0.0,0.8523901073971654,3660000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,183.0,0.0,183.0
192,1.92,0,0,3840000,0,0,0,3840000,0,0.0,0.8523901073971654,3840000.0,076536868d101ed21862549ee5a0e135,amortized_time_per_configuration,192.0,0.0,192.0
