experiment_id,method,variant_label,run_id,tame,tame_cap,dt,particles,n_seeds,schema_version,status,target_hash,reference_hash,calibration_hash,metric_definition_hash,variant_hash,rng_pair_group_hash,fee_calibration_hash,fee_cost_unit,device_type,dtype,written_at_utc,has_stationarity,is_latest_for_variant,run_directory,param_A,param_alpha,param_gamma,param_n_swap
E3,FLA,"FLA alpha=1.6, canonical",FLA-alpha1.6-canonical-uncalibratable-20260806T142610550122Z,False,,,800,4,2,uncalibratable,ed94c0eda92286239de64b68502a0389,53af2ac3a1c61f75142147aab9cae27b,dba030cf854b34b5ad6ae2a45d4cda89,,9100993240b20b93814fae72f96f5a4d,886f78956fbec8ada7e87bddd0150ddb,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,cuda,float64,2026-08-06T14:26:10.588177Z,False,False,results/E3_muller_brown/runs/FLA/FLA-alpha1.6-canonical-uncalibratable-20260806T142610550122Z,,1.6,,
E3,FLA,"FLA alpha=1.6, canonical",FLA-alpha1.6-canonical-uncalibratable-20260806T201747409314Z,False,,,800,4,2,uncalibratable,ed94c0eda92286239de64b68502a0389,53af2ac3a1c61f75142147aab9cae27b,dba030cf854b34b5ad6ae2a45d4cda89,,9100993240b20b93814fae72f96f5a4d,886f78956fbec8ada7e87bddd0150ddb,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,cuda,float64,2026-08-06T20:17:47.541565Z,False,False,results/E3_muller_brown/runs/FLA/FLA-alpha1.6-canonical-uncalibratable-20260806T201747409314Z,,1.6,,
E3,FLA,"FLA alpha=1.6, canonical",FLA-alpha1.6-canonical-uncalibratable-20260806T215222289551Z,False,,,800,4,2,uncalibratable,ed94c0eda92286239de64b68502a0389,53af2ac3a1c61f75142147aab9cae27b,dba030cf854b34b5ad6ae2a45d4cda89,,9100993240b20b93814fae72f96f5a4d,886f78956fbec8ada7e87bddd0150ddb,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,cuda,float64,2026-08-06T21:52:22.394330Z,False,True,results/E3_muller_brown/runs/FLA/FLA-alpha1.6-canonical-uncalibratable-20260806T215222289551Z,,1.6,,
E3,FLA,"FLA alpha=1.6, tamed",FLA-alpha1.6-tamed-dt0.0025-20260806T142905528724Z,True,1.0,0.0025,800,4,2,complete,ed94c0eda92286239de64b68502a0389,53af2ac3a1c61f75142147aab9cae27b,d4f0ade09ac0fe1403cb0289ca7f1fea,c87203a12406cc5114b7ffa2d8877465,fba3a9cc4307e4af0b8519c8281dc4f8,886f78956fbec8ada7e87bddd0150ddb,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,cuda,float64,2026-08-06T14:29:05.722965Z,False,False,results/E3_muller_brown/runs/FLA/FLA-alpha1.6-tamed-dt0.0025-20260806T142905528724Z,,1.6,,
E3,FLA,"FLA alpha=1.6, tamed",FLA-alpha1.6-tamed-dt0.0025-20260806T201818856011Z,True,1.0,0.0025,800,4,2,complete,ed94c0eda92286239de64b68502a0389,53af2ac3a1c61f75142147aab9cae27b,d4f0ade09ac0fe1403cb0289ca7f1fea,c87203a12406cc5114b7ffa2d8877465,fba3a9cc4307e4af0b8519c8281dc4f8,886f78956fbec8ada7e87bddd0150ddb,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,cuda,float64,2026-08-06T20:18:19.162139Z,False,False,results/E3_muller_brown/runs/FLA/FLA-alpha1.6-tamed-dt0.0025-20260806T201818856011Z,,1.6,,
E3,FLA,"FLA alpha=1.6, tamed",FLA-alpha1.6-tamed-dt0.0025-20260806T215253268643Z,True,1.0,0.0025,800,4,2,complete,ed94c0eda92286239de64b68502a0389,53af2ac3a1c61f75142147aab9cae27b,d4f0ade09ac0fe1403cb0289ca7f1fea,c87203a12406cc5114b7ffa2d8877465,fba3a9cc4307e4af0b8519c8281dc4f8,886f78956fbec8ada7e87bddd0150ddb,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,cuda,float64,2026-08-06T21:52:53.523208Z,False,True,results/E3_muller_brown/runs/FLA/FLA-alpha1.6-tamed-dt0.0025-20260806T215253268643Z,,1.6,,
E3,FLA,"FLA alpha=1.7, canonical",FLA-alpha1.7-canonical-uncalibratable-20260806T143245627227Z,False,,,800,4,2,uncalibratable,ed94c0eda92286239de64b68502a0389,53af2ac3a1c61f75142147aab9cae27b,e57fb9b160561265a123e43c1da14d5b,,f3178da7b0a518ce87a471d07e026fce,8f8ed9bfcdb6b0ab389d3efb1ce513e8,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,cuda,float64,2026-08-06T14:32:45.661506Z,False,False,results/E3_muller_brown/runs/FLA/FLA-alpha1.7-canonical-uncalibratable-20260806T143245627227Z,,1.7,,
E3,FLA,"FLA alpha=1.7, canonical",FLA-alpha1.7-canonical-uncalibratable-20260806T201943343157Z,False,,,800,4,2,uncalibratable,ed94c0eda92286239de64b68502a0389,53af2ac3a1c61f75142147aab9cae27b,e57fb9b160561265a123e43c1da14d5b,,f3178da7b0a518ce87a471d07e026fce,8f8ed9bfcdb6b0ab389d3efb1ce513e8,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,cuda,float64,2026-08-06T20:19:43.477917Z,False,False,results/E3_muller_brown/runs/FLA/FLA-alpha1.7-canonical-uncalibratable-20260806T201943343157Z,,1.7,,
E3,FLA,"FLA alpha=1.7, canonical",FLA-alpha1.7-canonical-uncalibratable-20260806T215416169767Z,False,,,800,4,2,uncalibratable,ed94c0eda92286239de64b68502a0389,53af2ac3a1c61f75142147aab9cae27b,e57fb9b160561265a123e43c1da14d5b,,f3178da7b0a518ce87a471d07e026fce,8f8ed9bfcdb6b0ab389d3efb1ce513e8,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,cuda,float64,2026-08-06T21:54:16.273285Z,False,True,results/E3_muller_brown/runs/FLA/FLA-alpha1.7-canonical-uncalibratable-20260806T215416169767Z,,1.7,,
E3,FLA,"FLA alpha=1.7, tamed",FLA-alpha1.7-tamed-dt0.0025-20260806T143550079265Z,True,1.0,0.0025,800,4,2,complete,ed94c0eda92286239de64b68502a0389,53af2ac3a1c61f75142147aab9cae27b,763be5e1fdd60be0cff2800529bcd515,c87203a12406cc5114b7ffa2d8877465,539ccca205beeea074bcb3e0ff138db1,8f8ed9bfcdb6b0ab389d3efb1ce513e8,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,cuda,float64,2026-08-06T14:35:50.376909Z,False,False,results/E3_muller_brown/runs/FLA/FLA-alpha1.7-tamed-dt0.0025-20260806T143550079265Z,,1.7,,
