method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,alpha,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,0,0.0,0.0,0.0,0.0,0.0,0.7377211128690407,0.5184646625579488,0.5179657354131497,0.795,0.5306890841617544,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.6,,
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,0,0.0,0.0,0.0,0.0,0.0,0.7391412107682663,0.5206940235291485,0.520195521633013,0.80125,0.5343945813625497,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.6,,
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,0,0.0,0.0,0.0,0.0,0.0,0.7364452642618939,0.5180000770947821,0.5175007749122714,0.795,0.5334978942066959,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.6,,
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,0,0.0,0.0,0.0,0.0,0.0,0.7368511589122524,0.5171939844815878,0.5166953073954732,0.79625,0.529051717816181,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,1.6,,
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,17,0.0425,54400.0,17.0,17.0,0.0,0.6345978824375746,0.38500094478372227,0.38439904476221876,0.64,0.3534670726460023,0.0,0.22849778288445186,0.6136477216369078,True,1.0,reject,1.6,0.0013786764705882354,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,17,0.0425,54400.0,17.0,17.0,0.0,0.648230997072972,0.40203160118301695,0.4014363366553695,0.6525000000000001,0.3612893504512432,0.0,0.23868023644559722,0.6286477216369077,True,1.0,reject,1.6,0.0013786764705882354,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,17,0.0425,54400.0,17.0,17.0,0.0,0.6427027101063654,0.39768859352402275,0.39709950869803456,0.6462500000000001,0.35448723672597293,0.0,0.23733900879607078,0.6286477216369079,True,1.0,reject,1.6,0.0013786764705882354,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,17,0.0425,54400.0,17.0,17.0,0.0,0.6392471173363818,0.3922587878432817,0.3916622790360331,0.6462500000000001,0.361422895075306,0.0,0.2374947019770404,0.6223977216369079,True,1.0,reject,1.6,0.0013786764705882354,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,33,0.0825,105600.0,33.0,33.0,0.0,0.5678842432323694,0.3060215361317249,0.30535527755552383,0.52375,0.27966372394227923,0.0,0.16788793905128319,0.5086477216369079,True,1.0,reject,1.6,0.0014299242424242425,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,33,0.0825,105600.0,33.0,33.0,0.0,0.5885004093918141,0.33063029191406323,0.32998878943665355,0.5750000000000001,0.3043726999715166,0.0,0.18556658671022397,0.5461477216369078,True,1.0,reject,1.6,0.0014299242424242425,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,33,0.0825,105600.0,33.0,33.0,0.0,0.5916592102052844,0.3280047004275596,0.32734766402475735,0.5675,0.2879584687365667,0.0,0.18607182484604484,0.5498977216369079,True,1.0,reject,1.6,0.0014299242424242425,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,33,0.0825,105600.0,33.0,33.0,0.0,0.5808012710036796,0.3172645824933379,0.31659497912180246,0.5625,0.2916015542433785,0.0,0.17347193671190392,0.5373977216369078,True,1.0,reject,1.6,0.0014299242424242425,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,50,0.125,160000.0,50.0,50.0,0.0,0.4938223003149549,0.22639720474862368,0.22566372898510534,0.44000000000000006,0.22874395243897339,0.0,0.11918625034384059,0.40364772163690776,True,1.0,reject,1.6,0.0015125,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,50,0.125,160000.0,50.0,50.0,0.0,0.5437586498620672,0.2795260116608045,0.2788433681171093,0.4962500000000001,0.24976348483293176,0.0,0.15865206307876156,0.47614772163690783,True,1.0,reject,1.6,0.0015125,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,50,0.125,160000.0,50.0,50.0,0.0,0.5264547570151006,0.26010453484713947,0.2593882803625931,0.48125000000000007,0.2428189901239174,0.0,0.13369824007397582,0.4598977216369078,True,1.0,reject,1.6,0.0015125,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,50,0.125,160000.0,50.0,50.0,0.0,0.5413675311394421,0.27428196896364165,0.27357837967711096,0.49750000000000005,0.24782112306808934,0.0,0.14879460887322143,0.4861477216369078,True,1.0,reject,1.6,0.0015125,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,0,67,0.1675,214400.0,67.0,67.0,0.0,0.4488224221541376,0.18527271220177,0.18451734611495085,0.36624999999999996,0.1907807758116632,0.0,0.09476025001308838,0.33239772163690784,True,1.0,reject,1.6,0.0015671641791044776,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,1,67,0.1675,214400.0,67.0,67.0,0.0,0.49371321694649206,0.22955157662465597,0.2288274050543153,0.43000000000000005,0.22546996413082798,0.0,0.12807731638759318,0.4073977216369078,True,1.0,reject,1.6,0.0015671641791044776,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,2,67,0.1675,214400.0,67.0,67.0,0.0,0.45568290437988973,0.18961784672505155,0.1888385683731325,0.4000000000000001,0.19635491654007797,0.0,0.09448787893948894,0.3748977216369078,True,1.0,reject,1.6,0.0015671641791044776,0.0
FLA,"FLA alpha=1.6, tamed",fba3a9cc4307e4af0b8519c8281dc4f8,c87203a12406cc5114b7ffa2d8877465,True,3,67,0.1675,214400.0,67.0,67.0,0.0,0.4874738753655065,0.2201444212871435,0.2194039016190551,0.42000000000000004,0.22790849713070183,0.0,0.11429317001532296,0.39989772163690784,True,1.0,reject,1.6,0.0015671641791044776,0.0
