step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
0,0.0,0,0,0,0,0,0,0,0,0.0,0.7570305438663122,0.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,0.0,0.0,0.0
17,0.0425,0,0,54400,0,0,0,54400,0,0.0,0.7570305438663122,54400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,17.0,0.0,17.0
33,0.0825,0,0,105600,0,0,0,105600,0,0.0,0.7570305438663122,105600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,33.0,0.0,33.0
50,0.125,0,0,160000,0,0,0,160000,0,0.0,0.7570305438663122,160000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,50.0,0.0,50.0
67,0.1675,0,0,214400,0,0,0,214400,0,0.0,0.7570305438663122,214400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,67.0,0.0,67.0
83,0.20750000000000002,0,0,265600,0,0,0,265600,0,0.0,0.7570305438663122,265600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,83.0,0.0,83.0
100,0.25,0,0,320000,0,0,0,320000,0,0.0,0.7570305438663122,320000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,100.0,0.0,100.0
117,0.2925,0,0,374400,0,0,0,374400,0,0.0,0.7570305438663122,374400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,117.0,0.0,117.0
133,0.3325,0,0,425600,0,0,0,425600,0,0.0,0.7570305438663122,425600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,133.0,0.0,133.0
150,0.375,0,0,480000,0,0,0,480000,0,0.0,0.7570305438663122,480000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,150.0,0.0,150.0
167,0.4175,0,0,534400,0,0,0,534400,0,0.0,0.7570305438663122,534400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,167.0,0.0,167.0
183,0.4575,0,0,585600,0,0,0,585600,0,0.0,0.7570305438663122,585600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,183.0,0.0,183.0
200,0.5,0,0,640000,0,0,0,640000,0,0.0,0.7570305438663122,640000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,200.0,0.0,200.0
217,0.5425,0,0,694400,0,0,0,694400,0,0.0,0.7570305438663122,694400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,217.0,0.0,217.0
233,0.5825,0,0,745600,0,0,0,745600,0,0.0,0.7570305438663122,745600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,233.0,0.0,233.0
250,0.625,0,0,800000,0,0,0,800000,0,0.0,0.7570305438663122,800000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,250.0,0.0,250.0
267,0.6675,0,0,854400,0,0,0,854400,0,0.0,0.7570305438663122,854400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,267.0,0.0,267.0
