step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
0,0.0,0,0,0,0,0,0,0,0,0.0,0.7570305438663122,0.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,0.0,0.0,0.0
8,0.04,6553600,0,25600,0,0,0,25600,6553600,6553600.0,0.7570305438663122,4986875.372282264,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,8.0,2048.0,1558.3985538382074
17,0.085,13926400,0,54400,0,0,0,54400,13926400,13926400.0,0.7570305438663122,10597110.166099811,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,17.0,4352.0,3311.596926906191
25,0.125,20480000,0,80000,0,0,0,80000,20480000,20480000.0,0.7570305438663122,15583985.538382074,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,25.0,6400.0,4869.995480744398
33,0.165,27033600,0,105600,0,0,0,105600,27033600,27033600.0,0.7570305438663122,20570860.91066434,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,33.0,8448.0,6428.394034582606
42,0.21,34406400,0,134400,0,0,0,134400,34406400,34406400.0,0.7570305438663122,26181095.704481885,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,42.0,10752.0,8181.592407650589
50,0.25,40960000,0,160000,0,0,0,160000,40960000,40960000.0,0.7570305438663122,31167971.076764148,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,50.0,12800.0,9739.990961488797
58,0.29,47513600,0,185600,0,0,0,185600,47513600,47513600.0,0.7570305438663122,36154846.44904641,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,58.0,14848.0,11298.389515327004
67,0.335,54886400,0,214400,0,0,0,214400,54886400,54886400.0,0.7570305438663122,41765081.24286396,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,67.0,17152.0,13051.587888394988
75,0.375,61440000,0,240000,0,0,0,240000,61440000,61440000.0,0.7570305438663122,46751956.61514622,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,75.0,19200.0,14609.986442233194
83,0.41500000000000004,67993600,0,265600,0,0,0,265600,67993600,67993600.0,0.7570305438663122,51738831.98742849,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,83.0,21248.0,16168.384996071401
92,0.46,75366400,0,294400,0,0,0,294400,75366400,75366400.0,0.7570305438663122,57349066.78124603,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,92.0,23552.0,17921.583369139385
100,0.5,81920000,0,320000,0,0,0,320000,81920000,81920000.0,0.7570305438663122,62335942.153528295,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,100.0,25600.0,19479.981922977593
108,0.54,88473600,0,345600,0,0,0,345600,88473600,88473600.0,0.7570305438663122,67322817.52581055,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,108.0,27648.0,21038.380476815797
117,0.585,95846400,0,374400,0,0,0,374400,95846400,95846400.0,0.7570305438663122,72933052.3196281,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,117.0,29952.0,22791.578849883783
125,0.625,102400000,0,400000,0,0,0,400000,102400000,102400000.0,0.7570305438663122,77919927.69191037,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,125.0,32000.0,24349.97740372199
133,0.665,108953600,0,425600,0,0,0,425600,108953600,108953600.0,0.7570305438663122,82906803.06419264,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,133.0,34048.0,25908.375957560198
142,0.71,116326400,0,454400,0,0,0,454400,116326400,116326400.0,0.7570305438663122,88517037.85801017,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,142.0,36352.0,27661.57433062818
150,0.75,122880000,0,480000,0,0,0,480000,122880000,122880000.0,0.7570305438663122,93503913.23029244,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,150.0,38400.0,29219.972884466388
158,0.79,129433600,0,505600,0,0,0,505600,129433600,129433600.0,0.7570305438663122,98490788.6025747,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,158.0,40448.0,30778.371438304595
167,0.835,136806400,0,534400,0,0,0,534400,136806400,136806400.0,0.7570305438663122,104101023.39639226,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,167.0,42752.0,32531.56981137258
175,0.875,143360000,0,560000,0,0,0,560000,143360000,143360000.0,0.7570305438663122,109087898.76867452,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,175.0,44800.0,34089.968365210785
183,0.915,149913600,0,585600,0,0,0,585600,149913600,149913600.0,0.7570305438663122,114074774.14095677,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,183.0,46848.0,35648.36691904899
192,0.96,157286400,0,614400,0,0,0,614400,157286400,157286400.0,0.7570305438663122,119685008.93477432,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,192.0,49152.0,37401.565292116975
200,1.0,163840000,0,640000,0,0,0,640000,163840000,163840000.0,0.7570305438663122,124671884.30705659,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,200.0,51200.0,38959.963845955186
208,1.04,170393600,0,665600,0,0,0,665600,170393600,170393600.0,0.7570305438663122,129658759.67933886,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,208.0,53248.0,40518.36239979339
217,1.085,177766400,0,694400,0,0,0,694400,177766400,177766400.0,0.7570305438663122,135268994.4731564,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,217.0,55552.0,42271.560772861376
225,1.125,184320000,0,720000,0,0,0,720000,184320000,184320000.0,0.7570305438663122,140255869.84543866,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,225.0,57600.0,43829.95932669958
233,1.165,190873600,0,745600,0,0,0,745600,190873600,190873600.0,0.7570305438663122,145242745.21772093,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,233.0,59648.0,45388.35788053779
242,1.21,198246400,0,774400,0,0,0,774400,198246400,198246400.0,0.7570305438663122,150852980.01153848,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,242.0,61952.0,47141.55625360578
250,1.25,204800000,0,800000,0,0,0,800000,204800000,204800000.0,0.7570305438663122,155839855.38382074,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,250.0,64000.0,48699.95480744398
258,1.29,211353600,0,825600,0,0,0,825600,211353600,211353600.0,0.7570305438663122,160826730.756103,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,258.0,66048.0,50258.35336128219
267,1.335,218726400,0,854400,0,0,0,854400,218726400,218726400.0,0.7570305438663122,166436965.54992056,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,267.0,68352.0,52011.55173435018
275,1.375,225280000,0,880000,0,0,0,880000,225280000,225280000.0,0.7570305438663122,171423840.9222028,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,275.0,70400.0,53569.950288188375
283,1.415,231833600,0,905600,0,0,0,905600,231833600,231833600.0,0.7570305438663122,176410716.29448506,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,283.0,72448.0,55128.34884202658
292,1.46,239206400,0,934400,0,0,0,934400,239206400,239206400.0,0.7570305438663122,182020951.0883026,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,292.0,74752.0,56881.547215094564
