step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
0,0.0,0,0,0,0,0,0,0,0,0.0,0.7570305438663122,0.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,0.0,0.0,0.0
1,0.04,0,0,0,12800,0,0,12800,0,0.0,0.7570305438663122,12800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,4.0,0.0,4.0
2,0.08,0,0,0,25600,0,0,25600,0,0.0,0.7570305438663122,25600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,8.0,0.0,8.0
3,0.12,0,0,0,38400,0,0,38400,0,0.0,0.7570305438663122,38400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,12.0,0.0,12.0
4,0.16,0,0,0,51200,0,0,51200,0,0.0,0.7570305438663122,51200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,16.0,0.0,16.0
5,0.2,0,0,0,64000,0,0,64000,0,0.0,0.7570305438663122,64000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,20.0,0.0,20.0
6,0.24,0,0,0,76800,0,0,76800,0,0.0,0.7570305438663122,76800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,24.0,0.0,24.0
7,0.28,0,0,0,89600,0,0,89600,0,0.0,0.7570305438663122,89600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,28.0,0.0,28.0
8,0.32,0,0,0,102400,0,0,102400,0,0.0,0.7570305438663122,102400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,32.0,0.0,32.0
9,0.36,0,0,0,115200,0,0,115200,0,0.0,0.7570305438663122,115200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,36.0,0.0,36.0
10,0.4,0,0,0,128000,0,0,128000,0,0.0,0.7570305438663122,128000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,40.0,0.0,40.0
11,0.44,0,0,0,140800,0,0,140800,0,0.0,0.7570305438663122,140800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,44.0,0.0,44.0
12,0.48,0,0,0,153600,0,0,153600,0,0.0,0.7570305438663122,153600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,48.0,0.0,48.0
14,0.56,0,0,0,179200,0,0,179200,0,0.0,0.7570305438663122,179200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,56.0,0.0,56.0
15,0.6,0,0,0,192000,0,0,192000,0,0.0,0.7570305438663122,192000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,60.0,0.0,60.0
16,0.64,0,0,0,204800,0,0,204800,0,0.0,0.7570305438663122,204800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,64.0,0.0,64.0
17,0.68,0,0,0,217600,0,0,217600,0,0.0,0.7570305438663122,217600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,68.0,0.0,68.0
18,0.72,0,0,0,230400,0,0,230400,0,0.0,0.7570305438663122,230400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,72.0,0.0,72.0
19,0.76,0,0,0,243200,0,0,243200,0,0.0,0.7570305438663122,243200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,76.0,0.0,76.0
20,0.8,0,0,0,256000,0,0,256000,0,0.0,0.7570305438663122,256000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,80.0,0.0,80.0
21,0.84,0,0,0,268800,0,0,268800,0,0.0,0.7570305438663122,268800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,84.0,0.0,84.0
22,0.88,0,0,0,281600,0,0,281600,0,0.0,0.7570305438663122,281600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,88.0,0.0,88.0
23,0.92,0,0,0,294400,0,0,294400,0,0.0,0.7570305438663122,294400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,92.0,0.0,92.0
24,0.96,0,0,0,307200,0,0,307200,0,0.0,0.7570305438663122,307200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,96.0,0.0,96.0
25,1.0,0,0,0,320000,0,0,320000,0,0.0,0.7570305438663122,320000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,100.0,0.0,100.0
26,1.04,0,0,0,332800,0,0,332800,0,0.0,0.7570305438663122,332800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,104.0,0.0,104.0
27,1.08,0,0,0,345600,0,0,345600,0,0.0,0.7570305438663122,345600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,108.0,0.0,108.0
28,1.12,0,0,0,358400,0,0,358400,0,0.0,0.7570305438663122,358400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,112.0,0.0,112.0
29,1.16,0,0,0,371200,0,0,371200,0,0.0,0.7570305438663122,371200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,116.0,0.0,116.0
30,1.2,0,0,0,384000,0,0,384000,0,0.0,0.7570305438663122,384000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,120.0,0.0,120.0
31,1.24,0,0,0,396800,0,0,396800,0,0.0,0.7570305438663122,396800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,124.0,0.0,124.0
32,1.28,0,0,0,409600,0,0,409600,0,0.0,0.7570305438663122,409600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,128.0,0.0,128.0
33,1.32,0,0,0,422400,0,0,422400,0,0.0,0.7570305438663122,422400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,132.0,0.0,132.0
34,1.36,0,0,0,435200,0,0,435200,0,0.0,0.7570305438663122,435200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,136.0,0.0,136.0
35,1.4000000000000001,0,0,0,448000,0,0,448000,0,0.0,0.7570305438663122,448000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,140.0,0.0,140.0
36,1.44,0,0,0,460800,0,0,460800,0,0.0,0.7570305438663122,460800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,144.0,0.0,144.0
38,1.52,0,0,0,486400,0,0,486400,0,0.0,0.7570305438663122,486400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,152.0,0.0,152.0
39,1.56,0,0,0,499200,0,0,499200,0,0.0,0.7570305438663122,499200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,156.0,0.0,156.0
40,1.6,0,0,0,512000,0,0,512000,0,0.0,0.7570305438663122,512000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,160.0,0.0,160.0
41,1.6400000000000001,0,0,0,524800,0,0,524800,0,0.0,0.7570305438663122,524800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,164.0,0.0,164.0
42,1.68,0,0,0,537600,0,0,537600,0,0.0,0.7570305438663122,537600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,168.0,0.0,168.0
43,1.72,0,0,0,550400,0,0,550400,0,0.0,0.7570305438663122,550400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,172.0,0.0,172.0
44,1.76,0,0,0,563200,0,0,563200,0,0.0,0.7570305438663122,563200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,176.0,0.0,176.0
45,1.8,0,0,0,576000,0,0,576000,0,0.0,0.7570305438663122,576000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,180.0,0.0,180.0
46,1.84,0,0,0,588800,0,0,588800,0,0.0,0.7570305438663122,588800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,184.0,0.0,184.0
47,1.8800000000000001,0,0,0,601600,0,0,601600,0,0.0,0.7570305438663122,601600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,188.0,0.0,188.0
48,1.92,0,0,0,614400,0,0,614400,0,0.0,0.7570305438663122,614400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,192.0,0.0,192.0
49,1.96,0,0,0,627200,0,0,627200,0,0.0,0.7570305438663122,627200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,196.0,0.0,196.0
50,2.0,0,0,0,640000,0,0,640000,0,0.0,0.7570305438663122,640000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,200.0,0.0,200.0
51,2.04,0,0,0,652800,0,0,652800,0,0.0,0.7570305438663122,652800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,204.0,0.0,204.0
52,2.08,0,0,0,665600,0,0,665600,0,0.0,0.7570305438663122,665600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,208.0,0.0,208.0
53,2.12,0,0,0,678400,0,0,678400,0,0.0,0.7570305438663122,678400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,212.0,0.0,212.0
54,2.16,0,0,0,691200,0,0,691200,0,0.0,0.7570305438663122,691200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,216.0,0.0,216.0
55,2.2,0,0,0,704000,0,0,704000,0,0.0,0.7570305438663122,704000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,220.0,0.0,220.0
56,2.24,0,0,0,716800,0,0,716800,0,0.0,0.7570305438663122,716800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,224.0,0.0,224.0
57,2.2800000000000002,0,0,0,729600,0,0,729600,0,0.0,0.7570305438663122,729600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,228.0,0.0,228.0
58,2.32,0,0,0,742400,0,0,742400,0,0.0,0.7570305438663122,742400.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,232.0,0.0,232.0
59,2.36,0,0,0,755200,0,0,755200,0,0.0,0.7570305438663122,755200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,236.0,0.0,236.0
60,2.4,0,0,0,768000,0,0,768000,0,0.0,0.7570305438663122,768000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,240.0,0.0,240.0
61,2.44,0,0,0,780800,0,0,780800,0,0.0,0.7570305438663122,780800.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,244.0,0.0,244.0
62,2.48,0,0,0,793600,0,0,793600,0,0.0,0.7570305438663122,793600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,248.0,0.0,248.0
70,2.8000000000000003,0,0,0,896000,0,0,896000,0,0.0,0.7570305438663122,896000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,280.0,0.0,280.0
77,3.08,0,0,0,985600,0,0,985600,0,0.0,0.7570305438663122,985600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,308.0,0.0,308.0
85,3.4,0,0,0,1088000,0,0,1088000,0,0.0,0.7570305438663122,1088000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,340.0,0.0,340.0
92,3.68,0,0,0,1177600,0,0,1177600,0,0.0,0.7570305438663122,1177600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,368.0,0.0,368.0
100,4.0,0,0,0,1280000,0,0,1280000,0,0.0,0.7570305438663122,1280000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,400.0,0.0,400.0
107,4.28,0,0,0,1369600,0,0,1369600,0,0.0,0.7570305438663122,1369600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,428.0,0.0,428.0
114,4.5600000000000005,0,0,0,1459200,0,0,1459200,0,0.0,0.7570305438663122,1459200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,456.0,0.0,456.0
122,4.88,0,0,0,1561600,0,0,1561600,0,0.0,0.7570305438663122,1561600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,488.0,0.0,488.0
129,5.16,0,0,0,1651200,0,0,1651200,0,0.0,0.7570305438663122,1651200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,516.0,0.0,516.0
137,5.48,0,0,0,1753600,0,0,1753600,0,0.0,0.7570305438663122,1753600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,548.0,0.0,548.0
144,5.76,0,0,0,1843200,0,0,1843200,0,0.0,0.7570305438663122,1843200.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,576.0,0.0,576.0
152,6.08,0,0,0,1945600,0,0,1945600,0,0.0,0.7570305438663122,1945600.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,608.0,0.0,608.0
