method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,CV_SW2,CV_MMD2_biased,CV_MMD2_unbiased,latent_z1_KS,CV_KDE_Hellinger,basin_outside_mass,basin_JS,basin_TV,tamed,tame_cap,boundary_rule,n_replicas,n_swap,mh_accept,replica_0_mh_accept,replica_1_mh_accept,replica_2_mh_accept,replica_3_mh_accept,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative,mh_accept_fraction_cumulative,replica_0_mh_accept_fraction_cumulative,replica_1_mh_accept_fraction_cumulative,replica_2_mh_accept_fraction_cumulative,replica_3_mh_accept_fraction_cumulative,swap_accept,swap_accept_fraction_cumulative,round_trip_rate_cumulative
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,c87203a12406cc5114b7ffa2d8877465,True,0,0,0.0,0.0,0.0,0.0,0.0,0.737286856346149,0.51807289966665,0.517574213679662,0.79625,0.5328294737224378,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,4,10,,,,,,,,,,,,,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,c87203a12406cc5114b7ffa2d8877465,True,1,0,0.0,0.0,0.0,0.0,0.0,0.7373080354584601,0.5192023916045544,0.5187031180839953,0.7987500000000001,0.5340605555633617,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,4,10,,,,,,,,,,,,,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,c87203a12406cc5114b7ffa2d8877465,True,2,0,0.0,0.0,0.0,0.0,0.0,0.7385620563534063,0.519734556961511,0.5192358553541461,0.795,0.532777242537444,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,4,10,,,,,,,,,,,,,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,c87203a12406cc5114b7ffa2d8877465,True,3,0,0.0,0.0,0.0,0.0,0.0,0.7381313787002808,0.5206528768341193,0.5201534478380794,0.80125,0.5364146201299056,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,4,10,,,,,,,,,,,,,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,c87203a12406cc5114b7ffa2d8877465,True,0,1,0.04,12800.0,4.0,4.0,0.0,0.732113188807627,0.5137870695826693,0.5132852368056638,0.7712500000000001,0.516656839483727,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,4,10,0.575078125,0.64375,0.5965625,0.55125,0.50875,0.0,0.0,0.575078125,0.64375,0.5965625,0.55125,0.50875,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,c87203a12406cc5114b7ffa2d8877465,True,1,1,0.04,12800.0,4.0,4.0,0.0,0.7309785794511376,0.5135302137599173,0.5130269516429682,0.7675000000000001,0.5158828435769134,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,4,10,0.575078125,0.64375,0.5965625,0.55125,0.50875,0.0,0.0,0.575078125,0.64375,0.5965625,0.55125,0.50875,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,c87203a12406cc5114b7ffa2d8877465,True,2,1,0.04,12800.0,4.0,4.0,0.0,0.7308990181856061,0.512269724586712,0.5117671160693884,0.765,0.5158660679640381,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,4,10,0.575078125,0.64375,0.5965625,0.55125,0.50875,0.0,0.0,0.575078125,0.64375,0.5965625,0.55125,0.50875,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,c87203a12406cc5114b7ffa2d8877465,True,3,1,0.04,12800.0,4.0,4.0,0.0,0.7320020639524222,0.5145702191458453,0.5140674649597464,0.7712500000000001,0.5158266546464041,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,4,10,0.575078125,0.64375,0.5965625,0.55125,0.50875,0.0,0.0,0.575078125,0.64375,0.5965625,0.55125,0.50875,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,c87203a12406cc5114b7ffa2d8877465,True,0,2,0.08,25600.0,8.0,8.0,0.0,0.7278809805839299,0.5104472708313111,0.5099421577377011,0.7612500000000001,0.5106426889133405,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,4,10,0.60390625,0.6496875,0.6146875,0.5853125,0.5659375,0.0,0.0,0.5894921875,0.64671875,0.605625,0.56828125,0.53734375,,,
PT,"PT n_swap=10, tamed",c1f69d797ceb0ab5d3b22296797106e5,c87203a12406cc5114b7ffa2d8877465,True,1,2,0.08,25600.0,8.0,8.0,0.0,0.7266280366649667,0.5097191619713912,0.5092127057154483,0.75875,0.5117435996463415,0.0,0.36550095012754413,0.7311477216369078,True,1.0,reject,4,10,0.60390625,0.6496875,0.6146875,0.5853125,0.5659375,0.0,0.0,0.5894921875,0.64671875,0.605625,0.56828125,0.53734375,,,
