step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
0,0.0,0,0,0,0,0,0,0,0,0.0,0.7570305438663122,0.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,0.0,0.0,0.0
33,0.165,0,0,528000,0,0,0,528000,0,0.0,0.7570305438663122,528000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,33.0,0.0,33.0
67,0.335,0,0,1072000,0,0,0,1072000,0,0.0,0.7570305438663122,1072000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,67.0,0.0,67.0
100,0.5,0,0,1600000,0,0,0,1600000,0,0.0,0.7570305438663122,1600000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,100.0,0.0,100.0
133,0.665,0,0,2128000,0,0,0,2128000,0,0.0,0.7570305438663122,2128000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,133.0,0.0,133.0
167,0.835,0,0,2672000,0,0,0,2672000,0,0.0,0.7570305438663122,2672000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,167.0,0.0,167.0
200,1.0,0,0,3200000,0,0,0,3200000,0,0.0,0.7570305438663122,3200000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,200.0,0.0,200.0
233,1.165,0,0,3728000,0,0,0,3728000,0,0.0,0.7570305438663122,3728000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,233.0,0.0,233.0
267,1.335,0,0,4272000,0,0,0,4272000,0,0.0,0.7570305438663122,4272000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,267.0,0.0,267.0
300,1.5,0,0,4800000,0,0,0,4800000,0,0.0,0.7570305438663122,4800000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,300.0,0.0,300.0
333,1.665,0,0,5328000,0,0,0,5328000,0,0.0,0.7570305438663122,5328000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,333.0,0.0,333.0
367,1.835,0,0,5872000,0,0,0,5872000,0,0.0,0.7570305438663122,5872000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,367.0,0.0,367.0
400,2.0,0,0,6400000,0,0,0,6400000,0,0.0,0.7570305438663122,6400000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,400.0,0.0,400.0
433,2.165,0,0,6928000,0,0,0,6928000,0,0.0,0.7570305438663122,6928000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,433.0,0.0,433.0
467,2.335,0,0,7472000,0,0,0,7472000,0,0.0,0.7570305438663122,7472000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,467.0,0.0,467.0
500,2.5,0,0,8000000,0,0,0,8000000,0,0.0,0.7570305438663122,8000000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,500.0,0.0,500.0
533,2.665,0,0,8528000,0,0,0,8528000,0,0.0,0.7570305438663122,8528000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,533.0,0.0,533.0
567,2.835,0,0,9072000,0,0,0,9072000,0,0.0,0.7570305438663122,9072000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,567.0,0.0,567.0
600,3.0,0,0,9600000,0,0,0,9600000,0,0.0,0.7570305438663122,9600000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,600.0,0.0,600.0
633,3.165,0,0,10128000,0,0,0,10128000,0,0.0,0.7570305438663122,10128000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,633.0,0.0,633.0
667,3.335,0,0,10672000,0,0,0,10672000,0,0.0,0.7570305438663122,10672000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,667.0,0.0,667.0
700,3.5,0,0,11200000,0,0,0,11200000,0,0.0,0.7570305438663122,11200000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,700.0,0.0,700.0
733,3.665,0,0,11728000,0,0,0,11728000,0,0.0,0.7570305438663122,11728000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,733.0,0.0,733.0
767,3.835,0,0,12272000,0,0,0,12272000,0,0.0,0.7570305438663122,12272000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,767.0,0.0,767.0
800,4.0,0,0,12800000,0,0,0,12800000,0,0.0,0.7570305438663122,12800000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,800.0,0.0,800.0
833,4.165,0,0,13328000,0,0,0,13328000,0,0.0,0.7570305438663122,13328000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,833.0,0.0,833.0
867,4.335,0,0,13872000,0,0,0,13872000,0,0.0,0.7570305438663122,13872000.0,088ecf363630e7e9c4899a3eb827d2f6,amortized_time_per_configuration,867.0,0.0,867.0
