step,t,n_potential_only,n_potential_baseline,n_force_only,n_value_and_force,n_structured_extra_chord_units,n_structured_extra_particle_calls,n_force,n_extra_potential,n_extra_potential_equivalent,rho,n_fee,fee_calibration_hash,fee_cost_unit,n_force_per_particle,n_extra_potential_equivalent_per_particle,n_fee_per_particle
0,0.0,0,0,0,0,0,0,0,0,0.0,1.009456147008823,0.0,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,0.0,0.0,0.0
10,0.02,0,0,16000,0,32768000,16000,16000,0,45430.32549573818,1.009456147008823,61859.92133228456,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,10.0,28.393953434836362,38.66245083267785
21,0.042,0,0,33600,0,68812800,33600,33600,0,95403.6835410502,1.009456147008823,129905.8347977976,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,21.0,59.62730221315637,81.1911467486235
31,0.062,0,0,49600,0,101580800,49600,49600,0,140834.00903678837,1.009456147008823,191765.75613008215,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,31.0,88.02125564799273,119.85359758130134
42,0.084,0,0,67200,0,137625600,67200,67200,0,190807.3670821004,1.009456147008823,259811.6695955952,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,42.0,119.25460442631274,162.382293497247
52,0.10400000000000001,0,0,83200,0,170393600,83200,83200,0,236237.69257783858,1.009456147008823,321671.5909278798,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,52.0,147.6485578611491,201.04474432992487
63,0.126,0,0,100800,0,206438400,100800,100800,0,286211.0506231506,1.009456147008823,389717.5043933928,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,63.0,178.88190663946912,243.57344024587053
73,0.146,0,0,116800,0,239206400,116800,116800,0,331641.37611888873,1.009456147008823,451577.4257256773,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,73.0,207.27586007430546,282.2358910785483
83,0.166,0,0,132800,0,271974400,132800,132800,0,377071.7016146269,1.009456147008823,513437.34705796186,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,83.0,235.66981350914182,320.89834191122617
94,0.188,0,0,150400,0,308019200,150400,150400,0,427045.0596599389,1.009456147008823,581483.2605234749,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,94.0,266.90316228746184,363.42703782717183
104,0.20800000000000002,0,0,166400,0,340787200,166400,166400,0,472475.38515567716,1.009456147008823,643343.1818557596,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,104.0,295.2971157222982,402.08948865984974
115,0.23,0,0,184000,0,376832000,184000,184000,0,522448.7432009891,1.009456147008823,711389.0953212725,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,115.0,326.53046450061817,444.61818457579534
125,0.25,0,0,200000,0,409600000,200000,200000,0,567879.0686967273,1.009456147008823,773249.0166535571,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,125.0,354.9244179354545,483.2806354084732
135,0.27,0,0,216000,0,442368000,216000,216000,0,613309.3941924655,1.009456147008823,835108.9379858417,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,135.0,383.3183713702909,521.943086241151
146,0.292,0,0,233600,0,478412800,233600,233600,0,663282.7522377775,1.009456147008823,903154.8514513546,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,146.0,414.5517201486109,564.4717821570966
156,0.312,0,0,249600,0,511180800,249600,249600,0,708713.0777335156,1.009456147008823,965014.7727836391,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,156.0,442.9456735834473,603.1342329897744
167,0.334,0,0,267200,0,547225600,267200,267200,0,758686.4357788278,1.009456147008823,1033060.6862491523,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,167.0,474.17902236176735,645.6629289057202
177,0.354,0,0,283200,0,579993600,283200,283200,0,804116.7612745658,1.009456147008823,1094920.6075814366,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,177.0,502.57297579660366,684.3253797383979
188,0.376,0,0,300800,0,616038400,300800,300800,0,854090.1193198778,1.009456147008823,1162966.5210469498,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,188.0,533.8063245749237,726.8540756543437
198,0.396,0,0,316800,0,648806400,316800,316800,0,899520.4448156161,1.009456147008823,1224826.4423792344,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,198.0,562.20027800976,765.5165264870215
208,0.41600000000000004,0,0,332800,0,681574400,332800,332800,0,944950.7703113543,1.009456147008823,1286686.3637115192,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,208.0,590.5942314445964,804.1789773196995
219,0.438,0,0,350400,0,717619200,350400,350400,0,994924.1283566663,1.009456147008823,1354732.277177032,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,219.0,621.8275802229165,846.7076732356451
229,0.458,0,0,366400,0,750387200,366400,366400,0,1040354.4538524045,1.009456147008823,1416592.1985093167,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,229.0,650.2215336577528,885.3701240683229
240,0.48,0,0,384000,0,786432000,384000,384000,0,1090327.8118977163,1.009456147008823,1484638.1119748293,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,240.0,681.4548824360727,927.8988199842684
250,0.5,0,0,400000,0,819200000,400000,400000,0,1135758.1373934546,1.009456147008823,1546498.0333071142,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,250.0,709.848835870909,966.5612708169464
260,0.52,0,0,416000,0,851968000,416000,416000,0,1181188.4628891929,1.009456147008823,1608357.9546393987,617414aeae69572deaa374dae2d362a1,amortized_time_per_configuration,260.0,738.2427893057455,1005.2237216496242
