method,variant_label,variant_hash,metric_definition_hash,tame,seed,step,t,n_fee,n_fee_per_particle,n_force_per_particle,n_extra_potential_equivalent_per_particle,phase_weight_JS,order_parameter_SW2,order_parameter_MMD2_biased,energy_per_site_MAE,susceptibility_relative_frobenius,order_parameter_MMD2_unbiased,phase_weight_TV,max_phase_mass_error,phase_outside_mass,energy_per_site_variance_error,coherence_mean_error,correlation_relative_L2,kink_density_error,heat_capacity_error,binder_cumulant_error,order_parameter_mean_error,marginal_KS_mx,marginal_KS_my,marginal_KS_m_norm,marginal_W1_mx,marginal_W1_my,marginal_W1_m_norm,energy_per_site_KS,energy_per_site_W1,energy_per_site_MMD2_biased,energy_per_site_MMD2_unbiased,coherence_KS,coherence_W1,kink_density_KS,kink_density_W1,kink_zero_probability,kink_zero_probability_reference,kink_zero_probability_error,kink_high_tail_threshold,kink_high_tail_probability,kink_high_tail_probability_reference,kink_high_tail_probability_error,connected_correlation_relative_L2,energy_per_site_mean,energy_per_site_variance,coherence_mean,kink_density_mean,heat_capacity_per_site,heat_capacity_per_site_reference,binder_cumulant,binder_cumulant_reference,phase_occupancy_0,phase_count_0,phase_occupancy_1,phase_count_1,phase_occupancy_2,phase_count_2,phase_occupancy_3,phase_count_3,phase_outside_count,susceptibility_00,susceptibility_01,susceptibility_10,susceptibility_11,correlation_r0,connected_correlation_r0,correlation_r1,connected_correlation_r1,correlation_r2,connected_correlation_r2,correlation_r3,connected_correlation_r3,correlation_r4,connected_correlation_r4,correlation_r5,connected_correlation_r5,correlation_r6,connected_correlation_r6,tamed,tame_cap,boundary_rule,boundary_reject_fraction_cumulative,nonfinite_proposal_fraction_cumulative
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,6301bacd8069f5c726e241e2afe2fb0c,False,0,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2829989854038508,0.3018869667203312,0.019954777971698145,0.9997938256045952,0.3010177028019748,0.676619318181681,0.676619318181681,0.0,0.0013036820798528394,0.0023143304912663027,0.05749112840517722,5.823863636363635e-05,1.001227837326981,0.017938858385139644,1.283489640280781,0.7175,0.71,0.5475000000000001,1.006735658390696,0.8706277789847223,0.1055312496054518,0.1875,0.018187314113804278,0.03256503298857938,0.030085835934742566,0.31999999999999995,0.0022399989412312513,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996428623320028,0.14560140508134026,0.0026301197270400395,0.00979251902100055,0.0,2.0199319503667503,1.0187041130397694,0.4997975628425282,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.019068689068252636,0.0008706711107316983,0.0008706711107316983,0.018410793481265182,2.019517426486231,0.004844216627589049,2.014621166975731,-5.20428829107189e-05,2.014607783154061,-6.542670458076216e-05,2.0147300525910765,5.6842732434780885e-05,2.014725194923174,5.198506453218954e-05,2.0146541711826775,-1.903867596420028e-05,2.014557577144426,-0.00011563271421577426,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,6301bacd8069f5c726e241e2afe2fb0c,False,1,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.282457343305047,0.3017157146987093,0.022578037020181546,0.9997865943205358,0.3008464400910206,0.676619318181681,0.676619318181681,0.0,0.0011876194042054172,0.002485591833933351,0.05674341851085731,5.823863636363635e-05,0.912091702429761,0.0179440207208329,1.2829734598500022,0.72,0.71,0.5425000000000001,1.0062124965018249,0.8703479675041769,0.10532988392084931,0.20750000000000002,0.02095051982175285,0.050074185320847064,0.047619356889303854,0.3475,0.00241141539286805,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.999624291390226,0.14822466412982366,0.0025140570513926173,0.009963780363667598,0.0,1.9307958154695304,1.0187041130397694,0.49980272517822144,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.019430986105636157,-0.0004331084137237666,-0.0004331084137237666,0.019613624858292367,2.0182256076450997,0.005011636445779288,2.0132437174632662,2.9746263945806817e-05,2.0131828050044303,-3.116619489018646e-05,2.0132573153226625,4.3344123342059504e-05,2.013164385680541,-4.958551877942696e-05,2.013144428772266,-6.954242705425884e-05,2.013225117189978,1.1145990657546179e-05,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,6301bacd8069f5c726e241e2afe2fb0c,False,2,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2819730669671119,0.30153239590109493,0.01975135980114287,0.9997753607565257,0.3006631085436332,0.676619318181681,0.676619318181681,0.0,0.0015005300105514548,0.0022998696343190074,0.05588857482120061,5.823863636363635e-05,1.1524070481035171,0.01792356997143274,1.2824012177545905,0.7175,0.7124999999999999,0.5425000000000001,1.0062256822950701,0.8692630238267668,0.10463305439199858,0.1925,0.01811105322273384,0.03631119232156932,0.03378601424946692,0.30500000000000005,0.0022255380842839557,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9996170424835538,0.14539798691078498,0.002826967657738655,0.009778058164053255,0.0,2.1711111611432865,1.0187041130397694,0.4997822744288213,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.019667462620011827,0.0005984375569062821,0.0005984375569062821,0.021244036409261743,2.01647173838766,0.004902384531641157,2.0115827093056335,1.33554496146715e-05,2.0116153511773773,4.5997321358459686e-05,2.0116024631655938,3.3109309574896884e-05,2.011521254362391,-4.809949362805099e-05,2.0115844309385897,1.5077082570869038e-05,2.0116492425206065,7.98886645876351e-05,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,6301bacd8069f5c726e241e2afe2fb0c,False,3,0,0.0,0.0,0.0,0.0,0.0,0.3252121593263408,1.2821127522979783,0.3015720487229048,0.022564714766857924,0.9997813109373546,0.30070276711235966,0.676619318181681,0.676619318181681,0.0,0.0014982839374332098,0.0024853218459276764,0.056022037463182725,5.823863636363635e-05,1.150682063948705,0.01794274636185722,1.2825005075320726,0.7150000000000001,0.7075,0.55,1.0062232394763289,0.8698725108535126,0.10517173523434896,0.2025,0.0208291989055592,0.04049753555036073,0.037991975349407237,0.3175,0.0024109902958926255,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.999620824168596,0.14821134187650004,0.00282472158462041,0.009963510375661924,0.0,2.1693861769884744,1.0187041130397694,0.49980145081924576,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.02102051138227841,-0.0008160358619465715,-0.0008160358619465715,0.019049516538010944,2.0168202930050376,0.004988795443302774,2.0118385378172063,7.040255471491008e-06,2.0117797165654774,-5.178099625746668e-05,2.011922222028465,9.072446673030754e-05,2.011803292344339,-2.8205217395882443e-05,2.0118183730413115,-1.3124520423346553e-05,2.0118296257484922,-1.87181324262653e-06,False,nan,reject,,
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,6301bacd8069f5c726e241e2afe2fb0c,False,0,10,0.02,16000.0,10.0,10.0,0.0,0.3252121593263408,1.2763374866570867,0.30214416205308436,0.01905708633853158,0.9993966911445604,0.3012744057206914,0.676619318181681,0.676619318181681,0.0,0.00012327337711027435,0.0003146604210846017,0.05942393550845473,5.823863636363635e-05,0.09467395362069042,0.017546414621795847,1.2845543997217521,0.6900000000000001,0.6775,0.48000000000000004,1.0023069367124857,0.8654798981816958,0.09769236768571045,0.25749999999999995,0.020858482518471,0.06954710816833387,0.06745128070335216,0.10999999999999999,0.0004143891415424425,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9992480605767641,0.10658954077111053,0.0012031642700769257,0.0071635281086496454,0.0,0.924030159419079,1.0187041130397694,0.4994051190791844,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.05660971009426513,0.0029156885322779527,0.0029156885322779527,0.05298718266783678,2.0236962353988046,0.0060647310852393055,2.0201144713444803,0.0024829670309149954,2.018485584322219,0.0008540800086538347,2.0178617397218934,0.00023023540832811662,2.017723370249005,9.186593543963895e-05,2.017731694584623,0.00010019027105778733,2.0177134584858174,8.195417225209667e-05,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,6301bacd8069f5c726e241e2afe2fb0c,False,1,10,0.02,16000.0,10.0,10.0,0.0,0.3252121593263408,1.2751407862751782,0.3015026335248028,0.019007170911123805,0.9993820130712425,0.3006328537562226,0.676619318181681,0.676619318181681,0.0,4.554343865268047e-05,0.00031381296659271744,0.05658424529370863,5.823863636363635e-05,0.0349773608852586,0.017565003233910526,1.2826224171987564,0.6925000000000001,0.6825000000000001,0.49,1.0011413777657507,0.8638411968360555,0.09775812544430526,0.255,0.020777214391838487,0.06805375062283248,0.06592952784148287,0.11750000000000005,0.00041993369837302493,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9992278786158862,0.1066394561985183,0.0012808942085345196,0.00716437556314153,0.0,0.9837267521545108,1.0187041130397694,0.49942370769129907,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.05318402017835605,-0.0009031173318451518,-0.0009031173318451518,0.05984662632750719,2.0184087195877423,0.006226443719610231,2.0148265318061713,0.002644255938039297,2.013118867771834,0.0009365919037018777,2.0124135991909977,0.00023132332286568413,2.0122414789886705,5.920312053842025e-05,2.0122326587034074,5.038283527536436e-05,2.012205826643878,2.355077574600628e-05,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,6301bacd8069f5c726e241e2afe2fb0c,False,2,10,0.02,16000.0,10.0,10.0,0.0,0.3252121593263408,1.2749419343114132,0.3017081382596615,0.021342074981350906,0.9993381818664798,0.3008383057567441,0.676619318181681,0.676619318181681,0.0,0.0001861195790098726,0.0004717717537246332,0.057644128984229916,5.823863636363635e-05,0.142939836679582,0.017511411513588926,1.2833042850979004,0.685,0.6675,0.48,1.0016452364517312,0.8636789281292698,0.09696831622175452,0.2700000000000001,0.02314174062931546,0.08281359718588976,0.08072084047752193,0.12000000000000005,0.0005574027964943882,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9991897930938276,0.1043045521282912,0.0011403180681773275,0.007006416776009614,0.0,0.8757642763601874,1.0187041130397694,0.49937011597097747,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.05545810887913359,0.0006780169108793412,0.0006780169108793412,0.06529789473303212,2.0204460834122298,0.006313674975440442,2.016942875024225,0.002810466587435556,2.0152525241073884,0.0011201156705991089,2.0145408977171466,0.0004084892803573048,2.014198949550648,6.654111385850925e-05,2.014109618272559,-2.279016423045732e-05,2.0141098526857006,-2.2555751088670917e-05,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,6301bacd8069f5c726e241e2afe2fb0c,False,3,10,0.02,16000.0,10.0,10.0,0.0,0.3252121593263408,1.274748879557204,0.30108797316909763,0.021655243782326042,0.9993897856891312,0.3002182055288978,0.676619318181681,0.676619318181681,0.0,0.00016201096598154386,0.00048721147289376796,0.0544877224642108,5.823863636363635e-05,0.12442442187382563,0.017557525858432843,1.281257740506693,0.6875,0.67,0.47000000000000003,1.0013919425753162,0.8632190681963039,0.09718619338558901,0.27249999999999996,0.023422707640219947,0.08265848635926398,0.0805674925386245,0.13,0.0005691939677709744,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9992442025087951,0.10399138332731607,0.0011644266812056562,0.006990977056840479,0.0,0.8942796911659437,1.0187041130397694,0.4994162303158214,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.055621248831084505,0.000865665879637675,0.000865665879637675,0.055632212172182074,2.014310873923724,0.006094587652398342,2.0108153853953037,0.0025990991239779326,2.009168312459221,0.0009520261878952496,2.008462824534189,0.00024653826286336056,2.0083336936995626,0.00011740742823684869,2.0082167645145423,4.782432165839623e-07,2.0081625160453984,-5.377022592734093e-05,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,6301bacd8069f5c726e241e2afe2fb0c,False,0,21,0.042,33600.0,21.0,21.0,0.0,0.3252121593263408,1.2706266527721857,0.30179873258021184,0.015967570885698806,0.9989648824300094,0.3009284332662212,0.676619318181681,0.676619318181681,0.0,0.0001867375241759008,0.00014744408094883796,0.058507144565400585,5.823863636363635e-05,0.14341441856709158,0.017180260789902646,1.2837032013313285,0.67,0.6575,0.425,0.9995226332637206,0.8599724897064283,0.09335594300769753,0.1925,0.017759987265957452,0.04337924330257148,0.04127852652620767,0.06500000000000006,0.00023151086470977528,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9987984718485781,0.1096790562239433,0.0011397001230112993,0.007330744448785409,0.0,0.8752896944726778,1.0187041130397694,0.4990389652472912,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.09947168262781664,-0.0011115518796388007,-0.0011115518796388007,0.08968162452794134,2.0228343211377267,0.0077871915167335715,2.0191689489133338,0.004121819292340678,2.01712327087263,0.0020761412516367983,2.0158681739164024,0.0008210442954093011,2.015453485115782,0.00040635549478906796,2.0153695943975163,0.0003224647765232014,2.0153493408688545,0.00030221124786145026,False,nan,reject,0.0,0.0
ULA,"ULA, canonical",b7de5ef3f9c90a224aa9d5db71797325,6301bacd8069f5c726e241e2afe2fb0c,False,1,21,0.042,33600.0,21.0,21.0,0.0,0.3252121593263408,1.270061749868042,0.3015826096577948,0.014110581051408624,0.9989124511752691,0.30071224810102737,0.676619318181681,0.676619318181681,0.0,0.00013617246675688005,3.190795605469317e-05,0.05805554430313903,5.823863636363635e-05,0.10458045446928366,0.01710177982076888,1.28328684260679,0.6675,0.65,0.42000000000000004,0.997402336751692,0.8601832901809258,0.09183927921778025,0.18500000000000005,0.015917996534330712,0.03582048488183698,0.03370254246338589,0.057499999999999996,0.00014780276179049258,0.0,0.0,1.0,0.9997244318181817,0.00027556818181828646,0.0,1.0,0.9999999999999999,1.1102230246251565e-16,0.9987486941934707,0.11153604605823349,0.00119026518043032,0.007446280573679554,0.0,0.9141236585704857,1.0187041130397694,0.4989604842781574,0.48185870445738854,0.9999999999999897,400,0.0,0,0.0,0,0.0,0,0,0.10121756010386347,0.0014560588861603804,0.0014560588861603804,0.09705983814878648,2.022274406674179,0.008178779806901737,2.0185512663873393,0.004455639520061894,2.0163362438788774,0.0022406170116000546,2.015062941303146,0.0009673144358686159,2.0145353372247916,0.0004397103575142225,2.0142218763445716,0.00012624947729422686,2.0141804985503287,8.487168305126858e-05,False,nan,reject,0.0,0.0
