mu_x,mu_y
1.095693498571634450e+01,-1.841706289889037507e+01
-3.672211808510442665e+01,-3.867778915771766890e+01
2.506161913602178970e+01,3.302044618221773931e+01
8.530862061374392624e+00,1.835972487871987369e+01
3.489999317233831277e+00,3.480579390302145271e+01
2.526828432972257588e+01,-3.978091998638815596e+01
2.859234212700555133e+01,-3.731315397556285518e+01
1.837243571439552170e+01,-2.594755035179527880e+01
2.905431378799092101e+01,3.316897619927338781e+00
-1.602304875700921727e+01,-6.185022304187327791e+00
-3.773442630836296274e+01,-3.005733788003488627e+01
1.364995317549042397e+01,1.177516092594000696e+01
9.230808918500308380e+00,-9.305795659049323376e+00
3.977679486313688528e+01,3.846682710209840650e+01
1.484335875845557950e+01,1.203674210142530399e+01
1.507573844567520638e+01,-8.886286081671698867e+00
-2.919227959820710083e+01,1.771906721552653607e+01
2.028345798058069249e+00,-1.518064995528354899e+01
-1.133171293456875617e+00,3.115902674792002358e+01
3.472348127649996741e+01,-1.137638426327438168e+01
5.722386458380874785e+00,-1.425044871392462653e+01
7.544002415975739950e+00,-1.296710195942933908e+01
-8.670479957747101452e+00,3.122194816038339127e+01
-2.182739251732962060e+01,9.854971574883393259e+00
-3.327877251340921561e+01,2.661153181227182074e+01
2.296786459909466771e+01,-2.085044456056382955e+01
3.011873846485630679e+01,-3.531455721558445049e+01
-1.311063515634717191e+01,-2.797764264841287485e+01
-3.972850668057041901e+00,2.370594162298353780e+01
-2.154862328050020537e+01,-3.583829591484722954e+01
-7.635852814277740208e+00,-2.411895643925957344e+01
-3.273975635047024468e+01,6.426590878948054808e+00
-1.610430937448619204e+01,1.375959023650874968e+01
-2.403876448254293763e+01,3.536904884051982378e+01
-1.079118654041371528e+01,-3.156037763438163779e+01
1.032865212317673809e+01,3.417236424542939233e+01
-4.769827622737281558e+00,3.636723949525898547e+01
-8.334904988238633905e-03,-5.981710012073961025e+00
9.617076161230222908e+00,3.960772041882593442e+01
3.591549399502122242e+01,-3.196388855272317642e+00
