schema_version,method,seed,seeds,warmup_steps,burn_in_steps,steps_per_draw,dt,equilibrium_initialized,initialization_method,n_draws_per_chain,n_chains,trace_start,trace_stop,trace_interval,wallclock_s,gradient_evals,potential_evals,score_quadrature_evals,worst_basin_name,worst_basin_ess,worst_basin_ess_per_second,worst_basin_ess_per_gradient_eval,worst_basin_ess_per_potential_eval,worst_basin_ess_per_score_quadrature_eval,label_transition_count,no_label_transition_chain_count,all_chains_no_label_transition,kind,name,index,mean,target,signed_bias,absolute_bias,sample_sd,iat,iat_saved_draws,iat_sampler_time,iat_min_chain,iat_median_chain,iat_max_chain,ess,rhat,mcse,constant_chain_count,finite_iat_chain_count,ess_per_second,ess_per_gradient_eval,ess_per_potential_eval,ess_per_score_quadrature_eval,basin_id,basin_transition_count,no_basin_transition_chain_count,unvisited_chain_count,always_in_basin_chain_count,unvisited
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_0,0,0.0029375,0.025,-0.022062500000000002,0.022062500000000002,0.05411989120306871,2978.97578807947,2978.97578807947,297.8975788079301,93.09299337748344,93.09299337748344,inf,10.741946989985518,1.1086316067156246,0.01651259816453148,31,1,0.028373056858080385,1.6784292171852373e-05,1.6784292171852373e-05,nan,0,1,31,31,0,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_1,1,0.03125,0.025,0.006249999999999999,0.006249999999999999,0.17399535503710065,inf,inf,inf,inf,inf,inf,0.0,4893844226380972.0,nan,32,0,0.0,0.0,0.0,nan,1,0,32,31,1,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_2,2,0.03125,0.025,0.006249999999999999,0.006249999999999999,0.17399535503710065,inf,inf,inf,inf,inf,inf,0.0,4893844226380972.0,nan,32,0,0.0,0.0,0.0,nan,2,0,32,31,1,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_3,3,0.03125,0.025,0.006249999999999999,0.006249999999999999,0.17399535503710065,inf,inf,inf,inf,inf,inf,0.0,4893844226380972.0,nan,32,0,0.0,0.0,0.0,nan,3,0,32,31,1,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_4,4,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,0.0,0.0,nan,4,0,32,32,0,True
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_5,5,0.02659375,0.025,0.001593749999999998,0.001593749999999998,0.1608954052794703,153.61106263911768,153.61106263911768,15.361106263910894,4.969698492462311,72.91850295658699,inf,208.31832974932544,2.7122739459416287,0.011147562081286474,30,2,0.5502380359974126,0.00032549739023332103,0.00032549739023332103,nan,5,5,30,30,0,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_6,6,0.05178125,0.025,0.02678125,0.02678125,0.2215885524342194,960.7374677152974,960.7374677152974,96.07374677152428,89.80457094531104,115.11552779799067,inf,33.30774647115439,1.590949333612869,0.038395002062530666,28,4,0.08797684305476766,5.204335386117873e-05,5.204335386117873e-05,nan,6,86,28,28,0,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_7,7,0.03125,0.025,0.006249999999999999,0.006249999999999999,0.17399535503710065,inf,inf,inf,inf,inf,inf,0.0,4893844226380972.0,nan,32,0,0.0,0.0,0.0,nan,7,0,32,31,1,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_8,8,0.03125,0.025,0.006249999999999999,0.006249999999999999,0.17399535503710065,inf,inf,inf,inf,inf,inf,0.0,4893844226380972.0,nan,32,0,0.0,0.0,0.0,nan,8,0,32,31,1,False
1,MALA,,"[0, 1, 2, 3]",20,10000,10,0.01,False,exact_gaussian_mixture:reference_draw_then_charged_kernel_settling,1000,32,100.10000000000001,200.0,0.09999999999999432,378.59674562793225,640000.0,640000.0,0.0,basin_1,0.0,0.0,0.0,0.0,nan,230,23,False,basin,basin_9,9,0.0,0.025,-0.025,0.025,0.0,inf,inf,inf,inf,inf,inf,0.0,nan,nan,32,0,0.0,0.0,0.0,nan,9,0,32,32,0,True
